wave,flux
336,1.3946248141024318
338,2.693781957586873
340,4.45849919124414
342,4.902111758876569
344,4.3461985474601965
346,6.507159013305363
348,6.824862753308244
350,6.734983112781851
352,5.783734495795537
354,6.164670599034198
356,8.38801444285535
358,5.939504707151433
360,9.099186196975532
362,9.34297649502321
364,10.930298272282172
366,10.318834754042994
368,11.39301906308054
370,10.113682434316791
372,10.676981554137248
374,8.838383400094799
376,10.469615537336091
378,13.932180643250046
380,12.34196364378207
382,13.00099796516847
384,15.071695669523358
386,19.356879791056794
388,24.800918249342132
390,24.417246672440566
392,26.669673457307024
394,32.422110249129126
396,37.068629232633924
398,44.22119374836922
400,51.907412293020236
402,60.99072357014104
404,71.0464835226326
406,82.98074452938249
408,79.24771782694582
410,95.14063616700724
412,100.8148973104178
414,110.68130071175514
416,114.95212871841404
418,128.32030921499586
420,140.54908251264945
422,153.47507198595076
424,162.48082145148308
426,177.67069647472115
428,193.5262834614097
430,208.61876995570597
432,222.53820767080643
434,251.65386222079923
436,266.5975891741327
438,280.93103990870225
440,298.26151381618814
442,332.0771626522698
444,353.55163955502786
446,378.4102493316558
448,404.3154510476029
450,427.94112123720487
452,462.7687031990153
454,510.05802149172627
456,520.5903919200529
458,552.0360949880143
460,589.4711974634854
462,621.8545853103511
464,654.8800191476334
466,686.5424379868265
468,706.6000378113202
470,724.3899224438279
472,751.7229786458429
474,781.8148062214343
476,798.2251561875835
478,830.7735085510789
480,856.5567911405512
482,885.1362079024776
484,924.5482514120408
486,936.3057926952706
488,973.025610260921
490,988.6802914805858
492,1018.8083693450154
494,1068.4033032415073
496,1080.5422274579582
498,1094.7591212524399
500,1119.9315699846718
502,1156.508714864732
504,1209.6875934190446
506,1219.7687502582614
508,1260.477897448892
510,1287.359019841584
512,1324.0821554831198
514,1377.9493859292552
516,1405.6121538963798
518,1468.660108940182
520,1550.171759559466
522,1574.5034871717305
524,1693.7123272067295
526,1723.7989781650294
528,1793.1597788055112
530,1861.0563568699233
532,1890.7126737628232
534,1925.642223495556
536,2007.8588886503046
538,2050.9956273721627
540,2128.3408263650804
542,2224.2113355479605
544,2252.108892803802
546,2304.280370275152
548,2399.9781976813
550,2457.7646993890953
552,2512.073621855839
554,2593.4260970591954
556,2677.8715026283717
558,2712.0727307002885
560,2763.590125833833
562,2855.577182021674
564,2934.9933965500045
566,3018.298446539181
568,3058.707719402607
570,3154.8344821024116
572,3227.66302249322
574,3290.0015389984314
576,3345.7539166001798
578,3444.0180547827454
580,3524.559340896204
582,3553.065157046875
584,3622.329535290311
586,3732.38762361245
588,3733.109486933574
590,3750.6910766197684
592,3847.9871440755596
594,3955.11109659197
596,4008.2575017809786
598,4037.049618544833
600,4096.114211371062
602,4155.275700196963
604,4210.21250641716
606,4272.634693789154
608,4337.805190505901
610,4401.253122921918
612,4457.642298208933
614,4520.987550923473
616,4582.777406966123
618,4585.310641395829
620,4642.181343015768
622,4693.479680804245
624,4623.313970473867
626,4676.762645847143
