wave,flux
336,61.114733127297114
338,71.08349315005162
340,83.54856438614769
342,91.90289492717338
344,94.88934008576437
346,109.42175728489251
348,117.56395292442305
350,126.59415460159114
352,127.96255730317843
354,131.0994883442307
356,134.31011573601123
358,139.17931214617045
360,135.22569262045377
362,139.49816409518252
364,139.39639574964525
366,142.18681325495618
368,144.1306017482557
370,144.89316966339067
372,150.49725038093922
374,147.09329471194613
376,164.8630917420729
378,167.45609517062547
380,196.5832480415008
382,228.5298862565459
384,273.2381106137552
386,295.29529768864427
388,326.8944714982444
390,343.6217312814455
392,364.80178461838926
394,391.18216462450175
396,419.0472154646726
398,445.0228403798672
400,490.596033766474
402,505.2528417427131
404,546.2195546881444
406,606.3956076285328
408,636.1839918005288
410,667.9697951884292
412,700.3250292749915
414,744.0645622243126
416,766.3340131491706
418,788.5351897462899
420,812.7782504603792
422,857.1441610627633
424,909.9937081878194
426,988.646623654388
428,1090.4831387531249
430,1167.2445628938408
432,1244.425615637832
434,1280.957894869796
436,1358.9366542271853
438,1310.063561058458
440,1354.979314398486
442,1369.7599335784475
444,1380.6341404954687
446,1382.5560840393853
448,1445.6280375762844
450,1460.0716975638024
452,1485.1249223963787
454,1552.4484254230795
456,1591.5193807390551
458,1638.7358437666946
460,1678.6520436079386
462,1714.713688015979
464,1808.8061079442534
466,1849.4118147173208
468,1891.6689585590498
470,2009.2942282343593
472,2085.1037872230595
474,2116.954029438077
476,2224.580195731238
478,2383.603939222886
480,2501.9824024438512
482,2648.2875775633615
484,2788.1841136819085
486,2963.7308350567487
488,3169.0514036794057
490,3358.9656154359473
492,3512.8819341921267
494,3633.5446819878002
496,3746.2918062216067
498,3750.5632758881975
500,3716.3687798265482
502,3696.93142628517
504,3599.958620185955
506,3504.308883819205
508,3375.73447871559
510,3255.056097501619
512,3186.5716646383794
514,3132.0555138598656
516,3071.905263291613
518,3088.8192214245155
520,3019.569871477798
522,3120.56900338358
524,3094.9833313857657
526,3111.7790431853277
528,3118.6882658184536
530,3164.261716553898
532,3188.6116546385297
534,3203.69426067821
536,3267.3017645781497
538,3302.2122329188114
540,3304.5787202925203
542,3339.327854261209
544,3401.2760128291548
546,3437.76541978768
548,3489.420560302021
550,3536.299012695971
552,3568.215283764409
554,3641.2323405193247
556,3705.256991870797
558,3739.4118966977876
560,3765.7069936955245
562,3834.2669282627085
564,3848.8607166549946
566,3960.5360091331568
568,4002.880774111881
570,4034.8790827440807
572,4046.3089955610535
574,4075.3766838389242
576,4157.7744753908355
578,4213.052434026321
580,4272.877012398999
582,4344.414683126645
584,4371.51850375086
586,4385.168249474004
588,4405.23388572738
590,4465.223284753834
592,4478.909774519043
594,4453.124277766957
596,4498.090991275175
598,4612.771803834665
600,4618.826225126433
602,4632.812447705371
604,4662.847898979872
606,4670.069231989156
608,4688.908292940205
610,4719.529234675255
612,4719.184459187207
614,4736.48656706754
616,4818.202992768032
618,4839.711343003987
620,4803.950987598981
622,4795.114843512953
624,4869.147843174616
626,4948.520022133957
628,4952.539637180615
630,4887.5289919137
632,4849.9606956855405
634,4844.673489518321
636,4825.307442938958
638,4754.282942510589
640,4688.540412302423
642,4623.281269716628
644,4521.022739152057
646,4429.989054736847
648,4335.925303645159
650,4180.30310630058
652,3962.1935490654378
654,3847.1282854621163
656,3870.3626441552333
658,3057.531396284899
660,2767.447463456044
662,2749.853697433581
664,2161.641485634632
666,2314.518901743362
668,2216.114646006684
670,2136.196509194207
672,2145.7240185123246
674,2155.287176617216
676,2173.992367881241
678,2155.93036259256
680,2127.3198357309493
682,2100.27825260741
684,2091.4307002505975
686,2065.388861985527
688,2096.816319920498
690,2106.7839930620075
692,2084.252846652953
694,2080.089344555865
696,2121.8244743465903
698,2157.0224641900286
700,2189.6588787411843
702,2247.0558672888565
704,2270.1281635015266
706,2309.562450512161
708,2337.573280876758
710,2350.2520910991707
712,2372.105414950444
714,2389.106668397887
716,2347.086852181909
718,2366.599259830713
720,2383.5159893098744
722,2385.9041279992434
724,2407.5636856682454
726,2383.933504839705
728,2401.8048645503295
730,2436.6788081309564
732,2480.702434423201
734,2453.179271391108
736,2506.4295419712885
738,2480.659204636476
740,2486.2988872976944
742,2510.042763028305
744,2512.249143041681
746,2548.065950653391
748,2555.8822960237526
750,2499.96795614616
752,2508.321184752741
754,2505.011918719211
756,2466.067223503601
758,2452.708339032313
760,2412.980045913269
762,2371.6869876861306
764,2364.3767383133813
766,2353.903078879426
768,2417.5173473139657
770,2398.841169586002
772,2509.4605841914486
774,2540.5300984302794
776,2654.838303623381
778,2684.6339472065374
780,2711.4534223274313
782,2718.413800993087
784,2783.2031157701444
786,2788.1043508346565
788,2821.6706761515343
790,2789.8672638941753
792,2773.9827212605987
794,2788.375166146651
796,2783.8541163974196
798,2817.185742024289
800,2759.6164447871656
802,2821.541918438817
804,2870.3901021359825
806,2841.837938904086
808,2845.1366342406363
810,2845.6146504182457
812,2826.642430781719
814,2846.462270664036
816,2830.7781904746275
818,2837.3214560288843
820,2798.514848340991
822,2834.2623458699495
824,2796.8410152412894
826,2787.2103133162777
828,2788.995315300668
830,2754.6227070655536
832,2787.743624891931
834,2763.860557491803
836,2781.3491710854223
838,2777.50781144472
840,2785.943707456511
842,2734.106834545562
844,2721.036833559297
846,2726.2230042443757
848,2694.992898224463
850,2687.2073514101376
852,2679.276721120336
854,2715.65318992266
856,2689.4120710323955
858,2643.449569582103
860,2612.1087287890077
862,2649.0272602176346
864,2650.6647519709745
866,2643.5116366531993
868,2606.5912040833764
870,2586.3698595707606
872,2550.764911479853
874,2587.821498554795
876,2573.690505632135
878,2529.4055687410823
880,2487.778506007228
882,2526.7140765245854
884,2420.114549760644
886,2452.870174107426
888,2401.2216176026755
890,2416.590091171926
892,2370.3601630748362
894,2319.7174492316803
896,2286.4903656790216
898,2206.0244133811802
900,2148.4374351452893
902,2094.455596573927
