wave,flux
336,14.021097774039536
338,20.9153869324137
340,22.50202230400094
342,20.699646456108745
344,21.115386806472987
346,24.629704218743342
348,22.375101533824342
350,20.781039068535534
352,16.952198305336026
354,17.21717621754963
356,16.20884714902003
358,14.248095218081554
360,15.778913251725461
362,13.973303757554687
364,13.564262831970025
366,14.650538225380744
368,16.539532427817807
370,16.69334211974416
372,16.158645681140577
374,17.08028721013999
376,13.172300175809372
378,10.920746921103778
380,11.059455754345748
382,12.01242352954599
384,12.626607264987006
386,13.144696221408505
388,15.010923071935569
390,14.557915573926998
392,16.474021259484886
394,14.72305878090102
396,13.995548764683756
398,17.530150155203767
400,18.597078567582198
402,18.841717306562664
404,19.5663721778919
406,23.869287944919343
408,30.343318020092536
410,39.504421852437204
412,35.58547852335478
414,42.77886387040255
416,45.72700812341901
418,49.73487052563037
420,48.9695983160729
422,54.781740746712295
424,58.85971684749521
426,65.61059874910453
428,72.84375671366445
430,76.78500681491245
432,82.11011710630942
434,89.86020274076971
436,93.65415323652469
438,98.51987692327123
440,94.43897372892575
442,103.0092312846574
444,106.30141367366267
446,112.15755650015173
448,108.47009215091113
450,122.13108839558242
452,118.0743985735886
454,121.35198222799904
456,128.93063822259728
458,135.20416494611462
460,141.59027597645562
462,143.02107240637767
464,150.53612871697652
466,158.47690078827782
468,167.08145108710838
470,168.15240879606097
472,176.5218058590495
474,183.1869811191498
476,197.180854709184
478,205.2178705134514
480,212.49054262878832
482,225.92515534950724
484,233.79627143935397
486,237.07761164623005
488,243.66164513650085
490,244.51962313490293
492,248.98773789123183
494,245.18259960858933
496,239.6367812241925
498,239.9458818339735
500,242.18593866143658
502,230.4200329427002
504,235.38680809827886
506,248.33907811990764
508,250.72327439308606
510,246.15537511104264
512,244.46870060499936
514,260.85956046651893
516,269.35912087657675
518,274.9145605960007
520,273.46372173707323
522,284.77163903200284
524,302.46505604221886
526,305.8178125664474
528,311.9565275208599
530,302.559456267367
532,309.62206355952554
534,316.0466457599864
536,322.9409569570976
538,327.9397297868065
