wave,flux
336,0.38580552497341325
338,-0.44743687879022587
340,5.843079835809551
342,10.828622499083226
344,14.330259476612754
346,18.893649871570037
348,15.152594186669695
350,18.346771133776294
352,19.189438370641984
354,18.618881941098117
356,20.372139895591893
358,23.823513246457615
360,27.53702576435224
362,31.00863555990642
364,33.18869911266263
366,34.69256658567389
368,37.40570376836701
370,33.21796385341196
372,36.279645378385034
374,36.60577449941553
376,40.37602973293514
378,42.39663907712592
380,46.902581249430476
382,51.41991636171504
384,57.41435796156216
386,66.10611259309515
388,74.38065848668884
390,81.08140473275965
392,90.05523242927357
394,106.0695049137826
396,117.5943400090786
398,133.38070955527428
400,145.08738475257675
402,167.5661995609147
404,176.99122071656444
406,191.27775719151572
408,220.36066661144446
410,226.68312315043457
412,250.21576353197563
414,268.69054048158375
416,275.9617712184792
418,283.4269053312839
420,303.8936441440873
422,320.8828258524333
424,349.6818459453052
426,362.20405939948967
428,386.4950405921728
430,408.60821411799986
432,433.5279927259726
434,467.99140450266316
436,496.99965148807956
438,518.0460522390816
440,550.0546361822526
442,581.2151000056049
444,640.3598954385704
446,650.8506320595369
448,710.1674807139219
450,738.2452606465517
452,764.5912072936953
454,822.7763758488868
456,840.2596608755072
458,889.9774171265702
460,946.9778250014083
462,979.952365222083
464,1027.3214390942524
466,1086.6974470137848
468,1108.6321070704232
470,1143.7748460102562
472,1179.172572871389
474,1244.7464323878578
476,1280.6239847510963
478,1340.3724932422056
480,1358.6092933072464
482,1407.7442803535325
484,1462.716734081826
486,1489.2236377211486
488,1537.8085977206115
490,1576.9467045038045
492,1572.041936694468
494,1615.9945079473835
496,1656.8104023034875
498,1709.036415364565
500,1771.274192652937
502,1764.7896213625656
504,1844.9058796516085
506,1866.0084449590875
508,1907.0879151160348
510,1957.8393521974967
512,1994.2809158852963
514,2052.1958706631617
516,2107.4725337611476
518,2142.1705836528245
520,2250.4974048802383
522,2262.6197588487216
524,2326.345692298574
526,2379.541492255646
528,2438.4799526550537
530,2517.3059672871727
532,2577.1211529495768
534,2644.189145412115
536,2727.757242611233
538,2798.0861929301445
540,2828.6956807890065
542,2929.4539459292687
544,2992.0585677288454
546,3070.232605712117
548,3119.5339755951386
550,3188.2775578569117
552,3266.612909424247
554,3336.23719973464
556,3413.061042483579
558,3476.154209623898
560,3524.276348197298
562,3644.544954385488
564,3670.7871679915647
566,3821.3987335746583
568,3902.589972024882
570,3971.8322287904925
572,4065.846674161184
574,4056.181812764868
576,4121.7534058746905
578,4231.396701500142
580,4371.441256330138
582,4447.666870288491
584,4420.621240038575
586,4472.3869866829355
588,4533.528200935033
590,4626.573692400678
592,4683.119848282746
594,4760.771455564687
596,4837.956141317182
598,4829.447668832323
600,4949.976016980374
602,5020.005235044612
604,5014.273851260616
606,5048.54965909332
608,5143.380028284343
610,5181.18294345524
612,5188.7697615737
614,5224.339322708947
616,5276.449980586722
618,5278.463055468453
620,5318.739488912929
622,5393.671097849127
624,5392.023449312353
626,5301.58007737025
628,5277.795741364366
630,5330.782833289815
632,5242.173080508515
634,5151.533104977953
636,5119.561103052451
638,5055.953733349553
640,4971.824786564506
642,4873.714797056176
644,4758.280382107903
646,4650.783713373368
648,4515.777086746217
650,4298.855564811227
652,4044.290871759269
654,3803.280677178451
656,3603.421179948782
658,3421.1960480486982
660,3236.686025403238
662,3046.679149524362
664,2811.7769063427318
666,2568.0196083219416
668,2533.1358339821986
670,2541.0794907039035
672,2548.226680786674
674,2578.2341244291865
676,2646.5616397933272
678,2639.1779879593755
680,2695.7768059552327
682,2683.331506724768
684,2693.687845351959
686,2666.656149451242
688,2714.2268382977722
690,2673.5157507098784
692,2748.4628850646436
694,2802.042146761214
696,2848.4269877380475
698,2906.6343528383686
700,2947.856162568585
702,2940.427398174112
704,3053.7776960204874
706,3105.9857320823808
708,3099.8420954867534
710,3144.591833951608
712,3163.6731733603374
714,3211.6890920401506
716,3204.105195827808
718,3246.4022557999588
720,3287.196726134009
722,3311.4293447346727
724,3338.6838633585094
726,3360.0314778400384
728,3462.119787647092
730,3467.177353205419
732,3528.995244286461
734,3533.8023819519494
736,3570.782522115499
738,3587.9300884475065
740,3631.1909503125025
742,3662.2116628748854
744,3701.3607349134763
746,3706.0837642798137
748,3683.9281558202283
750,3752.2845781085252
752,3697.624173470484
754,3714.669962379239
756,3602.682777860513
758,3624.1090599500376
760,3657.654795026111
762,3603.165243077655
764,3588.509034680917
766,3634.4264151672987
768,3645.7206816859825
770,3717.883077452818
772,3842.4979538066254
774,3920.141577123326
776,4007.8060362821734
778,4126.447584139061
780,4205.741563836072
782,4336.24491812253
784,4305.816657803504
786,4330.318877554159
788,4374.883119503724
790,4351.23874066656
792,4381.148344310475
794,4414.215587132417
796,4417.739047642689
798,4390.273987617333
800,4443.953206664598
802,4475.82808645161
804,4497.1243561338
806,4570.256306876964
808,4556.853638486495
810,4609.6243617392975
812,4583.870437081218
814,4599.695002271074
816,4578.951460015017
818,4530.163487502303
820,4568.823963089091
822,4528.20547934544
824,4538.1860739074855
826,4528.076126862439
828,4578.326093659732
830,4508.765688365444
832,4517.692609805718
834,4565.219430306255
836,4489.251813760521
838,4544.870231638022
840,4510.118973905336
842,4466.008587344399
844,4509.819058265972
846,4438.317058727123
848,4427.726393992304
850,4491.477202265065
852,4489.538621249717
854,4449.948101783154
856,4414.250662636869
858,4469.61807759141
860,4390.517475852517
862,4397.7271535301725
864,4362.795020080292
866,4354.5593237261055
868,4309.294640382788
870,4328.26163289864
872,4344.484150511991
874,4232.476270937919
