wave,flux
336,15.077816410790717
338,17.73299904483261
340,22.256896881685577
342,26.816597955236432
344,29.768438323149606
346,35.2070438990389
348,41.41851027354242
350,50.5764710940442
352,50.78734973591373
354,54.10534070015553
356,57.985270070676115
358,55.89706482589664
360,60.70697190886883
362,61.81133965823125
364,66.36123839422491
366,61.61087865890191
368,64.82949047960767
370,64.4611865202187
372,67.9197166004632
374,64.68895183172609
376,70.55669227530228
378,70.44759048658092
380,73.15908764052121
382,75.84905104874387
384,86.90382025327483
386,93.75237318383962
388,109.92236817076001
390,121.56279267781909
392,136.7855224921164
394,150.59226529852418
396,175.04788332759338
398,203.06760031095294
400,231.61446532604398
402,247.39224217736722
404,282.11588151523205
406,312.77775388268
408,328.0614408826035
410,357.04112898600306
412,380.7590818652711
414,402.9197834147739
416,431.538934737625
418,439.1567050669192
420,460.35603045601476
422,475.04074833884374
424,505.3847082054783
426,533.2928900854733
428,554.7650703900255
430,585.1529955531099
432,618.0688630217609
434,645.6733899635713
436,670.5339865713777
438,711.0337778108184
440,740.2770950824657
442,770.9810855058182
444,808.1810803819716
446,830.2542667397299
448,891.2611800007198
450,916.8956665302763
452,949.1718474627392
454,1007.5036481368119
456,1048.3973727486648
458,1069.1282286344965
460,1115.9122627719066
462,1166.2129932651737
464,1186.90638492312
466,1220.0150532410314
468,1240.4998808500086
470,1294.4386146068684
472,1324.228506853463
474,1380.0000097662355
476,1407.5786691370297
478,1438.2911583380867
480,1478.2329887912892
482,1487.2705820376937
484,1521.1519914317864
486,1572.7425680976207
488,1595.495744123427
490,1634.8947573235405
492,1673.583628820786
494,1697.5102189792406
496,1717.4487442034995
498,1749.4074723203867
500,1763.5177636742667
502,1812.812714782022
504,1887.606162441122
506,1880.643005988
508,1929.8276786911124
510,1960.5627542435602
512,2008.3248824822397
514,2047.5571861870008
516,2075.979559697706
518,2132.9730424741556
520,2166.1908352738383
522,2257.159516584133
524,2274.1535737115178
526,2311.0807158836824
528,2339.1217100834892
530,2407.6570764092976
532,2432.029238181894
534,2502.742931652318
536,2585.5586417475415
538,2592.531837143126
540,2655.2300423196916
542,2687.181864388438
544,2774.980043941988
546,2842.86389347141
