wave,flux
336,98.30251819843224
338,126.43993108493873
340,146.45356625669248
342,158.53947072741948
344,182.7350750724049
346,214.171291582597
348,241.9266047678747
350,268.5117985149096
352,293.5405944841509
354,307.35505781146327
356,329.3751626028232
358,337.3258792479427
360,361.03687780872656
362,379.7917487680093
364,412.2019774846501
366,450.2775130674801
368,473.04789476297583
370,505.68111252856625
372,522.2332713918728
374,563.9475781775074
376,585.4322371140281
378,644.8413667959524
380,672.3069141483429
382,730.9976640620541
384,791.7474376020535
386,851.4850890712077
388,940.7958689673025
390,1028.8033691197675
392,1149.0276744501728
394,1279.9255342492388
396,1442.3948981461879
398,1624.8963875063623
400,1837.1191768929314
402,2004.2136752436984
404,2137.6633922673996
406,2280.2274542386426
408,2472.8291749742516
410,2606.31200025728
412,2754.3625948569447
414,2891.672518463665
416,3006.7247396046605
418,3105.076427702205
420,3213.1862442211323
422,3321.0706548506587
424,3424.7004422832515
426,3554.0054422594035
428,3638.265645626636
430,3737.347997331694
432,3796.677319136078
434,3906.5911306206012
436,3995.678719656181
438,4061.616630725885
440,4206.360940080432
442,4262.739728059811
444,4452.47315763932
446,4513.442369586548
448,4681.1045621980575
450,4771.154449720207
452,4921.340852752638
454,5121.065799008289
456,5139.013137907669
458,5281.098826388071
460,5300.74238068487
462,5524.285503661504
464,5543.108387523998
466,5663.819463749795
468,5815.043554508072
470,5881.676286603707
472,6000.10199596983
474,5939.407398792227
476,6168.260696581607
478,6174.421954687017
480,6387.854322071424
482,6406.833614702116
484,6479.061173682214
486,6636.232004915359
488,6701.118578115515
490,6833.2607271618535
492,6849.299738203774
494,6996.627758931394
496,7185.236908658672
498,7158.597496013051
500,7268.963673861853
502,7347.518185829016
504,7530.244982483978
506,7613.208245962855
508,7745.467265498795
510,7942.322559022931
512,7917.0472968218155
514,7954.601277419557
516,8109.036604958134
518,8229.21036395026
520,8221.628908267136
522,8375.978977916655
524,8417.504078514388
526,8518.653551221549
528,8624.123498917103
530,8718.96930154566
532,8707.349790432321
534,8898.739062547354
536,8939.128046579452
538,8968.031376115712
540,9068.230523385955
542,9182.331581112672
544,9232.006364826122
546,9360.930050412271
548,9489.61734654076
550,9460.321195955627
552,9507.997344129622
554,9663.083188209617
556,9820.877186861415
558,9897.980570480311
560,9952.103863152379
562,10137.022300713945
564,10040.461100482555
566,10082.5268143222
568,10256.672581900271
570,10333.380613734906
572,10438.366414564514
574,10473.677303799668
576,10679.34537251004
578,10683.70550694123
580,10685.049490318039
582,10814.732068828645
584,10849.136303477768
586,10930.351685620359
588,10991.619457854553
590,10992.651107264888
592,11064.505393735042
594,11235.39279795009
596,11330.219689177526
598,11252.976090806671
600,11253.236163572179
602,11349.63126190916
604,11417.797669791604
606,11412.004718677226
608,11404.062282549352
610,11415.16769710004
612,11419.796046071366
614,11440.924273331957
616,11462.033549476837
618,11344.897890653914
620,11334.217202876314
622,11290.632418133986
624,10967.630730330377
626,10946.546033622715
628,10909.18775871798
630,10611.357566499792
632,10476.58734072609
634,10276.762697178609
636,9913.753566836804
638,9567.712361341792
640,9265.68489560212
642,8973.224109852927
644,8635.982485466237
646,8209.648860579555
648,7739.307590677415
650,7302.34466106143
652,6869.207831615587
654,6431.597875194685
656,6016.750142627874
658,5638.587566273098
660,5246.382410205579
662,4759.893901729123
664,4447.5346237277745
666,4513.426165275078
668,4503.912347830279
670,4542.252224571885
672,4599.0916843394
674,4589.784805675837
676,4655.304157925439
678,4651.8128932818545
680,4637.1762317550965
682,4691.836152071939
