wave,flux
336,176.7692195273828
338,212.49154884761052
340,264.1034453561481
342,298.73140388657924
344,334.6075672885562
346,356.7452397324789
348,389.615452058631
350,414.0444950559488
352,440.040712324549
354,457.89824028634223
356,483.6139509884705
358,482.20731978778355
360,501.0624432638422
362,496.6529816371883
364,485.86957511455415
366,456.36075204429363
368,442.3893634099074
370,444.8986558789842
372,442.7353193452253
374,440.9041888487426
376,450.18091863397353
378,472.84631789859463
380,498.7382195519522
382,541.7618068384953
384,594.4980260335483
386,664.599055118752
388,739.7514856673772
390,826.4243264261269
392,927.9196809849841
394,1047.770388114321
396,1165.4021406257827
398,1294.1364824827992
400,1423.6559926103698
402,1574.0537377621715
404,1755.1476166361374
406,1900.4379209548406
408,2025.0513464132025
410,2151.67873426232
412,2252.7282994669745
414,2331.382320089546
416,2435.180329380853
418,2589.1344662481297
420,2771.5537831560932
422,3026.8640611901556
424,3300.488345285356
426,3633.327928348222
428,3987.4724181104607
430,4262.251730906193
432,4483.804645572397
434,4585.174658910685
436,4723.513212870635
438,4771.369287767731
440,4940.519159556217
442,5161.686688061373
444,5414.558681421522
446,5627.923144484429
448,5983.657841259282
450,6321.417004888417
452,6686.143976905928
454,7154.776486698429
456,7677.0395309798405
458,8245.442407534802
460,8846.228680670618
462,9331.989087656511
464,9812.718626338234
466,10205.16270723402
468,10722.517672668037
470,11078.81363406174
472,11510.747529723956
474,12016.97758769484
476,12535.970744512679
478,13041.172544979034
480,13476.522151170597
482,13775.043143117291
484,13970.759339898592
486,14090.058959210322
488,14099.721868411472
490,14054.21337618908
492,13926.82135849484
494,13904.016131641674
496,13818.791922316585
498,13957.562738297102
500,14056.791996952108
502,14206.104804800108
504,14416.844835016953
506,14705.638936558622
508,14944.90358962477
510,15365.793463812814
512,15607.01870631348
514,15949.31725282619
516,16444.87040415983
518,16887.580659503496
520,17420.43964293414
522,17923.691374155263
524,18434.404834190376
526,18971.705228759292
528,19371.675112739762
530,19903.58011352787
532,20450.311184626964
534,20917.148507432397
536,21416.527644147285
538,21823.829768305273
540,22381.182070781495
542,22882.759534080025
544,23269.211571197873
546,23776.615007994184
548,24452.23674643247
550,24973.019637183592
552,25461.865960674866
554,26152.921564666016
556,26743.230794956984
558,27308.953529215207
560,27921.53950307483
562,28474.25833084871
564,29330.60531004456
566,29948.091214883578
568,30307.09944337296
570,30928.796483460683
572,31609.28988750891
574,32101.077510482508
576,32635.157454305354
578,33229.37257805136
580,33710.94410184382
582,34091.008008147044
584,34656.447214285916
586,35345.81791383296
588,35505.26601240006
590,35911.52842303727
592,36565.04830614403
594,37077.20479653117
596,37387.41576464875
598,37788.065587723395
600,38459.84535022218
602,38922.5149668857
604,39520.74320728751
606,40391.4226696194
608,41006.78769839209
610,41550.7993639613
612,42369.67534125879
614,43435.24633951582
616,44394.40030854806
618,45063.31508907634
620,45954.419540552655
622,47058.79729516055
624,47986.19041429243
626,49083.44672929595
628,50155.64767064537
630,50884.11923587296
632,51288.80145105272
634,51645.635502398974
636,51991.656214449264
638,51990.68462511351
640,51156.07288591332
642,50605.53678551527
644,50640.82093721504
646,46521.53560622456
648,48107.91509613827
650,56048.45733642954
652,35108.924416071386
654,41957.75884241334
656,45978.276753105376
658,47426.31293003803
660,43628.73757755623
662,35917.27340396438
664,30891.379777113234
666,27152.26784548246
