wave,flux
336,238.7533520645693
338,303.52366624345024
340,365.6137042148964
342,437.58286567928064
344,510.2449309379109
346,583.3657538030157
348,628.684651838711
350,672.3265249417009
352,683.5627343867279
354,708.6398831718684
356,702.1591057702726
358,722.096429020731
360,734.6397219051423
362,719.4371055872567
364,682.3921838793542
366,607.4677518106308
368,564.3684298076085
370,533.0853734939399
372,515.2037884969931
374,480.5804279081168
376,470.6784390799401
378,477.2819248015601
380,478.5305141643646
382,497.75205690305023
384,529.6008803777108
386,576.4414496445265
388,632.4373892573345
390,685.7892260757995
392,748.3464358783282
394,810.9505364995949
396,862.1224552703079
398,899.3098530906832
400,968.2067493262292
402,1035.4828005784484
404,1106.9655210480742
406,1242.1372119490936
408,1322.9693565798018
410,1404.746009729955
412,1448.5710835231118
414,1446.5737187751733
416,1469.2545693900347
418,1500.585569185127
420,1576.5289957817615
422,1709.235149673561
424,1885.113078596165
426,2105.076175043405
428,2327.8965952413832
430,2555.1719121435513
432,2691.416840307314
434,2757.9148465979583
436,2724.1638379666947
438,2663.7149453125517
440,2559.2430944625344
442,2540.1866896528886
444,2598.7370618608647
446,2604.5637479845946
448,2738.774515976865
450,2882.570883457433
452,3059.6102986243686
454,3315.1983709756682
456,3571.157409211747
458,3884.069015918075
460,4235.059121179661
462,4585.598481891073
464,4879.653412235282
466,5192.810759976683
468,5238.937666011349
470,5368.367578777168
472,5516.905180070856
474,5709.005150876515
476,5938.772004068986
478,6298.175886550938
480,6597.737212481455
482,6966.7753980222
484,7100.568510146538
486,7209.560113706542
488,7087.316570786347
490,6898.713284026715
492,6605.040526738561
494,6383.586555411923
496,6146.02518180944
498,5946.285389611717
500,5776.521155441559
502,5688.674100082093
504,5603.981009138249
506,5660.967660559247
508,5650.6008275206195
510,5703.566478206552
512,5731.552106666208
514,5788.541477943639
516,5868.202798995612
518,5978.271374246407
520,6023.621489041704
522,6046.544750555201
524,6243.280649659988
526,6310.2618207538735
528,6352.948229348177
530,6369.0553423450765
532,6534.444653924094
534,6585.485439967173
536,6625.493074485629
538,6732.036648782615
540,6734.718084272799
542,6837.79361497322
544,6930.42842847141
546,6934.869137962968
548,7043.612900940922
550,7278.532493372082
552,7334.118971641326
554,7403.82870604278
556,7634.396559828476
558,7798.990463933572
560,7866.7806538870545
562,8106.300291740691
564,8404.5579163202
566,8629.32200103623
568,8818.88400375264
570,8976.67305836552
572,9321.834070105242
574,9614.490975128674
576,9817.014721516538
578,10117.540209530845
580,10276.57074590653
582,10336.804015425176
584,10576.237005305387
586,10808.591961808195
588,10996.938631812362
590,11333.890725371703
592,11518.165375554441
594,11769.786093254634
596,12076.407811477959
598,12124.414356617244
600,12615.554367660323
602,12955.477164014874
604,13171.786419597453
606,13562.211574815316
608,14020.478682895622
610,14482.495844569936
612,15131.508736536176
614,15786.354365231779
616,16283.54905812121
618,17168.01336011824
620,18174.526954043562
622,19233.810422498926
624,20451.205523704808
626,21311.29370402106
628,22371.530495876155
630,23819.190137086407
632,24830.785987453906
634,25985.589883031553
636,27308.606333394666
638,28206.556477924332
640,29141.30126854771
642,30027.259370934185
644,30423.43450187873
646,30600.887278504797
648,30643.120589052778
650,30496.481293334975
652,30414.06777507739
654,30122.297723494143
656,29033.373286890564
658,27489.715754562694
660,26861.097775174865
662,28479.590981456706
664,26234.281667941417
666,20293.612276627086
668,16473.002142582944
670,14202.98030621781
672,13479.246021551877
674,13393.149435068772
676,13358.637331334508
678,12814.986451121691
680,12248.585575244504
682,11502.94516386254
684,11192.37217835217
686,11148.474335869443
688,11091.094005956027
690,11072.478458976993
692,10945.176323855481
694,11095.987566880689
696,11173.026458042177
698,11461.444446604872
700,12068.402920933235
702,12722.904184055107
704,13158.865260654342
706,13229.130081349083
708,13378.578223833327
710,13076.912418952486
712,12948.44708412955
714,12657.567345942709
716,12400.697890760937
718,12334.293474839787
720,12292.181746825316
722,12588.404709217619
724,13035.309773190696
726,13572.962556907914
728,14226.621153046486
730,15020.282086081104
732,15929.611435040515
734,16666.357116547537
736,17671.75963949569
738,18787.666788416038
740,19856.721379202576
742,20456.91678867946
744,21582.685729605197
746,22175.051939399953
748,23080.58320659433
750,23320.499950743804
752,23400.143218741552
754,23263.29638180801
756,23098.574220487964
758,22431.475894166237
760,21819.711290018502
762,20975.716442708745
764,20411.036445550595
766,20060.398768612522
768,19542.589285628455
770,19720.07694409013
772,19802.656771808353
774,20384.2093353379
776,20934.881852739578
778,21486.430806930563
780,22093.845276665863
782,22680.633926458133
784,23366.4798121998
786,23949.135541371077
788,24168.268877312785
790,25054.982686965937
792,25707.592587025843
794,26348.720466474606
796,27375.12507674409
798,28195.385557832917
800,29527.281488064444
802,30429.918349093998
804,32017.811283751624
806,33095.76242384252
808,33916.84976483277
810,35630.23621801374
812,36301.52778837011
814,36876.50595319544
816,37465.26862742228
818,37828.54342242379
820,38496.08644559257
822,38340.7328779716
824,38680.88131050616
826,38675.32172693364
828,39087.51929241705
830,38807.378651941195
832,39238.20790650581
834,38830.878987332944
836,38554.36361883285
838,38549.88255966369
840,38350.197986473315
842,38545.009038456104
844,38419.06807374858
846,38228.27784534474
848,38877.251046936435
850,38617.4779607295
852,38524.8538536371
854,38273.69263037385
856,38567.64141176887
858,38648.878763760775
860,38570.859393925624
862,38906.31247711321
864,38928.755255876116
866,38978.27768170517
868,39153.54772973559
870,39319.51947850654
872,39800.536313410405
874,39520.86511112759
876,40177.550331161496
878,39977.02172488162
880,40119.043275648466
882,40464.36966316421
884,39797.03558211221
886,39869.619078203046
888,39827.478826499224
890,38797.29965561693
892,38304.328429889785
894,37760.6561658101
896,36910.4180049016
898,35723.65833963294
900,34652.53377351646
902,33594.65583577304
904,31985.86338372454
906,30873.854315758595
908,28922.873154053963
910,27925.847798425282
912,26139.998063541138
914,24070.51838628641
916,22295.567883557083
918,20380.084097807583
920,18564.003244389634
922,16499.357221132195
924,14878.534475430892
926,13352.168558476787
928,11624.458690367916
930,10308.084015772314
932,8967.87110691234
934,8155.800869215639
936,7125.333138371114
938,6205.965119103306
940,5787.039729761816
942,5403.16639530589
944,5025.3379021639785
946,4765.040530918582
948,4529.738448290667
950,4349.576919672115
952,4117.913716581819
954,3929.014909727172
956,3627.25293529533
958,3395.7309859765815
960,3233.7839594001307
962,2960.295183376678
964,2742.2284187950936
966,2453.9553589883203
968,2326.0993102367406
970,2139.917409924669
972,1945.1085897521866
974,1827.9329210131916
976,1673.293502665508
978,1599.9916567942455
980,1487.6125444880854
982,1443.9666539122304
984,1393.6757992461212
986,1294.021259495585
988,1265.6673913137738
990,1221.0068806933368
992,1148.9819949729804
994,1075.9520772796948
996,1002.7682755770256
998,963.2451209150361
