wave,flux
336,26694.46277144809
338,32854.41066479839
340,39808.56868084038
342,46133.27249923419
344,51309.50927233617
346,56078.161091717375
348,60755.34487099216
350,64727.20773645881
352,67951.91014289748
354,70669.58099822889
356,72970.42848503283
358,74453.7779095251
360,74613.32369705877
362,73098.69183428776
364,70071.69645556025
366,66104.36995991274
368,62331.90830772181
370,59716.97642008827
372,58642.0850910416
374,58904.13195698646
376,60275.804799646656
378,62515.22909949538
380,65388.186289988116
382,68738.9333023225
384,72704.57520585897
386,77576.9091974098
388,83679.28225664757
390,91103.97401419806
392,99979.48875269337
394,110078.80705003513
396,121149.78179777716
398,133190.595016385
400,146564.37482095507
402,161647.20863587776
404,178153.43308745956
406,195205.5858967813
408,211601.96343849163
410,226321.92336519345
412,239162.78872589447
414,250318.58325059
416,260656.92718111616
418,271566.19214458135
420,284888.3219468081
422,302448.29843774554
424,325259.04839537886
426,353002.2095049776
428,383389.9330358541
430,413186.9946537145
432,439316.7398163849
434,460332.61362707376
436,477037.3379193513
438,492005.2451568207
440,507947.11066956597
442,526932.7522294171
444,549939.4568106908
446,576705.2000694317
448,606834.6473877601
450,640099.9110127529
452,676579.0540134017
454,716638.8238216565
456,760101.5226340966
458,806177.1116818854
460,852792.7666908418
462,897687.203934619
464,937871.3402705955
466,972100.0919500714
468,1000187.2098690466
470,1024101.6841666236
472,1046716.3225823118
474,1071179.3105052488
476,1099496.455463414
478,1132296.8840756633
480,1167862.7640973704
482,1203675.4710695867
484,1236810.327699932
486,1265145.6224168958
488,1287371.258135063
490,1304140.927992843
492,1316875.001444439
494,1328054.8473853278
496,1339890.1505917378
498,1354131.9037780394
500,1371913.2268591695
502,1393472.0803234256
504,1418969.815600714
506,1447723.1754841427
508,1479622.7857735613
510,1514767.8082886853
512,1552664.0479791
514,1594001.4669224876
516,1638545.100001372
518,1686090.849650226
520,1736709.519374178
522,1789260.9987625368
524,1843328.906877361
526,1897737.6377067852
528,1951678.1706353237
530,2003606.11241333
532,2053660.9938268051
534,2101325.2893486205
536,2146390.1512620193
538,2188732.3644634946
540,2229457.1419084473
542,2268492.302180552
544,2306794.1217445997
546,2345096.349633902
548,2383918.5741936686
550,2424269.4649142926
552,2466132.191091061
554,2509829.5929361554
556,2555719.6843762887
558,2603230.4904199913
560,2651997.9000969357
562,2701660.052294639
564,2751295.2855778323
566,2800540.015676085
568,2848999.741303007
570,2896078.2811084706
572,2942038.617210145
574,2986188.340507811
576,3029394.375758124
578,3071636.462754006
580,3113755.1411884157
582,3155859.2383544445
584,3198108.6659586513
586,3241926.151998613
588,3286417.0889690057
590,3332189.7078358904
592,3379172.1352554094
594,3426898.2377509335
596,3475332.946963031
598,3524550.246305162
600,3573935.008683056
602,3623280.014004988
604,3673154.099854439
606,3724299.865792303
608,3775151.83341848
610,3819743.3262379435
612,3856450.1272372054
614,3885589.7040107595
616,3907483.0704417704
618,3922451.2404133994
620,3930815.22780881
622,3932896.0465111663
624,3929014.710403629
626,3919492.2333693616
628,3904649.6292915265
630,3884807.9120532875
632,3860288.0955378073
634,3831411.193628247
636,3798498.220207772
638,3761870.1891595437
640,3721848.114366723
642,3678753.009712477
644,3632905.889079965
646,3584627.7663523513
648,3534239.655412798
650,3482062.570144468
652,3428417.5244305255
654,3373625.5321541303
656,3318007.607198449
658,3261884.7634466407
660,3205578.0147818704
662,3149408.3750873003
664,3093696.8582460936
666,3038764.4781414117
668,2984932.248656419
670,2932521.1836742777
672,2881852.297078151
674,2833246.602751202
676,2787025.114576591
678,2743508.846437484
680,2703018.812217042
682,2665876.0257984274
684,2632401.501064805
686,2602916.2518993355
688,2577741.292185183
690,2557197.63580551
692,2541606.296643479
694,2531288.2885822523
696,2526564.6255049948
698,2527756.3212948665
700,2535184.389835032
702,2549169.8450086536
704,2570033.7006988944
706,2598096.9707889166
708,2633680.6691618827
710,2677105.8097009575
712,2728693.4062893013
714,2788764.472810078
716,2857640.0231464505
718,2935641.0711815814
720,3023088.6307986346
722,3120303.7158807702
724,3227607.3403111533
726,3345320.517972946
728,3473764.2627493115
730,3613259.5885234117
732,3764127.50917841
734,3921438.578639286
736,4072485.126203411
738,4214277.080463759
740,4347297.03058272
742,4470572.72921118
744,4580549.936286111
746,4672671.199743063
748,4742627.704658173
750,4784289.546288838
752,4794398.626186249
754,4772104.665200485
756,4720160.7633571075
758,4646456.049272839
760,4561482.254527048
762,4478483.626790951
764,4412212.832941751
766,4374134.61101309
768,4371301.131228535
770,4407765.748749386
772,4480626.603623433
774,4581406.553996582
776,4699876.708383182
778,4824837.770001097
780,4946546.622199961
782,5057781.789684474
784,5154805.827963727
786,5239448.790928541
788,5314031.560395358
790,5383869.601334872
792,5453362.761009398
794,5526728.541893421
796,5605872.76968837
798,5688637.637102924
800,5771195.630847818
802,5847362.884039076
804,5913132.744529514
806,5965611.493526703
808,6000925.013140801
810,6023574.353481437
812,6035667.8532603225
814,6040018.64110342
816,6041430.936580627
818,6041586.707273727
820,6041384.582310592
822,6041344.2940869145
824,6041480.967175019
826,6041333.128979231
828,6041495.16803139
830,6041493.508217188
832,6041633.704908179
834,6041605.028987902
836,6041153.399365807
838,6041471.76361556
840,6041475.988562719
842,6041367.235942716
844,6041312.227971247
846,6041118.128344175
848,6041120.838344773
850,6041386.187314283
852,6041249.338035188
854,6041515.489820968
856,6041253.278922303
858,6041731.275612462
860,6041128.497847368
862,6041071.512464113
864,6041551.235654722
866,6041271.486255416
868,6041597.524723417
870,6040583.512212283
872,6039219.511964514
874,6035522.896406586
876,6026938.981996112
878,6013678.041024233
880,5991865.658929005
882,5960285.446275499
884,5916833.154308412
886,5861581.188342859
888,5792079.790338134
890,5707948.584572205
892,5608575.235721478
894,5493366.49529432
896,5361136.453541341
898,5211806.544728191
900,5044885.3763342
902,4859968.284699944
904,4657075.018662769
906,4436722.602783234
908,4200762.851841427
910,3950252.1754617062
912,3687925.4677384715
914,3416188.0910241143
916,3140142.2116106506
918,2863461.2524370155
920,2590531.6253226646
922,2326571.5207306514
924,2076288.455269408
926,1843171.73383205
928,1631057.7799725374
930,1442168.8799014126
932,1277374.326759599
934,1137179.1850273714
936,1019953.4617634164
938,924321.7438128655
940,846976.7689991818
942,784873.1377332874
944,734471.3400359175
946,692450.2500141537
948,655984.8863056367
950,622265.9696047718
952,589692.3397532792
954,556880.1482480856
956,523552.12894826
958,489494.54072167183
960,455148.7301789258
962,421199.61581287085
964,388406.3891424172
966,357479.9655673117
968,329196.95099647756
970,303893.41439233336
972,281659.2472645947
974,262492.0625174053
976,246177.2924226856
978,232234.0604812528
980,220224.00595559113
982,209535.83942841383
984,199816.560067555
986,190651.51830437686
988,181673.33939293647
990,172769.64362791053
992,163910.80427825195
994,155098.55480969363
996,146429.07315379172
998,137957.3416262383
