wave,flux
336,6.4141430242354405
338,9.240390215604725
340,10.441231641996744
342,12.109699996753397
344,12.327477563541484
346,12.155284027847802
348,20.038993186218246
350,23.66147341132435
352,27.967573178546193
354,26.87323028047964
356,34.521833907194285
358,37.70231189122742
360,37.32977056643166
362,43.16582265396271
364,55.65447962860104
366,57.060639902769054
368,60.66858418024486
370,61.67560473870828
372,69.41083876554576
374,72.35594747518252
376,80.66306860631705
378,90.19963783009067
380,93.6376863453827
382,102.48970101860499
384,120.16957243331657
386,130.10228976801005
388,152.77691968247123
390,174.36466995997105
392,199.07591865981482
394,241.34743160024044
396,291.19177590808704
398,325.4603345820378
400,362.1223567296422
402,396.2189460392148
404,450.6991804916593
406,492.5107590810402
408,538.768143358286
410,579.852074697142
412,644.6692802699444
414,691.1117457148122
416,752.4130006928948
418,790.1167998020875
420,840.2165582523863
422,893.7526072068202
424,959.9418851010786
426,1009.4071563762948
428,1081.1961719220235
430,1170.2311122850147
432,1242.0299547170391
434,1320.0724690068594
436,1429.0563437782414
438,1502.972088644716
440,1610.8918909101296
442,1674.5208802154373
444,1775.6138552162483
446,1886.6466809099823
448,1987.4165518321784
450,2115.750855769482
452,2193.937124823085
454,2351.970706663107
456,2453.100064540391
458,2548.935469271849
460,2678.5724995623423
462,2802.328607482549
464,2924.475091607805
466,3027.4073110664017
468,3159.110581480035
470,3257.9937650783745
472,3340.465183500089
474,3487.132305221425
476,3611.6561611124557
478,3760.888336417633
480,3884.0935024394885
482,4060.0487935833116
484,4209.7805064280665
486,4310.6928664479965
488,4503.42856802515
490,4669.47693419845
492,4796.824811901812
494,4942.166244857711
496,5127.641087299108
498,5219.076477380611
500,5346.294246890999
502,5469.9296107984865
504,5532.2756067839
506,5644.971939853874
508,5841.098232231592
510,5967.1094635726695
512,6106.314092264035
514,6303.238376448112
516,6354.457779340999
518,6576.734878292185
520,6812.511171375597
522,7002.099015644303
524,7197.824594107606
526,7378.25045931117
528,7599.594034191798
530,7747.317736723911
532,8075.92814171516
534,8108.473115253215
536,8376.38735684862
538,8576.60858583468
540,8831.553911590763
542,9092.141543083026
544,9238.379431068617
546,9452.002002122537
548,9758.906736306168
550,9963.9222423714
552,10101.043568997142
554,10503.889412751483
556,10867.315366436835
558,11002.816640697678
560,11356.103212553153
562,11593.3496822505
564,11652.137550532949
566,11908.793562094634
568,12335.071716732598
570,12600.020530145313
572,12686.51695789523
574,12885.989745679624
576,13276.877713368704
578,13600.722596398391
580,13711.335113821373
582,13992.014238791304
584,14314.323107269945
586,14195.095671982892
588,14566.855264546206
590,14882.053500515698
592,15075.452805342715
594,15258.698143548354
596,15354.497867416663
598,15430.362007062897
600,15822.694199419631
602,16066.73057130095
604,16159.402515124177
606,16298.243830279805
608,16437.175758137793
610,16554.29848317464
612,16642.96686331606
614,16733.436928544183
616,16846.87507772956
618,16927.07994322861
620,16925.52978437711
622,16814.168376380054
624,16626.65991827138
626,16489.821048984188
628,16320.107719664262
630,16096.747733622213
632,15948.363191289074
634,15594.14568919284
636,15080.167639989371
638,14709.93708778052
640,14227.612171045133
642,13627.999972076319
644,13084.245522540656
646,12457.865571781764
648,11771.04337689983
650,11163.161980692874
652,10611.610485253963
654,9980.739507014765
656,9158.908202204113
658,8436.672462010663
660,8009.202187784942
662,7820.842336114604
664,7877.13105185476
666,8095.009748421221
668,8208.932715461488
670,8346.049291845104
672,8556.608664264068
674,8713.833452263903
676,8864.461554067795
678,8977.914354542994
680,9007.32477865242
682,9077.53940386326
684,9053.778161921344
686,9164.718870687433
688,9282.908918679741
690,9374.467529784955
692,9470.26013258205
694,9854.487044048808
696,9900.886252566437
698,10147.755040342396
700,10515.496102814355
702,10742.985201611866
704,10713.460799546157
706,10989.599665567916
708,11160.80417291172
710,11286.214477453525
712,11315.203303217018
714,11417.757834554253
716,11498.93351730955
718,11631.187131627521
720,11827.227623725415
722,11879.77607197838
724,12041.1196266997
726,12290.410088546789
728,12475.671181782789
730,12662.840867924182
732,12725.912749391475
734,12893.47098167448
736,13103.390989917385
738,13335.30598526139
740,13338.029576742942
742,13386.980849230918
744,13548.703852031966
746,13871.464232662458
748,13743.03676980616
750,13776.09930321747
752,13710.506834344844
754,13582.86614932362
756,13315.580068363017
758,13534.12456246816
760,13207.906635471674
762,13451.37216792402
764,13415.601186011136
766,13719.570669571116
768,13957.163015938211
770,14526.573062627549
772,14798.681527773972
774,15286.533873024726
776,15496.975126504749
778,15847.399392775897
780,15951.980553891484
782,16363.88034694426
784,16606.922190831167
786,16694.577472049154
788,16865.633915936167
790,16826.93884188397
792,16965.157439662824
794,17242.308070062423
796,17442.784798310015
798,17683.23624337876
800,17699.749259839402
802,18033.106988266783
804,18024.522774084086
806,18171.707741115722
