wave,flux
336,15.377809737626535
338,16.384249439890688
340,17.74029231290586
342,24.653467756195575
344,26.230062502883012
346,31.985912993924156
348,36.80471796261381
350,39.47193184219646
352,39.7451485935134
354,45.90169511041848
356,47.72267336553551
358,45.35712840454147
360,47.38843395613558
362,45.18249982051993
364,48.72187359486395
366,49.761296435942356
368,52.29070017714056
370,50.65790697722025
372,48.26495655089933
374,49.92541881573274
376,52.39329399327723
378,55.13966134192039
380,54.67578136860085
382,54.36133027670373
384,64.12830102920468
386,75.51422800411464
388,79.15850960333351
390,85.01992916589568
392,93.21431079981996
394,105.2389956970402
396,120.00419788274154
398,133.69366993141648
400,143.96347404462279
402,150.13561422568708
404,176.48317084674034
406,191.02713976251187
408,205.75269484789803
410,217.03470640985745
412,235.718728111694
414,247.58869082184628
416,246.89626486384742
418,259.56837791969923
420,277.4496613510478
422,296.2893518909743
424,306.9862640340518
426,325.2043430585419
428,362.90746063662175
430,383.5812482205406
432,403.0224126671437
434,424.83496901585875
436,441.8149904259703
438,449.831879733125
440,469.9626996344751
442,482.24876437013137
444,512.9212421654396
446,528.9032892990292
448,554.6145723483571
450,581.0595805308074
452,603.0933819965134
454,627.0833019298396
456,661.6688574190789
458,690.7673855974615
460,703.8501027385712
462,726.890399125051
464,756.919681601161
466,783.434204217079
468,782.3375353445934
470,801.5223690243948
472,817.4249405039449
474,864.8446198140953
476,854.6098901408247
478,894.2127734390219
480,921.1144996531964
482,959.8453016628363
484,972.2300552192887
486,1021.3208408248818
488,1049.037984730585
490,1069.510771943738
492,1092.3955287419788
494,1125.3309123507267
496,1176.370685746369
498,1190.0191347742934
500,1219.471726677511
502,1248.6611941286194
504,1281.609396733761
506,1318.2290089591288
508,1358.0228063644734
510,1416.9439110627748
512,1434.6186053388
514,1469.7640059582106
516,1514.4019065789391
518,1558.4951351725226
520,1613.2783166761953
522,1673.9697714151732
524,1705.3999283691526
526,1731.193509959954
528,1777.0968777097646
530,1831.3356278784759
532,1870.133847365769
534,1888.7005717278842
536,1963.3587115298117
538,1958.5190397729643
540,2012.7100507239768
542,2030.172703385715
544,2052.973215756325
546,2089.39531468166
548,2106.890894384399
550,2132.752621035928
552,2176.0740437768545
554,2212.0624740352036
556,2254.7443841919116
558,2284.8860074976583
560,2283.717577453565
562,2319.0541856551645
564,2383.0306412597292
566,2406.296281510248
568,2462.0811501313647
570,2507.0327324019295
572,2590.9330746523688
574,2627.1228756005376
576,2601.1403425950657
578,2635.575201621024
580,2687.8487409777754
582,2696.09007239916
584,2710.5458174467644
586,2759.4758003355096
588,2838.4578530812837
590,2901.868838186331
592,2924.9310832908823
594,2931.1303309555137
596,2980.2218035061214
598,3076.818914657365
600,3111.456494234538
602,3129.7849643226023
604,3214.7592431020435
606,3323.3164768844836
608,3348.87561353258
610,3367.307522110625
612,3432.693475375935
614,3502.6866083359696
616,3534.8713577234985
618,3600.3582352249355
620,3639.5302664444675
622,3660.7530834230274
624,3736.5448192759814
626,3821.991917357055
628,3864.5859055463616
630,3856.3456668204835
632,3838.2640508895083
634,3824.923594701765
636,3818.420781457176
638,3810.788999939083
640,3774.374698931885
642,3709.0204234706734
644,3644.2413291819903
646,3616.1911884259825
648,3550.9085346397014
650,3362.680338983285
652,3187.59483729097
654,3033.978961518387
656,2836.4700974315465
658,2852.0894447556348
660,2699.415412921789
662,1769.709098602408
664,1766.0365267888853
666,1911.9356767969664
668,1871.1672770588582
670,1884.795226055349
672,1848.899031571402
674,1909.7427148692211
676,1955.1635745936499
678,2001.7870369635286
680,2016.0397794843493
682,2071.1665588238848
684,2180.210287597623
686,2262.6911559178484
688,2379.8160333625274
690,2465.053996261643
692,2666.770794476083
694,2776.727219224016
696,2944.646438701907
698,3062.8179636503446
700,3214.4536894497187
702,3260.9266762135885
704,3277.631307533253
706,3276.985160561141
708,3139.857323802441
710,3042.625641984423
712,2983.249564868545
714,2935.825541995957
716,2935.313314505243
718,2985.116180769975
720,3004.913329653744
722,3198.700497210988
724,3389.8311289487297
726,3612.674323507628
728,3819.0293316790962
730,4098.644262297734
732,4424.399604627273
734,4761.165774085305
736,5085.012747569525
738,5370.727791124948
740,5606.26575766206
742,5824.595497883405
744,6162.6551388886755
746,6235.026347517391
748,6436.0879989430105
750,6515.418873362583
752,6546.91106757107
754,6564.584875480136
756,6420.249494336152
758,6278.953061752689
760,6105.786131076135
762,5855.369085888353
764,5719.346527159562
766,5663.148069048746
768,5560.77945110942
770,5577.690887146381
772,5601.3696514835765
774,5693.786718384887
776,5838.826221855135
778,6077.349994602902
780,6209.3713414803615
782,6429.73789624662
784,6473.34045541952
786,6733.808820394826
788,6897.238284824323
790,6949.434495838572
792,7088.470114767649
794,7245.404765060005
796,7391.819897302699
798,7576.8081997615855
800,7852.5489120492475
802,7965.27072871862
804,8127.420622428879
806,8333.833747386847
808,8352.643939294907
810,8537.567321233608
812,8649.605211745931
814,8702.319119708334
816,8720.876503684562
818,8827.247400672535
820,8848.565061219393
822,8794.852717337446
824,8927.152559681643
826,8904.201948628546
828,8922.640149559358
830,8893.874841962592
832,8784.005861367337
834,8932.934339543614
836,8904.101089531043
838,8801.963721916378
840,8860.421208402217
842,8782.033050986454
844,8778.133858320347
846,8622.256536348787
848,8732.301290603515
850,8633.825721372743
852,8626.92019829419
854,8594.975624494795
856,8744.303166765732
858,8728.188085982547
860,8715.882440976668
862,8858.819901061668
864,8830.531859165038
866,8984.266238056738
868,9028.34597148934
870,8927.576778751596
872,9008.776339934415
874,9082.749874675672
876,9067.939587359897
878,9004.457343273634
880,9025.177673858945
882,8992.250844774197
884,8839.780776495041
886,8775.112898447516
888,8630.092619611301
890,8566.776710242337
892,8349.37573918687
894,8115.6177847828685
896,8001.588343126212
898,7699.0291287801665
900,7477.705583016317
902,7203.858475063885
904,6922.33033801651
906,6645.749976488108
908,6181.4278896517835
910,5898.134732661628
912,5435.260306978061
914,5022.331089980783
916,4684.5499544562
918,4308.327594345174
920,3858.2958337647315
922,3444.66167200245
924,3084.534196388162
926,2791.4531516598126
928,2445.941502567026
930,2086.0868831723515
932,1917.3267372714756
934,1696.9663838758884
936,1510.9627205059235
938,1405.9849464254737
940,1256.2858472589894
942,1154.0534071039986
944,1090.4705539162987
946,1039.4570309411056
948,950.4968614391667
950,934.7555239942291
952,890.3164883974097
954,824.9704044424519
956,777.0023453628053
958,724.0159590333368
960,675.1231015030621
962,615.3279764579296
964,577.7397902798225
966,521.9477272020378
968,502.57313476868933
970,449.2581103960062
972,417.6731628066004
974,393.6240880413647
976,369.96618927715355
978,324.54865563389995
980,327.3281846406476
982,299.20510394376754
984,303.7421012136453
986,276.27580620261205
988,262.66476566231046
990,259.1913638669471
992,245.2693343353991
994,232.00913806917978
996,220.4019441531348
998,210.10739928197535
