wave,flux
336,241.41634352137154
338,313.0647136193015
340,431.7529497169041
342,540.641780061669
344,569.7257227967274
346,537.9482741673404
348,517.3131337742406
350,510.5907285977634
352,506.557304409145
354,530.1769572800322
356,565.2215060559723
358,590.4396420053405
360,600.7098151602887
362,573.1258256891405
364,567.661979761396
366,560.6484831919289
368,581.8131699236769
370,619.3387325725749
372,655.2052701546291
374,691.1262989795823
376,712.98855712779
378,737.3501890751455
380,813.0525058369245
382,897.5037578060202
384,1014.4891857733131
386,1095.6493700183476
388,1134.8866051524292
390,1216.401381499102
392,1244.9141409087345
394,1300.738641506199
396,1368.1102220652313
398,1435.6249548112849
400,1521.260084160004
402,1679.6345114469311
404,1897.7204727655999
406,2114.3657409919947
408,2281.452692867187
410,2346.3500562272816
412,2406.472553413515
414,2417.2377341956108
416,2451.9529263489612
418,2571.1657641118254
420,2756.6804137361387
422,3066.31361103799
424,3552.109150518116
426,4143.858135736832
428,4794.915837655403
430,5378.949229912235
432,5784.932030319261
434,5967.728253196766
436,5878.405663220317
438,5597.777570312697
440,5331.075998643354
442,5170.536546069716
444,5101.311480344898
446,5231.006237401881
448,5386.406015937337
450,5684.864175721306
452,6061.46950544034
454,6554.383154243261
456,7184.30481566684
458,7883.384274104443
460,8588.802283839188
462,9314.251318619434
464,9919.996201544946
466,10452.551042426183
468,10899.857144201469
470,11322.211534625883
472,12048.829758550153
474,12952.479315263914
476,14102.809300655248
478,15464.081742153649
480,16946.469795723075
482,18442.34406373967
484,19521.769931157425
486,20604.967837798005
488,21333.185357762603
490,21796.523001217014
492,21914.88503820504
494,21823.44956878439
496,21458.277940153705
498,20928.53579771228
500,20392.39034650404
502,19546.17350300407
504,18831.543307572938
506,18057.18468878192
508,17207.440648151856
510,16590.833672440916
512,16091.116083647723
514,15769.47276750258
516,15557.525113628471
518,15534.151370841875
520,15471.80184024419
522,15490.120168642445
524,15436.20593221161
526,15400.241337145188
528,15285.77640752936
530,15151.468743936628
532,15065.857484550837
534,14863.878329712019
536,14857.700595934186
538,14711.621486246167
540,14740.79864115791
542,14759.92191720535
544,14815.006553959127
546,14961.650067405073
548,15202.564076842851
550,15448.984212894838
552,15797.424295326968
554,16148.149993920952
556,16664.82793943065
558,17415.356232290393
560,18115.01219152817
562,18727.551037460373
564,19502.437373073364
566,20239.722510633135
568,21003.686982247695
570,21720.518919531358
572,22430.53514351703
574,23022.062366640544
576,23601.244700236217
578,24162.109011727815
580,24620.835865460183
582,25075.102821804994
584,25676.1173931294
586,26261.31574187662
588,26598.177659063822
590,27315.33633347318
592,28084.385043695398
594,28722.20532866496
596,29425.741371627722
598,30275.73523003564
600,31287.725089453084
602,32560.436580083784
604,33793.86217241566
606,34850.20259798334
608,36213.7122519959
610,38414.24345162176
612,40302.70630458215
614,42357.37466193131
616,45525.548169722795
618,48199.921856128174
620,51909.573484962864
622,56408.87322107183
624,59932.327144685056
626,63689.4454997345
628,67474.87515923075
630,71056.41717977368
632,75120.62862057106
634,78813.52817063763
636,81869.782100763
638,84795.71643674262
640,87285.86496996233
642,89146.34337363498
644,90565.58787164437
646,92097.17871792009
648,93061.95781908015
650,92628.465041288
652,92496.5503958726
654,92684.91119343667
656,91663.1446163524
658,89656.6182845568
660,87321.49663629754
662,85143.74401916956
664,82855.52806719896
666,79970.27529093828
668,76278.42647606508
670,72060.56531903571
672,67820.38352148875
674,63146.920244405934
676,57975.320899622624
678,53560.130375203815
680,49866.9063130738
682,45695.45153752207
684,41336.910956921405
686,37464.319815330775
688,33760.83162770164
690,30169.175623025047
692,27396.72701156084
694,25740.6010699734
696,25031.451996063115
698,25081.137991599295
700,25701.517258351243
702,26704.447998088275
704,27901.788412579688
706,29061.048182883995
708,29319.199278573935
710,29317.425653258964
712,28812.956987031193
714,28235.89558415692
716,27231.54392613899
718,26653.40901582981
720,26375.50359219639
722,26452.242779464515
724,26558.04698520012
726,27345.727653141337
