wave,flux
336,530.5072921193572
338,622.082798881483
340,733.6412969322199
342,842.1427183112824
344,943.2206036162094
346,1090.3294374241348
348,1216.4844100567134
350,1315.7970749657632
352,1411.0185876818773
354,1488.566729036721
356,1493.0982840773618
358,1523.051187544318
360,1489.2530348372347
362,1447.6106283055324
364,1366.254465513518
366,1254.437211631956
368,1111.068974127573
370,1001.440231814869
372,935.566663832673
374,888.3842593941403
376,855.4103594298655
378,850.7199073484809
380,861.9712681852735
382,914.3471412754308
384,992.0824068031067
386,1073.3281802720373
388,1166.5105588503332
390,1278.491558120604
392,1411.8383019492792
394,1546.241400021046
396,1701.0043101281778
398,1824.4986451968668
400,1978.9904240281724
402,2158.557810076581
404,2371.829175452441
406,2568.34240458581
408,2768.0657218885576
410,2932.518387955995
412,3035.3612132499716
414,3089.1437283548744
416,3152.9232754995573
418,3272.042534572449
420,3438.3203775265147
422,3666.3044444680686
424,4063.219360237525
426,4552.482649145233
428,5107.147604861238
430,5569.613303683719
432,5965.4164895390795
434,6123.59273558215
436,6125.578383105191
438,6075.6386190677995
440,5985.3720198532565
442,5989.79532228285
444,6085.93245168486
446,6278.153020631469
448,6477.717033692995
450,6764.798904857564
452,7121.015817375281
454,7601.1020401470505
456,8237.356970360774
458,8864.68799448424
460,9639.471964538669
462,10312.46108599868
464,11052.607950044603
466,11742.74107858338
468,12329.324205249088
470,12864.017604756275
472,13517.863657947464
474,14196.671923348465
476,14979.997412039307
478,15855.636170536054
480,16654.702337272684
482,17247.26040406586
484,17566.91236463644
486,17751.149621417735
488,17654.7838419863
490,17359.888103269994
492,16822.707429274466
494,16399.81028823681
496,15928.022214352137
498,15600.395836678503
500,15272.297300752021
502,15257.083668605146
504,15222.61170207368
506,15222.32224732127
508,15360.913232104014
510,15456.630343292722
512,15738.060638382669
514,15957.809037651907
516,16193.637096713986
518,16565.438783764454
520,16884.960127395327
522,17212.13355535404
524,17610.362456503943
526,18070.7833778541
528,18459.613532699346
530,18875.26732990062
532,19346.927937382767
534,19831.648081450112
536,20138.43762367901
538,20762.642756502413
540,21141.780525119128
542,21470.684654833
544,22070.78563175292
546,22541.918707570698
548,22926.51490881174
550,23327.36232251745
552,23866.647200101408
554,24383.559347030347
556,24843.417082454896
558,25484.968396992317
560,26075.95717432083
562,26719.54779899198
564,27270.46832309089
566,27924.922810931268
568,28631.929480443974
570,29210.04005112195
572,29929.983965253556
574,30465.348539397884
576,30972.228939781395
578,31284.00516816194
580,31854.588979065982
582,32540.305204412158
584,32856.70299482354
586,33304.251638265385
588,33908.95980228979
590,34386.74833259355
592,34959.30937233057
594,35599.13898712911
596,36079.51426255573
598,36529.44074318017
600,37299.64030487064
602,37969.65454587756
604,38596.85427032962
606,39274.9346795608
608,39963.33217081036
610,41199.32517468823
612,42386.57532988733
614,43397.84535462181
616,44739.447057500634
618,46413.842405547846
620,47881.52278990583
622,49253.76634560508
624,51127.10391865458
626,53388.55670684942
628,55707.835123523764
630,57940.457949022224
632,60202.396759678864
634,62290.55108641162
636,64085.527009129066
638,65670.50175327477
640,67207.33637452415
642,68755.69045354686
644,69962.92920309561
646,69698.37995169984
648,68941.2793454688
650,69185.67237715203
652,68271.41065253799
654,66100.5333689316
656,64507.31848934533
658,62902.02231781725
660,60585.46194117701
662,57606.58176782709
664,54285.14400421709
666,50927.487148394364
668,47581.33548341311
670,44205.57104515191
672,40773.018330916915
674,37578.94845939121
676,34608.102624964624
678,31057.045905767296
680,28013.054051249277
682,27639.75016481449
684,27088.43441572542
686,26800.130575878527
688,26750.32825975419
690,26276.146803429307
692,25543.031468364057
694,24997.30681043266
696,24554.967399876616
698,24813.097851062073
700,25441.183360980052
702,25912.347853534277
704,26714.49229579848
706,27069.150822432963
708,27239.519556963733
710,27141.641694995906
712,27031.338463887627
714,26765.007428711197
716,26450.155588523732
718,26273.14735792814
720,26224.13583556682
722,26179.21736583379
724,26410.315416170863
726,26775.912177528964
728,27305.62007021355
730,27877.333041715396
732,28258.147551799866
734,28701.482394061917
736,28859.08913841063
