wave,flux
336,330.4199100052064
338,435.6479990093055
340,580.8053837930715
342,611.6739796842724
344,552.5979488039119
346,499.9663385827836
348,489.2299094128766
350,485.6875459955875
352,487.42346416536725
354,521.7389986736317
356,540.9586093883701
358,553.5285687749306
360,534.7518297557568
362,531.6829369331798
364,514.7437357409942
366,507.6143227290291
368,512.5936549685566
370,527.161540527348
372,535.2584308756467
374,541.2475095191761
376,535.8488590345403
378,528.2945734557777
380,569.4577450300825
382,593.013582299435
384,643.3668911516475
386,696.8002601748603
388,757.5990687425095
390,839.3988769614832
392,934.2774972493991
394,1033.2025256410288
396,1109.930174577976
398,1224.8015548825254
400,1340.0085607016488
402,1463.0207469051622
404,1636.2151850483756
406,1766.7611745501913
408,1875.9567646534342
410,1966.3271754956995
412,2005.6389088975614
414,2063.744066804894
416,2138.85853437744
418,2231.655772509209
420,2370.9597036869186
422,2569.662846899727
424,2863.1320330699637
426,3159.3395719737855
428,3426.6700757118374
430,3668.603869483776
432,3792.1967166842655
434,3800.9334379187717
436,3747.5411519799823
438,3677.304483304417
440,3641.9611811516083
442,3673.5109640336645
444,3770.1214011481434
446,3886.631631404063
448,4058.3639962421566
450,4229.485807911017
452,4534.84918549886
454,4823.177657644098
456,5216.52717443089
458,5562.3290644937
460,5992.772836847234
462,6334.413502279425
464,6661.918526087765
466,6894.206191465344
468,7183.190909913867
470,7362.124900454729
472,7681.475913961206
474,7967.018464128727
476,8378.003771967647
478,8801.942974979607
480,9090.861789856504
482,9336.9125358428
484,9414.536406483629
486,9488.904407648317
488,9275.133984777423
490,9093.614962847985
492,8909.793540659937
494,8749.137961017388
496,8709.336992117107
498,8736.943816099554
500,8800.09483136329
502,8930.376489394024
504,9126.331995090155
506,9273.643472650434
508,9442.756850679181
510,9659.129282446864
512,9893.541687579556
514,10050.871282102475
516,10291.15837981903
518,10580.834954194515
520,10835.05000731004
522,11061.341143453259
524,11358.71245334789
526,11602.032415262105
528,11818.67752806073
530,12021.978940826088
532,12306.703344886955
534,12456.74185554636
536,12643.332942874933
538,12727.3208152793
540,12870.383985606435
542,13031.915635241981
544,13179.900454496197
546,13334.185002593676
548,13482.216990590028
550,13677.82534785026
552,13944.57630621258
554,14202.616909774662
556,14441.126390977586
558,14761.798043065908
560,15008.523596424107
562,15318.079190960096
564,15553.756229398165
566,15787.604948753808
568,16057.203859219197
570,16320.335795192908
572,16491.67118413857
574,16664.831578619225
576,16844.212290418127
578,17050.48623002564
580,17301.26902065911
582,17595.30984928821
584,17891.267275455913
586,18154.090205192464
588,18451.61230410029
590,18731.71816145066
592,19196.581836221263
594,19713.48714099255
596,20148.460747640005
598,20617.28881064331
600,21030.29880408593
602,21619.89776593224
604,22230.052638079775
606,22813.342846461674
608,23578.699451764936
610,24284.464566147617
612,25076.732934473133
614,26058.58761289136
616,27036.956002659477
618,27777.359754859837
620,28930.25355381513
622,30392.28856113653
624,31491.003654888296
626,32563.09298096702
628,33617.310538856706
630,34581.45912042464
632,35550.683003502505
634,36365.40589968265
636,36875.441680160104
638,37097.2152012851
640,37285.40312947867
642,37248.457864568045
644,36707.366495994436
646,36203.63419239044
648,35615.77930177319
650,34512.34659703515
652,33406.09366100215
654,32236.016210330734
656,30469.799560224015
658,28484.241443394192
660,26973.019466322716
662,26188.722247370388
664,22598.35466358438
666,17332.875479657534
668,15984.640282509252
670,16312.910289015721
672,16572.95208705686
674,16718.838928350753
676,16561.125763756616
678,16279.479374919481
680,16316.963822343321
682,16500.60701949331
684,17096.57894856653
686,17937.69758513103
688,18814.83270595676
690,19636.448220715916
692,20631.92064278412
694,21701.5384081831
696,22913.250520539583
698,23822.952995479227
700,24472.07882777887
702,24540.814665896636
704,24147.00726758688
706,23576.17522250309
708,22562.60739689645
710,21831.070892622436
712,21229.687787847706
714,20925.450109996156
716,21060.337370003326
718,21885.575155520208
720,23058.50389813867
722,24816.081664470483
724,26804.32354936575
726,28867.699661976603
728,31381.642546025872
730,34180.28096608165
732,36796.81042565131
734,39391.627704524086
736,42082.43798517143
738,44626.33703533946
740,46915.46720054515
742,48884.01468566896
744,50583.0989955314
746,51886.34771157157
748,52735.38620864709
750,52871.55460338473
752,52539.28512827035
754,51374.361939409086
756,50082.95443530795
758,48344.45958688743
760,46628.99824922584
762,44918.66733386694
764,43636.11030705364
766,42671.37807735768
768,42398.589620276456
770,42603.881692310395
772,43170.855305021556
774,44286.67611998891
776,45453.05735901598
778,47072.77255952863
780,48451.31672551108
782,50010.67454356408
784,51388.3560683472
786,53313.335909957175
788,54897.7533867371
790,56927.42508468751
792,58597.21087345637
794,60796.3273608803
796,62795.757978808
798,65174.62867119162
800,67457.5089651995
802,69418.008734585
804,71947.0703181865
806,73492.62351023503
808,75271.200798117
810,76481.29956256827
812,77521.31305161363
814,78382.8269304047
816,79617.90391654387
818,79683.63453392149
820,80000.4114241055
822,80138.48425492393
824,80150.5627943609
826,80048.74968200085
828,79917.40468446654
830,79416.42166714497
832,78906.11044057907
834,78921.23851532371
836,78180.44910264667
838,77418.68726396958
840,76649.38471046249
842,76356.56526794913
844,75857.50759607286
846,75230.01264550831
848,75195.45734853084
850,75287.96869880521
852,75710.3054960831
854,76455.23719580713
856,76561.95734111867
858,77241.60659919828
860,78568.97637765268
862,79402.69591484615
864,80455.03230236012
866,81406.84020859977
868,81832.54459192693
870,82487.1383916346
872,83237.90953573148
874,83013.79164002567
876,82820.15085060372
878,81890.79028822451
880,80759.6687227032
882,79050.26057626308
884,76934.42304045166
886,74295.72541346529
888,71105.15872520044
890,67186.00475178432
892,63413.46521601202
894,59146.68830713555
896,54313.769067569396
898,49717.3439151198
900,45036.11153093138
902,40347.298222154284
904,35850.95309838552
906,31628.123137165716
908,27804.290342421737
910,24718.908755953093
912,21565.144754302164
914,19156.661219290465
916,16884.767596652327
918,15187.94597165045
920,13891.164710520454
922,12615.877789581553
924,11536.06740177441
926,10691.72852811464
928,10139.8277846668
930,9611.837150328083
932,9149.321793280069
934,8610.876237328826
936,8139.670766741216
938,7660.427704810516
940,7108.9174022262405
942,6645.8798640489495
944,6049.228250066189
946,5609.36804840193
948,5215.375330868986
950,4709.781780206876
952,4334.086690780671
954,3960.7918243861527
956,3710.0540657425713
958,3441.9044044973243
960,3257.918094049976
962,3053.038019244292
964,2941.904748632749
966,2782.569045976593
968,2692.2004619883073
970,2566.6323114235165
972,2457.3863875697994
974,2380.6306280600634
976,2230.936413433469
978,2103.336287132538
980,2003.1169627151048
982,1845.65068985226
984,1756.848114413387
986,1664.1749847637655
988,1567.724422544028
990,1476.8155529783128
992,1404.4510200447953
994,1317.7550174416224
996,1257.7573704359108
998,1210.2345304863816
