wave,flux
336,90.03713785642393
338,106.15557924766186
340,124.59986250392038
342,141.71354880052505
344,157.95155654792333
346,189.41016190438694
348,232.4493691892095
350,231.91111284088268
352,264.4048090682415
354,280.57846899069165
356,294.82356965690076
358,311.4351083143756
360,335.17020507734105
362,355.8421768945039
364,376.5567073683881
366,408.16804381435355
368,449.24092168040175
370,470.87566434541856
372,524.489952530761
374,587.9574624096336
376,663.6339154745838
378,748.948158127844
380,907.8176662564691
382,1108.887600800055
384,1247.0834524702793
386,1338.5905563200736
388,1393.969984386609
390,1467.6579844730798
392,1665.4284588809503
394,1839.8616175121986
396,2062.524228103932
398,2237.8426135695872
400,2412.3049686747827
402,2618.340998466451
404,2802.8463147306184
406,2940.163572460272
408,3162.4266038068504
410,3366.3772315162732
412,3569.2678989019114
414,3763.7604258696583
416,3950.8347186615106
418,4097.67271580889
420,4319.700463671176
422,4532.928792066769
424,4799.423695227911
426,5088.385778375006
428,5307.216046550811
430,5536.882234106669
432,5741.648833002248
434,5939.232352361988
436,5997.90131820271
438,6201.608705740245
440,6229.115342036496
442,6326.150152683265
444,6509.644608241255
446,6793.2561125973
448,6911.124393791011
450,7210.037401846459
452,7318.678678806511
454,7625.829210098326
456,7849.432326925381
458,8035.107115143025
460,8372.674777356284
462,8599.094944304989
464,8911.629492654783
466,9038.26662112301
468,9318.84364847885
470,9643.53420563708
472,9952.702824827402
474,10414.958407925427
476,10865.518508958878
478,11467.41344189281
480,12286.265205720114
482,13164.358740224774
484,14163.275112149415
486,15207.141321346413
488,16198.64421522812
490,16917.753579611934
492,17693.943769837257
494,18114.64952949352
496,18179.524865332307
498,17941.821825098923
500,17502.99433910287
502,17131.217574018527
504,16643.099987499503
506,16120.331522467213
508,15419.885283328638
510,15203.715885297876
512,14808.34847029878
514,14810.465100719044
516,14723.799166244662
518,14699.26027578069
520,14668.390430918855
522,14906.274347319775
524,15079.381437398242
526,15156.583538753368
528,15321.36810960551
530,15329.884213087022
532,15572.349756035184
534,15593.302220108202
536,15684.188914787508
538,15994.982499920952
540,16220.822595261
542,16415.339550288107
544,16559.564855129785
546,16860.750542851772
548,17205.219164467526
550,17424.318886637917
552,17579.222561388604
554,17732.18037497339
556,17930.379406286553
558,18339.890314314078
560,18621.38638323154
562,18731.67151634189
564,19032.78329400351
566,19219.039812574712
568,19490.682603623834
570,19831.1837522408
572,19919.3549986754
574,20130.932325423208
576,20206.895457310755
578,20724.602190933405
580,20871.97488687635
582,20776.565108331728
584,21278.44483077333
586,21519.55085288142
588,21577.60314722032
590,21894.98791766186
592,21862.64925421213
594,21849.03575657791
596,22183.91161673052
598,22307.649197154864
600,22434.35361289604
602,22609.382346931532
604,22616.91312619607
606,22581.38967259407
608,22820.023115694723
610,22924.204669196803
612,22974.61350457791
614,23060.745392657456
616,23164.348387882535
618,23369.694153407734
620,23327.40146073971
622,23161.696211794275
624,23217.27806665507
626,23024.83329240926
628,22849.35854903006
630,22851.647786197598
632,22550.266358474913
634,21924.626879551593
636,21329.17951307585
638,21071.91896847372
640,20626.11953072493
642,19841.447532133436
644,18964.081797029015
646,18125.943315653793
648,17302.297736918932
650,16536.82315529143
652,16297.881646364707
654,15003.021527544037
656,11304.593508767295
658,11282.46185253703
660,11732.228035681732
662,11123.054205951492
664,10718.594272150212
666,10377.9601605041
668,10394.018382664488
670,10441.583780473407
672,10536.150131009874
674,10501.567358059223
676,10696.274692533376
678,10524.859911800855
680,10478.272552408736
682,10366.798740187125
684,10402.105643322418
686,10441.063497507259
688,10462.461686165832
690,10535.768126095374
692,10718.245132153268
694,10774.70924562262
696,11081.626349091308
698,11268.00280921142
700,11421.448461256692
702,11772.074367993366
704,11873.777280571518
706,12174.747652929791
708,12281.978113848423
710,12355.235808996422
712,12398.882635467451
714,12387.69421152424
716,12476.9702004824
718,12476.984345610439
720,12479.789040799087
722,12713.506993789804
724,12672.686170101691
726,12665.714023738605
728,12921.9959389266
730,12893.153817336179
732,13100.001271791516
734,13163.183205160894
736,13228.65174255363
738,13222.281086507175
740,13241.21869051881
742,13316.044312816282
744,13257.534636868653
746,13353.99567131459
748,13312.922128947752
750,13239.500774556327
752,13015.427689650116
754,12966.223712859135
756,12844.441534454303
758,12493.9019090448
760,12500.76262312084
762,12374.963788159905
764,12606.216659307327
766,12567.452447993028
768,12939.131795050313
770,13128.061562226216
772,13326.680744463783
774,13779.323799297103
776,14036.712368779577
778,14070.248587409216
780,14373.124783320765
782,14589.721376268384
784,14655.004299948672
786,14704.95085233015
788,14787.803105072131
790,14748.753542921208
792,14852.52291239862
794,14988.565836920674
796,14982.212163258662
798,15300.780732488385
800,15328.723624075938
802,15257.457008890618
804,15512.54912739226
806,15508.211027124562
808,15207.888682147885
810,15484.431426115629
812,15238.483528932968
814,15174.338706197763
816,15134.725516805323
818,15060.110730034092
820,15014.658927913784
822,14900.277341378569
824,15049.686871534404
826,14974.184429202001
828,15283.530379482365
830,15107.67137469069
832,15028.302967523372
834,15034.730432895487
836,14977.765276453549
838,14974.801142555705
840,14864.973980865077
842,14856.803759612658
844,14821.753245999333
846,14619.275065637077
848,14493.079653671106
850,14582.00811796552
852,14542.909808680914
854,14561.85270723943
856,14404.062051312301
858,14383.833312587763
860,14200.891033272737
862,14232.1814615218
864,14236.602860050121
866,14073.144558251503
868,14017.299468779773
870,14151.992853103504
872,13924.776305730718
874,13763.643777207853
876,13459.806571048633
878,13178.568391561472
880,12917.2651510385
882,12849.78679521501
884,12324.456961173893
886,11995.96300242277
888,11446.28229570907
890,10760.628684827097
892,10147.372895688066
894,9417.869567301326
896,8705.62754791701
898,8048.538431960492
900,7293.363853646168
902,6551.831607475673
904,5939.836368021985
906,5199.541740525496
908,4574.34253911206
910,4030.29424934002
912,3556.3716730819096
914,3102.357103643573
916,2781.907650008296
918,2506.9596795838706
920,2265.2967625625797
922,2089.8256765188535
924,1903.9172739686842
926,1799.7128487834996
928,1678.8366713543624
930,1541.3464922520325
932,1491.1656884684128
934,1436.0672610117952
936,1318.9531922315934
938,1219.514294542189
940,1177.9077675176886
942,1092.3352324668786
944,1017.670337878414
946,942.2845275849612
948,843.828550562288
950,781.634599908537
952,719.499867992691
954,670.7309779443183
956,615.8068061064121
958,581.4740869607161
960,555.737548965519
962,496.06238947218435
964,481.5022110664007
966,480.8418647527015
968,459.2580041561753
970,426.0084579727649
972,419.6274874428402
974,392.3520166098882
976,362.5069700407534
978,344.7571571247018
980,314.60721465259064
982,302.48505339349845
984,289.16708968461916
986,280.4355873510544
988,257.86963294318787
990,240.68401865745577
992,227.05826210986334
994,215.26780272018826
996,218.57832531247263
998,197.6734095353172
