wave,flux
336,8.04705194983642
338,7.125858959602509
340,9.202416149475816
342,11.072892971956609
344,14.48269003512718
346,15.089271272564979
348,19.573475957575162
350,18.80013768676393
352,19.319943772896554
354,18.49187706030064
356,18.476110078240254
358,18.16329459788784
360,20.818493095311045
362,18.723079811608756
364,19.672150866101852
366,19.498397228978238
368,19.581419927196578
370,18.18702831621982
372,21.52639371709229
374,20.453300724558932
376,19.137936539681625
378,21.567311751033237
380,23.10684535888949
382,31.024311219756616
384,30.23195758476436
386,33.35876364302552
388,39.33153762999832
390,37.111058162263404
392,47.30630423802616
394,54.87715080466649
396,56.47768069183562
398,66.48047800465544
400,73.40026728958206
402,80.05573473371575
404,87.51042337103078
406,103.21729518046232
408,102.91383695382869
410,117.05820031201844
412,119.72446140904889
414,128.63262573283117
416,141.18016722484168
418,145.40081223370237
420,154.47439153325467
422,154.07804577645385
424,168.52180619934614
426,175.84260376764257
428,182.85666227869456
430,200.36046529913176
432,212.26140959161432
434,203.0455852432554
436,216.88540700149954
438,218.0304081300769
440,220.61550500346982
442,235.84233984441275
444,245.53241801383533
446,249.19996212180644
448,260.62542622345734
450,280.5790630300829
452,297.7694621827341
454,323.42920352387773
456,349.2106719647747
458,382.3119246169301
460,404.166853310358
462,448.9686141987972
464,447.99074019416065
466,466.951970475938
468,483.37840288191666
470,472.9460326480293
472,477.5603158773295
474,473.0692203026148
476,481.6280657841754
478,490.3079570672636
480,494.6122951835674
482,509.9114093796306
484,515.3653797168779
486,543.5272915482742
488,532.2513436567539
490,543.1228718675472
492,557.630678957556
494,553.94899192875
496,571.9338623225595
498,565.3388756306207
500,576.9870083324712
502,582.0624421548459
504,581.751035384355
506,602.728927535199
508,611.1953474240614
510,634.3778885799451
512,633.2462683265132
514,652.1021275450889
516,673.9752359838036
518,699.3809377543896
520,695.9425953124095
522,704.6718907955142
524,719.5017695347229
526,734.2973573283691
528,752.9902569330956
530,773.4545033156542
532,784.9537643033062
534,802.3122977144944
536,803.6299983010447
538,827.257593384502
540,835.4762178600838
542,873.5818091822541
544,862.6245858761935
546,891.8356873299717
548,889.8032257103835
550,922.9353498260543
552,927.2120937648014
554,947.1289819619999
556,995.5900404363932
558,990.8469008395931
560,1014.1485380258945
562,1050.8407215765194
564,1067.2092079088488
566,1093.6784258379232
568,1122.524529092058
570,1155.253627398011
572,1174.358247809102
574,1185.6214912581413
576,1217.9053205748933
578,1225.6309604793921
580,1241.6537919875416
582,1285.1454165303062
584,1316.374015031711
586,1338.302675612912
588,1354.7963241879866
590,1379.7260545031652
592,1388.6507156088392
594,1399.3834898174564
596,1436.595456532738
598,1479.1971255825474
600,1508.1079370697207
602,1547.0231467817157
604,1582.2789855865458
606,1614.5832526895283
608,1670.5864538040107
610,1720.807784924584
612,1770.0617511851735
614,1833.3489295492227
616,1905.0523941071003
618,1962.267444230527
620,2050.4912945412316
622,2137.3953854193883
624,2171.0633347525063
626,2265.893395705826
628,2367.366456560471
630,2433.5895737686424
632,2542.9220397954414
634,2631.9998117763485
636,2691.133170729313
638,2771.403190843716
640,2818.243996663406
