wave,flux
336,749.2472870449213
338,1141.3861144408665
340,1554.3580535301028
342,1654.2144040569483
344,1418.2734426682048
346,1115.3813140772006
348,1002.3671127980467
350,935.3379193577886
352,908.2752860915583
354,898.0457119029551
356,945.0051384181089
358,937.6106703056931
360,893.5161909113384
362,889.6664069643996
364,876.0259560552952
366,930.7015372791363
368,991.8582786376704
370,1038.7412238202091
372,1115.4765004673075
374,1135.8707513151646
376,1141.1192739500905
378,1161.1664333197668
380,1328.1851983151048
382,1513.375862199711
384,1687.255393191086
386,1739.8261631905023
388,1799.095744220604
390,1845.657112745381
392,1923.2661846904862
394,1971.625700994151
396,2005.811839658237
398,2091.9450900223583
400,2126.7460841758434
402,2359.8797309618058
404,2587.607817563841
406,2766.8727489462553
408,2860.7319560551796
410,2810.522159103241
412,2729.0276420732935
414,2676.402775842222
416,2676.4219800328538
418,2783.6425998308296
420,3027.1808539562426
422,3554.0549116059638
424,4265.915301170515
426,5205.892536926363
428,6135.759972356212
430,6773.482831611432
432,6978.750564906679
434,6752.987619112569
436,6153.171033391033
438,5574.823882249807
440,4923.1161088122435
442,4449.121391859432
444,4113.637796907307
446,4117.688204911077
448,4100.59162797438
450,4319.445462578434
452,4769.000279437311
454,5342.39651293825
456,6183.259111415239
458,7149.012673907895
460,8127.901961314952
462,8913.337885539644
464,9618.45584288193
466,10074.543392374542
468,10458.841521052227
470,10822.583231258703
472,11361.233242347931
474,12165.005429304792
476,13153.96136257847
478,14460.851639707678
480,16050.44468452964
482,17381.990912091915
484,18933.494548882954
486,20185.426309382587
488,21155.32774852584
490,21614.785289159794
492,22194.683580215402
494,22075.6170779936
496,21293.355752096417
498,20205.552297477465
500,18692.070427563252
502,17247.89715769711
504,15360.701402056386
506,13696.933747986497
508,12309.984570742614
510,10941.680667680746
512,9883.474651577271
514,9060.50703639262
516,8653.839776468107
518,8325.634775070457
520,8009.381607734059
522,7748.139524082692
524,7474.089069742435
526,7303.862675034303
528,7140.773274615199
530,7025.721680704177
532,6873.54014842518
534,6751.410735729406
536,6804.425422379624
538,6632.490773002127
540,6576.05153426727
542,6568.199107458306
544,6595.402801841094
546,6667.455583947019
548,6751.324972454735
550,6948.877267086446
552,7089.992368534213
554,7195.396989681467
556,7382.0856070768505
558,7674.7044017348
560,7859.916233814899
562,8003.156246040175
564,8215.913113253988
566,8310.4196977465
568,8525.279325584163
570,8574.030232244326
572,8678.950024633154
574,8787.890261997043
576,8848.011218708072
578,8851.05026707173
580,8886.186458458013
582,9076.96858680276
584,9307.935730882598
586,9364.927934973684
588,9445.110777515347
590,9685.378412364103
592,10029.825026226585
594,10309.421618807137
596,10572.113358085295
598,10974.104428458837
600,11286.373472227579
602,11464.309227086593
604,11972.752574437282
606,12803.511765177453
608,13394.12786622718
610,13949.936637734754
612,14794.999870966743
614,15827.7662241062
616,16959.95782123595
618,18676.87896232984
620,20298.841521825296
622,21562.299013749987
624,22982.574790355393
626,24904.6783428342
628,26696.420643528265
630,28018.275086423477
632,29462.31984176814
634,31033.798897004388
636,32733.081976205573
638,34483.41635985847
640,35437.582242856144
642,35887.35912853065
644,36505.29935021622
646,36233.33974410424
648,35623.17395642155
650,35793.72610357986
652,35118.43634950331
654,33589.99082116338
656,32620.47346511075
658,31411.936389104674
660,29622.645084314554
662,28104.67204097895
664,26536.68940861014
666,24529.408353396604
668,22751.931092933133
670,21020.889596557194
672,18582.59130920526
674,16302.413090379328
676,14910.90733773539
678,13709.76857259797
680,12427.254724653068
682,11302.390922088747
684,10131.354821573123
686,8717.953541807929
688,7566.905783947325
690,6983.361894309991
692,6696.002588256278
694,6534.563785061431
696,6479.780491893011
698,6518.472206962564
700,6637.458428481637
702,6823.5586546617815
704,7066.901171315059
706,6941.851476771171
708,6952.441300572269
710,6923.587228793595
712,6867.4794517280825
714,6800.563588100933
716,6713.579225631407
718,6694.787704430205
720,6697.886010431983
722,6669.423749901534
724,6796.02323993058
726,6969.874862603525
728,6987.580251152013
730,7033.933612842152
732,7122.518376624435
734,7211.868031810907
736,7227.91473003666
738,7197.9751545566405
740,7192.839342550735
742,7176.742689784219
744,7148.795488844782
746,7157.943934366988
748,7198.871079155527
750,7206.254576756374
752,7239.760445607535
754,7215.869441776903
756,7234.063331657567
758,7263.731159314963
760,7292.6293965092555
762,7239.565436106474
764,7276.360289696558
766,7479.442155356939
768,7460.388195939241
770,7706.843007818623
772,7898.816518917037
774,8016.231267875848
776,8243.713102292035
778,8408.02665075121
780,8252.765282550494
782,8342.905057155593
784,8362.852882746627
786,8140.399992895349
788,8114.667677856773
790,8054.156748211409
792,8039.185614823513
794,7947.735352798789
796,7922.315119930976
798,7865.032620518387
800,7991.813310277608
802,8046.039555370701
804,8133.933832990473
806,8088.1476705111945
808,8286.797590014023
810,8260.55180504694
812,8313.956243213377
814,8413.195292248334
816,8438.583291094212
818,8512.689105137404
820,8661.37495793675
822,8689.06568773339
824,8744.396530831495
826,8722.008233205937
828,8939.36280518428
830,8932.622935467482
832,8900.636258395632
834,9069.444266581004
836,8979.838456991187
838,9075.093206909061
840,9040.605960495537
842,9098.637152146921
844,9121.804133351374
846,9129.1445385551
848,9383.045681960302
850,9443.178051113222
852,9496.06813013735
854,9444.609058271877
856,9674.967866080011
858,9701.39931183641
860,9726.418499021052
862,9841.17234025279
864,9873.471565410997
866,9983.601650554909
868,9798.339170980209
870,9850.090606294205
872,9836.568008929251
874,9794.381085296298
876,9629.629667512789
878,9431.189460010082
880,9367.51731631944
882,9135.414293131094
884,8954.113862039965
886,8532.516747143743
888,8191.84308323595
890,7795.876486976083
892,7329.44123059838
894,6769.364338964232
896,6276.065022865432
898,5707.638007115955
900,5201.530302457299
902,4725.466636054443
904,4241.2434202402455
906,3745.4538637357996
908,3227.573998826061
910,2882.2230088483993
912,2454.520324579938
914,2200.6299710452886
916,1950.0740180107482
918,1756.2428295922161
920,1563.735082193908
922,1420.7314578216503
924,1352.4891656755065
926,1261.1924937495978
928,1200.2883484523911
930,1136.2296723211932
932,1058.1407442424374
934,978.8920724107232
936,962.4732560857337
938,909.190998067407
940,826.497703998993
942,762.3272088957464
944,707.3518745485859
946,647.6142124500235
948,606.3484770578002
950,546.7191853503392
952,495.00036997836116
954,465.2863048468417
956,430.76176748573994
958,413.83510605527516
960,381.0036448210599
962,358.48548054861254
964,342.0784184946178
966,319.03406562313916
968,316.01993106599406
970,291.4084137332151
972,284.93898241613
974,270.6493372771424
976,257.26824939101743
978,247.83076197849132
980,240.2749292942686
982,218.2094294388502
984,209.20010740198612
986,189.2482168928176
988,181.63057422304868
990,186.81629188935986
992,170.21093941277525
994,154.0348138717408
996,148.21841356162562
998,137.49507248208056
