wave,flux
336,4324.64213924745
338,6856.841730478093
340,9527.463125996097
342,9674.023606439543
344,7518.368437281934
346,5400.170520617273
348,4232.982794199146
350,3639.456886149037
352,3549.1235153804014
354,3826.054119852673
356,4065.651782476232
358,4022.861865587181
360,3717.335076442269
362,3441.151178432366
364,3293.8195560593963
366,3383.1399239908774
368,3651.207874011917
370,4184.182744163876
372,4569.391619371199
374,4723.442669501647
376,4605.427744613573
378,4567.367505559003
380,4820.283749777045
382,5273.1030420871275
384,5657.337421185725
386,5850.701868337417
388,5937.925186944716
390,6103.996627079205
392,6300.397451001685
394,6525.9155063848875
396,6644.554952875175
398,6705.982695341365
400,6976.486102498928
402,7447.79125443637
404,8032.654892699388
406,8480.887702964535
408,8709.90134567444
410,8685.167659502891
412,8470.776570634289
414,8365.935738388436
416,8549.551049844546
418,8883.81445814835
420,9793.437272572572
422,11236.832566294946
424,13291.229461462914
426,15667.448858666823
428,18006.640787280397
430,19602.30687141239
432,20008.407304254386
434,19426.430361609244
436,17783.948764648838
438,16011.802871381211
440,14448.195760074796
442,13327.165686713826
444,12669.054907944508
446,12694.386064706081
448,13030.507585385962
450,14014.388365630546
452,15344.330149661328
454,17496.44287233101
456,20258.270726756207
458,23034.110691261252
460,25935.729113723748
462,28306.64311535433
464,29975.71773316812
466,30954.259980916424
468,31521.248386712305
470,32116.69571779736
472,33014.0623160116
474,34783.03780371145
476,37078.92076940487
478,39997.713136328035
480,43912.2003027369
482,47467.33725348895
484,51412.52384846823
486,54402.47144877294
488,56553.40327971664
490,58024.400968297254
492,58273.2489219846
494,57359.11678278595
496,55519.134415512446
498,52643.399317490235
500,48853.23923910373
502,44879.41324606084
504,40658.19058788243
506,36970.005475393926
508,33327.15893531155
510,30707.445086924956
512,28704.819701338154
514,27082.374402514175
516,25586.587190139468
518,24715.89814609636
520,23858.294017313434
522,23355.954880582645
524,22914.276251278567
526,22206.16401481303
528,21544.191994322555
530,21027.448425358358
532,20737.426268222764
534,20361.948704312304
536,20098.301430426593
538,20045.753608685016
540,19831.19822282176
542,19986.37513120898
544,20369.59666646335
546,20774.292545931796
548,21362.302069416684
550,21973.08120000688
552,22587.09862690603
554,23272.096941857693
556,23874.748866122514
558,24541.561040211975
560,25211.651699187765
562,25520.866703208445
564,25842.76576100817
566,26092.586431201144
568,26023.32759012294
570,26176.80912756412
572,25953.51610093314
574,25981.72350087842
576,25788.111322268556
578,25677.734287809468
580,25861.03459930246
582,26186.205148473895
584,26643.200399035486
586,27170.86263035557
588,27647.855639352052
590,28170.027196325133
592,28864.341092055947
594,29656.036210244452
596,30397.261776934072
598,31086.88102242548
600,31839.395060159986
602,32588.859542536426
604,33245.476031921244
606,33932.481336459794
608,34844.13549681342
610,35825.56460497363
612,36923.27006577567
614,38289.20553523783
616,40049.95258679784
618,42135.59751729959
620,43812.06941553237
622,45929.7174548379
624,49493.17021959575
626,52133.91159491185
628,54626.53851421785
630,57816.97785389058
632,60464.48240017978
634,62868.020209958326
636,65168.34749073673
638,66984.28707970856
640,68327.43192265535
642,69666.01285810929
644,71076.74810501588
646,70835.04222133159
648,69568.77952113301
650,68978.41853354203
652,67754.25040151099
654,65365.460389820546
