wave,flux
336,3815.4698345558686
338,5755.385256277776
340,8065.236957927957
342,8340.201924583387
344,6599.580089614159
346,4758.208113940213
348,3732.318085288422
350,3189.010031391546
352,3123.0618815054363
354,3314.9085501027953
356,3547.2053390459814
358,3530.3375238882904
360,3316.3111270742206
362,3131.6774648400237
364,3073.3144655024084
366,3187.590141742515
368,3458.6705605821003
370,3928.2575869897914
372,4312.412861857036
374,4442.306811639355
376,4376.2305044090035
378,4358.808090389316
380,4565.073290580305
382,5064.606107887391
384,5517.190608997406
386,5714.801485740008
388,5883.86419435501
390,5950.108468223663
392,6027.554559279497
394,6155.263524657611
396,6229.394120302688
398,6312.139302091865
400,6520.926400075443
402,7043.676061400429
404,7682.170665347232
406,8207.631975933658
408,8396.858051858619
410,8267.919401195542
412,7949.882015705373
414,7789.04712351006
416,7815.556199458517
418,8126.896153339707
420,8948.960957666293
422,10268.577671808873
424,12134.757116358207
426,14547.007759550243
428,16773.491458722678
430,18426.979121408247
432,19017.60594977784
434,18567.065418993636
436,17256.42379318166
438,15630.73732531797
440,14268.664544054382
442,13208.09476568587
444,12596.153463515822
446,12658.288289549433
448,13047.515788882587
450,13860.028144713468
452,15368.542699071624
454,17424.954572197967
456,20026.280563985336
458,22963.26803564432
460,25715.513096872583
462,27970.683701745733
464,29810.752307037612
466,30700.22465604223
468,31155.962278934603
470,31426.588598288035
472,32370.176713118257
474,33700.4973529852
476,36162.84719678207
478,39201.00881015588
480,42683.60271191639
482,46489.56053890052
484,50393.03229016836
486,53474.06295567582
488,56136.86937600764
490,57880.0724914461
492,58344.26635246187
494,57929.91216888692
496,55801.85909910915
498,52980.0160852196
500,49224.75333601045
502,45104.546408685455
504,40902.83663011479
506,36929.055108992856
508,33474.89136314936
510,30408.93511351685
512,28077.66058441927
514,26545.279323224448
516,25288.082605560874
518,24358.629596858616
520,23404.9658126256
522,22674.48084450614
524,22085.546152183633
526,21398.739589865676
528,20832.231242523543
530,20221.17906682903
532,19772.336203304323
534,19382.772068247115
536,19207.013758612622
538,19057.121892424013
540,19042.383350477576
542,19177.712564577872
544,19514.076516582303
546,19746.479519876713
548,20150.42879099344
550,20872.880555970172
552,21542.631300379013
554,22037.328414437106
556,22714.960816054117
558,23373.76327027076
560,23868.557312905705
562,24182.970799997463
564,24567.830952615477
566,24961.773639042203
568,24993.916349030627
570,25053.446681211717
572,24756.94882828687
574,24838.31326979468
576,24853.16043012405
578,24758.746394899885
580,24942.56495193738
582,25174.06314540505
584,25394.850171279664
586,26023.843337008962
588,26464.456869030513
590,26855.96820177318
592,27587.761146954937
594,28416.46806617021
596,29095.146354790144
598,29843.418622820933
600,30654.27032828057
602,31318.055901494467
604,32038.048497840777
606,32939.64681395746
608,33860.697754362474
610,34939.511035594245
612,36302.19037573247
614,37867.945776211185
616,39627.26430983605
618,41920.39726554051
620,44406.51661766169
622,46970.95319099502
624,49885.457092662575
626,53201.74455171957
628,56494.56411389148
630,59620.556912327476
632,62923.7103398508
634,65813.27969347624
636,68227.76971038626
638,70633.25914734944
640,72675.06458007712
642,74275.99351020926
644,75436.85827296085
646,75450.46159620502
648,74969.841078122
650,74473.48651765953
652,72388.46925833255
654,84277.60588557954
656,89232.0666940816
658,86425.2646343994
660,75607.72902359694
662,59799.60634022458
664,43560.31407830986
666,31250.268011944285
668,24921.109105568896
670,23766.82154471951
672,24477.167425899916
674,24369.415676217053
676,23119.666329328713
678,21160.870207483047
680,19280.100763887236
682,18147.64935280807
684,17557.504514860484
686,17019.53115416634
688,16043.262257861485
690,14747.827867239772
692,13546.190064162183
694,12640.26278523344
696,12628.58905920066
698,13026.870772493365
700,13681.884889632041
702,14315.173675750537
704,14391.20045761108
706,14418.205431483822
708,14106.835153424707
710,13811.693879126207
712,13560.746587830126
714,13332.98476315006
716,13115.382865585818
718,12965.386476944983
720,12968.089025883397
722,13030.356007697019
724,13248.712078984829
726,13593.480438632641
728,14002.936284095134
730,14276.776723630479
732,14660.110879432148
734,14884.942629233457
736,15005.950243676609
738,14936.79630677735
740,14946.712183941752
742,14894.347300946529
744,14811.819443128143
746,15039.318998510067
748,15092.132927963803
750,15210.30967423744
752,15338.397720416118
754,15332.879445951923
756,15373.517634538077
758,15261.132545238857
760,15197.888635641002
762,15097.096022607326
764,15066.82675031888
766,15086.191296329893
768,15213.018176662448
770,15421.90354431764
772,15893.659543077425
774,16269.543590023717
776,16560.370705794525
778,16912.428985950108
780,17122.439006206216
782,17515.80458381358
784,17609.284768271627
786,17797.444403773246
788,17897.34937039108
790,18254.612008466935
792,18762.98682127012
794,19428.270309879434
796,20346.116181164856
798,21342.962170034494
800,22797.801816206265
802,24265.55322264441
804,25864.00206274459
806,27747.494556989823
808,29439.359911994074
810,31267.410310750987
812,32730.137692220014
814,34359.96758978489
816,35598.15779343065
818,36664.85103852205
820,37425.79588375049
822,38190.62446004277
824,38461.16685469844
826,38496.967201764666
828,38417.78898340044
830,38285.28821705294
832,37732.5206581406
834,37163.683565011546
836,36657.090339171504
838,36106.15457126635
840,35376.746333898125
842,34941.50473761221
844,34253.997145260306
846,33982.90995407028
848,33807.724308576726
850,33692.980659517736
852,33718.71544952516
854,33914.71612278147
856,34409.10566342781
858,34938.482911799656
860,35741.83934603065
862,36674.90563147339
864,37917.624356488595
866,38965.248040951075
868,40304.6011398541
870,41892.14937545675
872,43278.726258905175
874,44553.68026239682
876,45985.84774566388
878,46891.985977779994
880,47428.88984244668
882,47663.22657558224
884,47277.40698124845
886,46583.47519720859
888,45484.62422246682
890,43960.35438483343
892,41653.854059221965
894,39349.025681169165
896,36395.93448717749
898,33391.01753058596
900,30252.76479747452
902,27141.299236350307
904,24083.022336984235
906,21174.936594894207
908,18549.640852943303
910,16128.62670917334
912,13910.48991924008
914,12155.750674207313
916,10635.223856488048
918,9395.696680475174
920,8483.537282861627
922,7654.254825112338
924,7090.195958779809
926,6681.395188559187
928,6310.136714773159
930,6002.704238039999
932,5735.198401461767
934,5397.918576791824
936,5107.605686014263
938,4819.73885523523
940,4517.17353457325
942,4127.86440010914
944,3836.039204100094
946,3465.271822051438
948,3158.4448925533225
950,2906.8797224580617
952,2626.198459903722
954,2409.1663387532785
956,2238.0834125701595
958,2072.3106935454703
960,1948.1558560930393
962,1850.3484402331642
964,1733.5862781365345
966,1691.5466326344042
968,1592.7620791211175
970,1539.8470544125842
972,1483.3044513245727
974,1392.45736709842
976,1325.8460700660821
978,1279.5632182752247
980,1187.6721343146496
982,1116.7507900010783
984,1049.2791029444954
986,984.6798002006745
988,937.0964770940961
990,877.2025210976534
992,834.9716027563388
994,794.0203260513277
996,755.8846866938397
998,720.7703373282699
