wave,flux
336,133.4872918714493
338,167.3523654165595
340,191.94589973731703
342,197.08896173330484
344,197.47467987502716
346,209.6010881835475
348,215.223578282272
350,185.20954654644916
352,145.12252591758653
354,128.95646250524175
356,131.3827191489071
358,123.10853605729267
360,106.13017515725849
362,96.44891342906428
364,99.18911711661823
366,125.49345017655436
368,173.91678247991436
370,226.91912713890957
372,280.7997851934823
374,324.0598324546901
376,355.12477677709086
378,388.34568691681676
380,409.75893833885226
382,443.8240030044555
384,465.031651721062
386,496.4614403800083
388,522.082726466638
390,550.9946304736195
392,594.6189420336276
394,614.0879206506635
396,604.2465112060681
398,563.3599771054908
400,524.1154282587797
402,506.9526948072137
404,530.8993451550728
406,581.7751524398303
408,632.9550147899298
410,689.2704933225194
412,741.0089037438896
414,776.5686331601017
416,839.4334115657607
418,912.8805072479453
420,1063.726203798412
422,1311.8339813903624
424,1644.7516143772334
426,2059.1821534585015
428,2463.8248274780026
430,2773.6032309009393
432,2912.827572544372
434,2887.407771809759
436,2722.7465788096733
438,2536.9199446037446
440,2397.0165013846326
442,2328.807552852075
444,2374.78412628448
446,2488.066539880695
448,2685.7235706755732
450,2995.2050154523918
452,3389.8023678480754
454,3939.5727694429565
456,4602.079073739185
458,5361.389081646493
460,6156.644844019873
462,6848.736988735191
464,7463.3478657637115
466,8004.655823405119
468,8537.384593549523
470,9217.577875454053
472,10076.42365309286
474,11241.479624371214
476,12655.999765846682
478,14272.9995586088
480,16017.135196781246
482,17823.540073820175
484,19537.16009139322
486,21068.688816729427
488,22335.816554464705
490,23300.50719147906
492,23820.341083902105
494,23944.277869892052
496,23541.544177296208
498,22749.047775091178
500,21623.47251673766
502,20318.86346284249
504,18970.723102558088
506,17667.78433976108
508,16565.80419091486
510,15681.914879086693
512,15082.185770477457
514,14715.547730939894
516,14499.823750627835
518,14479.87782968914
520,14476.086539859807
522,14516.089878797347
524,14552.506165241113
526,14621.687506558867
528,14727.78652309304
530,14886.704709053905
532,15112.4851582427
534,15429.092644039165
536,15820.698393892768
538,16321.827393277468
540,16880.990487286872
542,17604.455019644287
544,18448.654754672694
546,19403.005934720597
548,20604.26038935509
550,21919.417055800495
552,23383.11974244291
554,25032.292056602244
556,26767.43843991845
558,28505.53666359495
560,30220.704715221407
562,31873.48796057348
564,33311.910106419746
566,34612.73653275732
568,35587.7722008028
570,35543.35871424084
572,34426.55820108718
574,32328.293454607403
576,29339.487268067132
578,25551.062434731986
580,21053.94174786757
582,15939.048000739509
584,10297.303986613406
586,4219.632498754879
588,-2203.0436695704657
590,-8879.801725096993
592,-15719.718874559108
594,-22631.872324691194
596,-29525.339282227622
598,-36309.19695390279
600,-42892.52254645108
602,-49184.3932666069
604,-55093.88632110458
606,-60530.07891667857
608,-65402.04826006324
610,-69618.87155799294
612,-73089.62601720207
614,-75723.38884442506
616,-77429.23724639624
618,-78116.24842985
620,-77693.49960152077
622,-76070.06796814292
624,-73155.03073645079
626,-68857.46511317881
628,-63086.44830506139
630,-55751.05751883284
632,-46760.3699612276
634,-36023.46283898005
636,-23449.413358824586
638,-8947.298727495545
640,7573.80384827263
642,26204.817161745585
644,48151.0555696071
646,85915.57314521138
648,144169.75003338515
650,215424.84691573048
652,285446.65864785184
654,337038.6139926773
656,359116.2306915948
658,347426.8989127784
660,305418.0599320629
662,242282.2305676156
664,176124.61116837515
666,125095.07187984127
668,98471.70871346883
670,92424.04705661001
672,94298.59741557503
674,93334.86746467014
676,85767.6334841457
678,74354.20266607146
680,63702.14351149103
682,57668.53977714011
684,55804.869974615845
686,56132.01332514709
688,56598.65450841454
690,56095.63067482777
692,55832.12240364226
694,56787.709913476414
696,59507.19582314572
698,63666.26920334006
700,67917.10610367033
702,71127.58024299171
704,73137.06011047043
706,73614.01645248251
708,73584.01717008215
710,73084.98992258454
712,72573.03781046238
714,72464.1896609849
716,72844.03038997034
718,73978.78496616443
720,76165.79943234452
722,79465.11541053093
724,83754.41062415167
726,88847.06127250378
728,94343.54849872572
730,99854.05907540089
732,105229.60329768207
734,110047.93558929527
736,114304.56494704809
738,118152.42109052114
740,121957.36991859137
742,125464.76842892542
744,129430.13450116884
746,132875.62232766117
748,136342.35002464318
750,139000.66837973683
752,140900.74870699222
754,141935.1083825234
756,141780.73026680012
758,140885.86423490438
760,139685.8800150115
762,138499.48188837068
764,138144.77602368998
766,138914.45747325884
768,141232.7235374204
770,144824.75591243897
772,149691.58763817642
774,155666.0717550277
776,161581.92246444832
778,167894.46957304128
780,174190.88054368197
782,180288.86840694948
784,186448.11474498964
786,192603.91458573117
788,200336.02350572142
790,208810.31064387152
792,219948.41162177717
794,233235.94046461704
796,249737.7462473205
798,268478.3500286655
800,289299.68997639284
802,310163.4693607594
804,330466.0705969926
806,347216.9146665795
808,360590.24246710003
810,369138.142590709
812,373573.7913856276
814,376934.2954478949
816,377502.00339436793
818,377632.1119565304
820,377445.80011762434
822,377763.10754936934
824,377590.8759559496
826,377428.8292156483
828,377901.0043284409
830,377550.1703818569
832,377388.99438513524
834,377673.4413985664
836,377558.34662070475
838,377830.80863910966
840,377845.7869287111
842,377541.0262129318
844,377881.6886253691
846,377524.5552431355
848,377459.7790242408
850,377681.4264920989
852,377716.9434604846
854,377621.96737694973
856,377533.0505543506
