wave,flux
336,3.1949672725753397
338,5.859655445466989
340,3.895909145100796
342,6.652546549358901
344,7.805238980143999
346,9.407701452003156
348,8.309874673946874
350,11.069225080060383
352,9.924732367827504
354,12.179360437644238
356,13.176127743553712
358,15.155324454336535
360,16.442491224419566
362,12.775043730255659
364,15.91424664180407
366,15.803926591892914
368,17.250764798887694
370,17.22391565017817
372,17.87147794066679
374,14.36754810609154
376,17.110724595067584
378,25.41466728109883
380,26.782534976994334
382,33.4561170205164
384,34.26193618570727
386,38.5517224459921
388,34.63356901217774
390,36.07409075131362
392,41.75333253534274
394,42.888990909158736
396,46.04168518141914
398,50.122342864352476
400,56.6041333601856
402,56.86932304951541
404,62.47858142924147
406,65.82495521889577
408,73.83395613028195
410,76.81090255691049
412,72.3805668196766
414,79.83451538548736
416,76.12842679781699
418,82.26706656342427
420,89.73798999644212
422,93.4932190634463
424,119.17194182497276
426,133.7689909873317
428,148.95343144382952
430,156.4333267109929
432,169.83490591071464
434,174.03548562009126
436,170.65171442831144
438,158.48233736209133
440,154.65524325584684
442,154.43374394000466
444,146.84124928344397
446,150.7935380043311
448,148.88556210603915
450,156.45582053210427
452,159.60899985164426
454,169.35786026254252
456,167.99345019616783
458,181.51064919398584
460,182.95916653935583
462,203.28545826126313
464,200.7752370007467
466,223.54514155230544
468,223.73360669039852
470,252.32666058761905
472,280.99360644508306
474,318.24851022920194
476,341.4762090882843
478,383.9257470309859
480,416.3247037707259
482,454.98602697010796
484,493.5992170993685
486,532.5010067189326
488,552.5293286687543
490,568.5630095740155
492,581.5248650000128
494,576.3835091029118
496,586.482350251619
498,567.3804561333865
500,546.4761464233825
502,531.3979676148233
504,495.8618284643481
506,466.3788312946036
508,441.0692860912758
510,435.9697394238893
512,421.17953450753913
514,411.6682680735576
516,409.02396524046304
518,410.82790430826844
520,403.132000703718
522,424.66159741583385
524,425.80926369220583
526,433.4849333120536
528,431.43296503490717
530,432.0144768774147
532,446.4706273854424
534,463.7189879698359
536,467.8946650651891
538,480.81339133794165
540,498.87888425058225
542,503.7179857871083
544,511.62208187960755
546,524.4736734124801
548,548.9325010879237
550,564.7097786246401
552,587.7255500029557
554,604.2566407367284
556,598.4062013382004
558,617.994686978726
560,657.6187496980789
562,676.9197590958923
564,687.40409908306
566,727.3065442456444
568,750.36257262054
570,750.099464055829
572,779.2810430844908
574,811.2961610046425
576,807.6808386217035
578,813.3794486631031
580,831.9444237381796
582,852.9388702212099
584,871.5121055544412
586,872.2567403787131
588,898.9993278471582
590,926.1985073635657
592,929.2049337727849
594,924.2760415888154
596,937.599191551386
598,965.4884827114838
600,982.9490075186353
602,1003.4213584859173
604,1024.969224535306
606,1057.1545327991512
608,1109.3632033765423
610,1128.0637062530968
612,1160.1348436721314
614,1227.1896480719697
616,1290.8395843535832
618,1324.264242370337
620,1367.2796716288408
622,1447.0704931697408
624,1549.5889785287886
626,1641.9919075293624
628,1697.7632500134491
630,1736.117354815022
632,1815.0720847740188
634,1904.9640890807734
636,1956.6091136281052
638,1953.218747348535
640,1958.05516783009
642,1983.5395542467265
644,1993.9072802817982
646,1969.6621826159524
648,1932.2729829185496
650,1906.870638855743
652,1842.8319003358954
654,1744.5021342290304
656,1664.6544266960607
658,1594.726445455682
660,1517.5059357242988
662,1427.557381290657
664,1329.1312914276737
666,1226.6687239878822
668,1117.2728122724589
670,1019.6862109555088
672,957.9016121203232
674,877.8184334361695
676,766.8257780120474
678,740.9698629240753
680,696.9506247293504
682,667.2888737064583
684,655.942866202076
686,655.9147295060168
688,660.6024801225518
690,652.4672870519001
692,654.8896948342014
694,668.6632585534815
696,696.4442882017911
698,732.8122511502792
700,760.2265744042124
702,784.0970454078433
704,828.3895390617656
706,843.0647630724305
708,863.0841704006581
710,870.6756892498537
712,879.1562012214636
714,870.4593120960727
716,865.9647754755351
718,846.0654334360045
720,845.1185673754435
722,864.4703253169173
724,865.0591400491519
726,882.8549071068172
728,879.6249473401441
730,889.4426770537252
732,910.7709363400609
734,915.7376253483253
736,910.7990284932027
738,944.3206633507984
740,933.3044677536204
742,937.0208940894156
744,950.0005741724505
746,945.7218606658307
748,961.3482554815512
750,952.9247377791073
752,946.3993018243854
754,936.6526192843046
756,922.5204891458693
758,921.121678963465
760,922.9369510378926
762,925.8837764971214
764,947.750069836112
766,960.1457720850301
768,1009.532020785104
770,1021.9750582196248
772,1053.997515496896
774,1098.8717716045303
776,1127.0729359304419
778,1149.2598429471952
780,1181.8927837808183
782,1195.294618508378
784,1210.1660245916107
786,1216.5252323491704
788,1226.8818965244266
790,1242.0910823923127
792,1278.8223124293481
794,1267.0688176114174
796,1311.6023063138143
798,1327.8842929316834
800,1324.3389967488706
802,1350.2754057675024
804,1352.7445561429104
806,1382.060857468501
808,1356.7720661592566
810,1392.735870581095
812,1417.5591522363927
814,1399.6316233891393
816,1423.9074153161562
818,1433.4903419082066
820,1446.5844717233279
822,1439.9710459897212
824,1479.4675028324982
826,1492.084394038671
828,1520.1586959260976
830,1508.806504948406
832,1505.210580839405
834,1532.8725459957416
836,1534.3395406857821
838,1543.0584110721302
840,1566.0956507007422
842,1564.9931819979506
844,1554.8963856280675
846,1578.0548514174645
848,1616.1277070727897
850,1604.3433494875976
852,1604.3090653521783
854,1624.0537397904895
856,1632.7143752093223
858,1644.2627833781871
860,1654.2505300543169
862,1669.8617230238206
864,1650.1215424461286
866,1694.7573336717278
868,1659.832160985612
870,1651.5325720652302
872,1648.6106081219682
874,1689.5289962771258
876,1627.8911443955194
878,1655.1982264374178
880,1599.6392340890488
882,1572.6300710095384
884,1544.6635390190402
886,1482.7925614589367
888,1436.8845759228725
890,1352.614730348894
892,1276.2830976707367
894,1204.731186656309
896,1121.0517278471998
898,1009.249873739463
900,934.9135375042648
902,812.0074489362645
904,740.6583028366267
906,651.1922357178578
908,563.2175455891186
910,496.16096179394475
912,440.15890990129486
914,366.5765717710127
916,352.988996707208
918,303.1543926448559
920,266.7147682502418
922,244.91020126562714
924,232.69483522093796
926,223.12982723650697
928,210.18225540337335
930,188.00062009909013
932,184.18312163883283
934,176.63507183016324
936,167.73041281446257
938,154.63848418927608
940,139.36360502897952
942,136.55280151302722
944,125.65088567495481
946,110.32076312300339
948,103.69622844389622
950,94.05796288179272
952,91.36206855724737
954,75.21044900346516
956,72.11810394604323
958,66.46859956499269
960,67.13704297125211
962,61.21348398808084
964,59.31669108585431
966,56.772329926239344
968,52.476868934447175
970,52.54711786343662
972,51.952766693004456
974,49.831861688367034
976,43.81274745535493
978,42.69382309637153
980,39.19098730558928
982,35.97919697169688
984,38.2869506662365
986,34.27922896718745
988,28.64838434663664
990,31.294456211548685
992,28.23863048580826
994,28.53088951979907
996,25.02838269988245
998,23.94220615457772
