wave,flux
336,381.47849266086985
338,454.9456323415136
340,521.8985355960779
342,592.9515258969185
344,693.2557141453838
346,815.711342503761
348,928.8580524469223
350,1023.5283517909878
352,1103.112937461438
354,1179.4422713385331
356,1255.3716442807197
358,1333.7120892026965
360,1418.1714958861064
362,1503.2652343842567
364,1585.501999825126
366,1665.2579594114648
368,1743.4166975210446
370,1843.6403554537374
372,1921.5497665992834
374,2006.6692064898107
376,2105.507121296171
378,2241.369638455857
380,2409.3523758444862
382,2625.750980150374
384,2893.1287101384464
386,3196.932254982781
388,3526.3583749835993
390,3888.1131284319154
392,4315.349795821391
394,4829.8506465506725
396,5426.159753426607
398,6109.329205330428
400,6877.558629659345
402,7724.590311010994
404,8605.771092750667
406,9503.572173984101
408,10371.09400443439
410,11221.944116089098
412,12086.000585620466
414,12934.443890798919
416,13826.478834968148
418,14795.079291870925
420,15852.128613606215
422,17062.05130829376
424,18358.208917315067
426,19761.50971447392
428,21156.140281986678
430,22442.276760464534
432,23532.92674691627
434,24421.325581693603
436,25136.893675817064
438,25792.759300101385
440,26489.35465641369
442,27313.089518476747
444,28261.060204901267
446,29398.874020887586
448,30622.947333970387
450,31880.42843156276
452,33185.813931212266
454,34463.15626768044
456,35741.57670865327
458,37051.17560366734
460,38334.46009703964
462,39695.65686242366
464,41097.244239864376
466,42601.73560952368
468,44317.62232907925
470,46293.883174965056
472,48588.571890908235
474,51201.11455361409
476,54098.118751398
478,57136.3127408586
480,60210.87339926355
482,63108.75673864382
484,65687.57782984189
486,67991.657740822
488,69911.48120482956
490,71581.72051443178
492,73156.48954348905
494,74707.54957499352
496,76350.14605775532
498,78212.39758912823
500,80283.46956240677
502,82604.1927558959
504,85095.92651284307
506,87829.7242981237
508,90673.6117108014
510,93617.45843709836
512,96618.25251933851
514,99602.64779739422
516,102574.02345131428
518,105525.81181886478
520,108270.15740789512
522,110969.92980262273
524,113452.36119842739
526,115950.94381455412
528,118274.4955631371
530,120600.11591548944
532,122844.23868849697
534,125215.34824295709
536,127579.90538484421
538,130071.21728683432
540,132662.68344651724
542,135339.38026932205
544,138158.18481309025
546,141046.18415439018
548,144023.4100619282
550,147108.471920096
552,150239.11362326375
554,153499.0765724867
556,156896.1627384305
558,160435.69231368782
560,164040.76313591786
562,167771.0012441524
564,171531.12984219083
566,175466.05115550495
568,179462.38899952517
570,183500.54790709386
572,187535.774475361
574,191745.47396419483
576,195929.07754288436
578,200169.67580698332
580,204538.95374689988
582,208971.4322582642
584,213546.1948962026
586,218354.83451271197
588,223228.95060765484
590,228308.26257635807
592,233590.0764140952
594,238937.2486926779
596,244408.74478654182
598,250131.36077876762
600,255875.20693166082
602,261775.57793025172
604,267876.55102161976
606,274121.02992516494
608,280506.8167489784
610,287094.01195140777
612,293917.62370047247
614,300936.2056167091
616,308143.0594714507
618,315635.3259942024
620,323087.1229723324
622,330688.0482183366
624,338729.5099448847
626,346320.92477944767
628,353399.90693253855
630,360070.7647908538
632,366003.8135512097
634,371007.9560986045
636,374937.491474096
638,377587.6798456201
640,378596.88709590014
642,377910.2381427007
644,375644.1263180561
646,371647.12309896835
648,365848.92711009114
650,358275.9590512706
652,348947.37686839316
654,337954.5655617692
656,325469.2837678104
658,311719.57186092663
660,296906.0566201786
662,281174.70319281804
664,264663.20932774997
666,247734.59346765865
668,231190.8335341256
670,214418.41476832313
672,196692.04308056485
674,183632.57784714253
676,179516.75427320902
678,181236.64761666127
680,184751.32478677132
682,186019.85269281137
684,183688.42776528184
686,183309.0039947933
688,184806.90390972118
690,187037.51369505623
