wave,flux
336,251.7353866725505
338,312.59498103096496
340,351.6061220712916
342,392.8277543281731
344,453.6946349534933
346,527.5882508438062
348,610.528604299906
350,698.3848696215716
352,769.2922995339101
354,857.7098803923234
356,894.9822123356867
358,966.3044215330501
360,1002.1141906336354
362,1026.5812332093815
364,1072.3445134784076
366,1116.9444440478123
368,1225.8263181339103
370,1354.0582643280445
372,1544.931411985383
374,1721.381781249873
376,1948.6641579127954
378,2390.671363489089
380,2956.848075509368
382,3790.6968364615195
384,4512.637152454142
386,5007.265283902245
388,5200.741615470244
390,5377.265245677599
392,5644.3275097647
394,5999.37250828654
396,6385.1335995171075
398,6698.288907059181
400,6940.969048350099
402,7213.663497566577
404,7620.350276891258
406,8039.090309596714
408,8446.009232672639
410,8845.813850472223
412,9195.196523026272
414,9492.146271961163
416,9791.60888601559
418,10177.875018005823
420,10624.825238728637
422,11277.042128327219
424,12048.214645495651
426,13050.155181099286
428,14231.097514347031
430,15372.156812991501
432,16131.973908812628
434,16615.71084645707
436,16533.035302166856
438,16117.109227392473
440,15580.07250379823
442,15224.56727111463
444,14941.817892421028
446,14879.068025906572
448,14885.820706075343
450,15182.639165635006
452,15437.547801466599
454,15827.773063531531
456,16435.093154202863
458,17196.081931647
460,17991.468552114522
462,19067.125026735364
464,19744.769722142013
466,21048.496101765995
468,22093.114028434964
470,23896.794563534702
472,26028.3917440933
474,29564.670146776054
476,34009.22140026376
478,40358.646059824496
480,48415.5438928107
482,57217.9071577859
484,66356.87294162672
486,75354.659504723
488,82295.78134252738
490,87983.87564431858
492,91017.9470763851
494,93078.9751355736
496,93955.14650602623
498,94061.91529768269
500,93631.33452353804
502,92158.83328472775
504,89093.7628042437
506,85733.56450554784
508,80521.21101414437
510,74926.47542558925
512,68391.23330700357
514,62460.881202833596
516,56853.455470675704
518,52233.66732075126
520,48321.84332829249
522,45087.99446123041
524,42772.916306502564
526,40671.751240944075
528,38841.92688439481
530,37087.15509088467
532,35362.208983029486
534,34429.51445951859
536,33124.53151768913
538,31995.428088549557
540,31417.72294140258
542,30790.564390669377
544,30452.643460315987
546,30081.70094876414
548,29915.038838474236
550,29845.881553455187
552,29852.18510477941
554,29999.018563067122
556,29968.557361886866
558,30013.971524945653
560,30311.286551582896
562,30623.368257622966
564,30890.81141751813
566,31113.28434217229
568,31876.91695736196
570,31968.60377672703
572,32289.4760591434
574,32751.660888045342
576,33243.00054673567
578,33535.40356159962
580,33784.04548046936
582,34113.17422369371
584,34277.24237191812
586,34324.15685060721
588,34666.86998668421
590,34812.358593879195
592,34979.746426452744
594,35202.9475373385
596,35291.006491562606
598,35406.6346973296
600,35831.86486502819
602,36108.10094434133
604,36339.08682232064
606,36842.16018154021
608,37458.94929802228
610,37786.08330279637
612,38623.96584180152
614,39681.10957696662
616,40247.44618130496
618,41339.9784892372
620,42641.02687659949
622,43910.709955460035
624,45401.68683362352
626,47107.01057044825
628,48864.353051060025
630,50500.94478955737
632,51983.702486240996
634,53609.39306454799
636,55156.51129939984
638,56162.69088083222
640,57249.300197086006
642,58211.94625525225
644,58428.754602431036
646,58432.53657831674
648,58367.13726272932
650,57935.01265778296
652,56920.71278351389
654,55503.11337251964
656,54074.732260423145
658,52501.16078886579
660,50540.41764378144
662,48052.068103205514
664,45306.8009379331
666,42595.44999338223
668,39854.81399320977
670,37153.32749321482
672,34638.99028350927
674,32037.81486935675
676,29035.464269638054
678,25624.72116999711
680,23637.337761366813
682,24888.199913248598
684,18739.752552024747
686,16959.01081131574
688,16872.48718765481
690,16711.522076581434
692,16514.559478370513
694,16519.54239997777
696,16422.851206388743
698,16863.63043768013
700,17531.38240099875
702,18293.345457594674
704,19017.25088895854
706,19717.685018596825
708,20219.99333722657
710,20536.59619805372
712,20858.21614920404
714,20725.14104283898
716,20590.256381318766
718,20421.076179420426
720,20169.036590377305
722,20111.629158799908
724,20148.94773788249
726,20280.194299690327
728,20596.330947445967
730,20973.96810502347
732,21243.211481650076
734,21417.061136444547
736,21247.07761963233
738,21033.803481504958
740,20707.17312283259
742,20352.50483362291
744,19818.85520206112
746,19455.144344495584
748,19073.52786024736
750,18863.509024635277
752,18543.575179050644
754,18393.629801980558
756,18251.481336253433
758,18171.193776891385
760,17930.70992328582
762,17744.091292474637
764,17664.283276164188
766,17735.26533481299
768,17899.549034385847
770,18085.542719257235
772,18512.33362073802
774,18910.272185648304
776,19242.0319270362
778,19515.571325171488
780,19780.843998689485
782,19908.111398234203
784,19851.364324679595
786,19874.45758906787
788,19697.049633930128
790,19754.37293398486
792,19554.764799000604
794,19671.142533364655
796,19600.299674430218
798,19710.98246572605
800,19969.01445138586
802,19992.90936036001
804,20101.762621499754
806,20174.98447657203
808,20178.595958906848
810,20162.434579621502
812,20168.82107476091
814,20260.205546595535
816,19999.854032248248
818,19980.858760242863
820,19906.1750431246
822,19950.625139799078
824,19754.21098535521
826,19741.10918433329
828,19711.614636403498
830,19695.23142957661
832,19564.22938401661
834,19648.597531272553
836,19613.703448682
838,19569.170178119424
840,19387.059450552897
842,19398.560205893267
844,19254.19937929764
846,19337.45569296518
848,19122.12896992946
850,19176.973352876797
852,19240.76296149632
854,19077.408126356007
856,19009.32217605404
858,18990.41571642388
860,18954.34011359782
862,18789.429168010178
864,18705.577531679683
866,18575.326151932008
868,18399.071240876507
870,18281.610935252756
872,18074.46247598836
874,17940.650891450823
876,17663.307358305523
