wave,flux
336,49.61523070143964
338,61.78218348229022
340,72.96640555572061
342,80.07122810308948
344,91.1088329456974
346,97.84764866487112
348,105.91332444509034
350,107.3090319457848
352,122.07623203831008
354,124.24177163961845
356,123.25645035402523
358,125.26009052267626
360,127.27871468572933
362,129.48369340899524
364,131.950709552284
366,125.18011527568456
368,118.07614842867346
370,111.8756904190048
372,115.07552429307512
374,113.45347844909465
376,112.91251701528878
378,115.29673089544302
380,115.82252112990804
382,134.3538294762195
384,135.02483960063006
386,144.24733126393883
388,162.79346498028968
390,178.27989190003558
392,196.6357126927376
394,211.06502950687488
396,233.65579149923778
398,252.99395884095932
400,267.5300087684996
402,305.7624967864209
404,328.4143882533743
406,371.31338299593017
408,394.3364862135191
410,410.12316867868896
412,444.3383143585199
414,457.91959139777015
416,462.2175845846271
418,482.6072057638907
420,501.2028721077115
422,537.2689729949368
424,582.9284559212313
426,645.4347124485272
428,670.2860451292679
430,733.8751819959889
432,762.363669384538
434,815.5048092423738
436,834.9217603266036
438,826.4953663735122
440,866.8243910525896
442,872.5953628516062
444,885.896865994754
446,927.7799360176862
448,948.7388729028744
450,1007.288266250391
452,1023.7732784835619
454,1083.4058142204535
456,1138.7845404076406
458,1181.1206392677313
460,1254.3823576191664
462,1286.7821324862705
464,1357.824408849936
466,1400.867250400286
468,1429.821384153488
470,1454.7550209257
472,1514.53430553218
474,1531.1054216129664
476,1579.8705873755619
478,1637.0441076380864
480,1697.1044949683933
482,1769.2813450744309
484,1786.0960323822817
486,1865.019858897773
488,1862.237306415973
490,1924.7865966015077
492,1927.494298086287
494,1973.1206022930785
496,1941.288748104158
498,1995.6158055051806
500,2019.8609414061486
502,2059.026076449585
504,2083.0344857998616
506,2130.3294190224424
508,2158.11907566523
510,2223.709474959117
512,2250.963754128627
514,2307.8852497491303
516,2396.741743732371
518,2432.643436309261
520,2555.8144265310575
522,2591.4208048750634
524,2652.0441596933797
526,2757.392832537311
528,2759.9893085182784
530,2876.98871704044
532,2904.2561835826955
534,2963.421016033142
536,3042.3894152175603
538,3071.358051657026
540,3142.924332419877
542,3162.7230425930584
544,3196.880020395123
546,3261.4771161235817
548,3334.2345672515244
550,3323.555721961953
552,3418.4872152194393
554,3443.8270144841435
556,3482.0472801816704
558,3567.323701592184
560,3584.521568018912
562,3651.1041659159914
564,3730.5130110972505
566,3793.685064966118
568,3906.8046168745805
570,3938.8404889115354
572,3895.3104065106536
574,4049.4818319694828
576,4131.988798152976
578,4128.618959168075
580,4201.877570549968
582,4269.0250887124475
584,4279.902068447196
586,4371.956028336907
588,4428.36261947095
590,4475.5196672235
592,4526.500688324304
594,4569.530812913146
596,4633.4602145667295
598,4753.396268489316
