wave,flux
336,9.30637753743224
338,14.181361566869882
340,17.671971740517485
342,22.879119740983572
344,25.991967933807178
346,31.37826993339535
348,33.11460429245585
350,31.490034070684185
352,31.436934930024425
354,28.699097237038092
356,31.877998124427094
358,32.87620060689687
360,32.75524859474107
362,32.14144711703337
364,28.97130432021943
366,26.150316992233183
368,26.913900160352565
370,26.461782635771858
372,29.62849952180399
374,31.471600777395444
376,31.82667182655966
378,33.50647670967566
380,36.81011410753759
382,35.742755499856145
384,37.798719962282156
386,42.00794521285331
388,39.638427614197866
390,45.628073180207764
392,57.551933322326875
394,61.59275893672758
396,74.06411110875443
398,78.87411427621777
400,96.74867124197974
402,93.4968090049887
404,113.46470925877172
406,122.94719194372533
408,128.90078270747267
410,136.58086366463476
412,135.31692989601086
414,141.45263456355005
416,153.6874403412819
418,161.03441625817683
420,168.5805459268263
422,180.02276665044556
424,180.51686515295083
426,197.89027392777177
428,202.5903136772773
430,224.6594774230181
432,219.15219387607922
434,231.39875054453793
436,233.82601940791938
438,233.06254818084
440,235.73808784358425
442,243.01484577677832
444,259.3872649884984
446,264.98642675474963
448,280.34067216396716
450,296.8942192719916
452,312.56940789041727
454,350.4082912266799
456,393.7159304589548
458,426.99065282230805
460,485.56137377488824
462,505.41090578278863
464,539.0355862784803
466,541.3533853564251
468,561.2123940158477
470,553.1836544313503
472,555.5488565695304
474,546.2267503927472
476,545.4869425411479
478,548.2543695692133
480,568.9769151055757
482,580.6290321005745
484,589.0065021496532
486,608.217114791889
488,603.3471610738477
490,608.1405691822015
492,609.563403895547
494,606.0181289076579
496,597.7941218569945
498,581.4587646651065
500,591.2878411328579
502,589.1683353574076
504,598.9321206052712
506,610.2703468472346
508,615.314824839186
510,612.8010736617115
512,656.522352329606
514,652.1485547535087
516,688.080342996145
518,690.8571084465316
520,696.2247984990953
522,718.7156234003699
524,717.5429911994172
526,733.8615443197048
528,753.7754279158772
530,760.5371939390482
532,789.565823999076
534,793.3323643129455
536,804.7288387391822
538,821.8309542152327
540,826.7414989693729
542,823.7058637783365
544,853.7210823673444
546,854.9761386567268
548,865.7959052634532
550,894.9567552911823
552,908.3721975567265
554,919.9179972740711
556,951.4796132207547
558,969.6313290190735
560,973.8423477895179
562,1010.7976531387626
564,1048.1559035926332
566,1088.1412138988403
568,1117.8417301402678
570,1144.5412874616322
572,1171.204860669407
574,1179.568506762379
576,1186.0440469302785
578,1222.555077129101
580,1256.8240955444212
582,1264.944476765468
584,1280.1852807148612
586,1312.901435569439
588,1335.0433900807247
590,1402.6402151216876
592,1433.3276562421904
594,1444.4983650275528
596,1479.134725800869
598,1508.8717201993281
600,1565.3954164241761
602,1591.605300588654
604,1648.3220424707936
606,1742.1379323333342
608,1784.9794864977541
610,1844.938796231248
612,1899.5192243809631
614,1963.1044102799576
616,2081.638751683492
618,2213.047827390131
620,2291.0727442838343
622,2377.859635280622
624,2566.9825626672236
626,2736.462408600466
628,2854.5223400240784
630,2964.4023409649153
632,3110.8983614161957
634,3256.166126449646
636,3361.1608725466785
638,3427.168160678781
640,3511.001652266203
642,3616.4275248497643
644,3694.3302040439626
646,3694.838970776034
648,3656.7359883651625
650,3649.570130057552
652,3629.130831408192
654,3581.866451114171
656,3526.975279871242
658,3420.659676984759
660,3252.5932715359713
662,3072.3572865178717
664,2894.1332372321635
666,2730.185684125342
668,2622.0786903866124
670,2504.2721993651803
672,2272.4094339053768
674,2134.2134574586307
676,2062.6372596654946
678,1399.340331082305
680,1213.3666879134173
682,1467.6987383328847
684,1442.3217617001249
686,1502.2329743129783
688,1587.285463073425
690,1651.4189323606115
692,1729.9054762206179
694,1830.6895559664208
696,1918.3780934554882
698,2039.5001892310836
700,2120.9242071684926
702,2194.2046622818716
704,2243.6170698962023
706,2237.5709018228936
708,2184.233349962542
710,2112.730273323057
712,2073.415454785064
714,2000.2831558492674
716,2014.035862914496
718,2004.4633646257616
720,2067.88013355826
722,2172.6426411959983
724,2348.3913176358305
726,2521.9341483316216
728,2755.311110712236
730,2990.1794589951437
732,3251.9633502182583
734,3554.1915241534334
736,3862.7951548738415
738,4171.444529903283
740,4499.482116036455
742,4840.175746305132
744,5173.827477433644
746,5405.337492979014
748,5659.5712205355085
750,5876.497571167078
752,5929.3278381127
754,5935.430085213435
756,5825.656490042897
758,5710.812640691334
760,5502.604603389288
762,5211.655031389757
764,5075.4426430925305
766,4741.659709472673
768,4641.48153803368
770,4446.946103848207
772,4421.383879803317
774,4398.038427605099
776,4492.964500943688
778,4667.0380745120865
780,4838.858084904374
782,4912.091761692991
784,5120.79921789644
786,5310.167348155055
788,5499.641559341194
790,5703.0172033134
792,5941.457219403144
794,6259.713928808384
796,6643.795399666882
798,7094.614117561025
800,7592.995899406431
802,8248.27343711899
804,8771.013042535102
806,9472.302001616721
808,9971.551788873705
810,10724.556297793166
812,11145.957700399531
814,11717.5889421333
816,12183.718816855144
818,12586.873973748648
820,12727.761493893764
822,12690.528566891475
824,12700.30699519163
826,12612.16717615908
828,12576.544014827972
830,12360.205084335146
832,12172.309180851209
834,11862.083419477809
836,11583.361580670902
838,11346.745720462512
840,11239.828394094071
842,10884.978224955868
844,10760.797860553736
846,10587.341454884065
848,10455.930559576116
850,10422.390187186033
852,10518.784180448714
854,10403.091236369197
856,10663.558036698269
858,10793.911689953706
860,11027.91332966528
862,11459.414305198603
864,11722.522320783832
866,12067.936206624105
868,12424.185491129996
870,12749.628176518381
872,13300.032125967316
874,13651.568716948988
876,14164.01491762134
878,14455.788283650803
880,14645.755114007332
882,14906.921047616623
884,15074.015406996637
886,15237.651965106825
888,15386.498098332786
890,15109.311097449581
892,15074.511169118168
894,14880.138740474742
896,14735.368524849762
898,14428.082945172946
900,14099.605149958255
902,13768.273797557014
904,13210.331062285519
906,12736.027753346774
908,12230.23812791154
910,11605.916464134716
912,10913.254303585356
914,10188.821243817543
916,9531.66653473106
918,8773.427617705293
920,7891.065188982863
922,7114.074767628621
924,6299.093800283668
926,5540.223435103373
928,4936.607342016925
930,4252.315839943884
932,3723.8903759267296
934,3277.172408066802
936,2852.2389563948846
938,2626.847550518196
940,2355.35215100423
942,2189.165639475996
944,2028.7484822616773
946,1896.1085743363833
948,1786.536779247406
950,1755.397864138511
952,1680.3498953854134
954,1620.2759474058548
956,1500.5738404638275
958,1409.6195112877786
960,1259.5956867730804
962,1212.6681125506543
