wave,flux
579.7349067000001, ,-2.0815906525167915
580.4012016, ,0.030599899386802583
581.0690204, ,54.248665969020884
581.7383737, ,115.34618871267395
582.4092722999999, ,176.34501401364747
583.0817268999999, ,243.2842630925001
583.7557482999999, ,318.50836576782774
584.4313472, ,394.5220925442391
585.1085343999999, ,472.51928442452
585.7873207, ,553.030343870032
586.4677171, ,570.6011697607689
587.1497343999999, ,589.3177367644535
587.8333835, ,606.0094670744493
588.5186752999999, ,618.1666327257839
589.2056208, ,635.9532277292436
589.8942308999999, ,649.5610606184978
590.5845168, ,663.5465516965038
591.2764894, ,681.1379351571268
591.9701597999999, ,692.4566485918327
592.665539, ,711.244198193732
593.3626383, ,724.7402236441408
594.0614688, ,738.9991384903319
594.7620416, ,747.8424294647863
595.4643679, ,758.2831402994367
596.1684591, ,778.2602348590358
596.8743264, ,793.279850751537
597.5819809999999, ,816.8526448351744
598.2914344, ,833.38439246612
599.0026978, ,845.0805243087148
599.7157827000001, ,869.3939202677669
600.4307005, ,881.6261300004536
601.1474627, ,898.2664785754961
601.8660807, ,902.7203225027388
602.5865660000001, ,915.7359665568773
603.3089302999999, ,915.6432230403783
604.0331851, ,910.7535175787466
604.7593419, ,919.0308153686098
605.4874126, ,911.2167659289172
606.2174086, ,919.1476767041482
606.9493418, ,924.7749223023868
607.6832239, ,953.4948587990456
608.4190667, ,994.2667328381726
609.1568819, ,1035.7832059851785
609.8966815, ,1100.1256112482479
610.6384772000001, ,1166.8601648978115
611.3822811000001, ,1237.1662246668914
612.128105, ,1315.9500138031622
612.8759610000001, ,1387.4210596800729
613.625861, ,1455.8915611482723
614.3778171, ,1514.1247611081103
615.1318413, ,1556.3738989476046
615.8879458, ,1588.5654469786318
616.6461426, ,1614.9937900737177
617.4064441, ,1642.413744346796
618.1688624, ,1667.990066048943
618.9334097, ,1698.0459396165168
619.7000982000001, ,1752.4876898694656
620.4689404000001, ,1801.2004190484909
621.2399486, ,1874.2662602396854
622.0131351, ,1962.518746741859
622.7885123, ,2072.0817038521595
623.5660927, ,2164.322490831983
624.3458887999999, ,2294.6092098157783
625.127913, ,2400.4397315476
625.9121779, ,2541.9861121724202
626.698696, ,2691.178016070478
627.48748, ,2877.7959859496027
628.2785426, ,3092.746889906209
629.0718962999999, ,3386.5583016009205
629.8675538, ,3748.5403285785433
630.6655279, ,4200.001019250421
631.4658314, ,4810.513587514356
632.268477, ,5559.7490481490795
633.0734776, ,6498.091033820722
633.880846, ,7632.634920221302
634.6905951, ,9025.577290376421
635.5027378999999, ,10728.375114722641
636.3172871, ,12771.010274295992
637.1342559, ,15133.922904696643
637.9536572000001, ,17903.03617693986
638.775504, ,21099.378401593487
639.5998095, ,24686.008666285008
640.4265866000001, ,28797.286664478463
641.2558486, ,33347.87578992138
642.0876085, ,38455.256825621545
642.9218795, ,44003.6864381111
643.7586747, ,50124.633974255165
644.5980075, ,56958.465228768
645.4398911000001, ,64508.82229110628
646.2843386, ,72868.02996770582
647.1313635, ,82179.67119424674
647.980979, ,92557.50163949995
648.8331985, ,104070.88000300467
649.6880352999999, ,116744.1894449142
650.5455028, ,130432.49470190695
651.4056144, ,144971.36594951374
652.2683836, ,159969.98394248175
653.1338237000001, ,175147.17725414268
654.0019482999999, ,189804.94800160907
654.8727708, ,203206.39790540293
655.7463047, ,214898.13110832663
656.6225636, ,224130.19860195226
657.501561, ,230455.1036701756
658.3833105, ,233365.42602159746
659.2678255, ,232767.67112710286
660.1551197000001, ,228809.75372065962
661.0452068, ,221649.6263211276
661.9381002, ,211842.39874379066
662.8338137000001, ,200303.75431565245
663.7323607999999, ,187565.9199345515
664.6337553, ,174576.06845970658
665.5380107000001, ,162211.87523169158
666.4451407, ,151145.80421281912
667.355159, ,141686.4798295646
