wave,flux
579.7349067000001, ,-0.8671805401184627
580.4012016, ,1.976357578126479
581.0690204, ,8.589752322505982
581.7383737, ,13.799833919646993
582.4092722999999, ,24.795513276206638
583.0817268999999, ,39.813876563395034
583.7557482999999, ,51.408830653557644
584.4313472, ,52.655350627431815
585.1085343999999, ,62.10834389036597
585.7873207, ,65.05218591458225
586.4677171, ,71.61972887926586
587.1497343999999, ,76.65025664512177
587.8333835, ,75.47681760486874
588.5186752999999, ,78.18731094428159
589.2056208, ,92.85138903229836
589.8942308999999, ,82.67535009250783
590.5845168, ,97.11030968277905
591.2764894, ,94.96543780231438
591.9701597999999, ,95.14758345680364
592.665539, ,106.45324920373741
593.3626383, ,96.4298864205672
594.0614688, ,94.05276245626345
594.7620416, ,106.67422967732162
595.4643679, ,105.79882281586036
596.1684591, ,116.54151210273736
596.8743264, ,115.313337772663
597.5819809999999, ,114.73832270442792
598.2914344, ,112.43449466895169
599.0026978, ,112.69302396886029
599.7157827000001, ,118.24643696725224
600.4307005, ,110.23793489092657
601.1474627, ,120.10219247751623
601.8660807, ,108.20793813769079
602.5865660000001, ,122.3617787230788
603.3089302999999, ,112.44870383933169
604.0331851, ,112.70428428775094
604.7593419, ,106.56979906949893
605.4874126, ,109.25944798774887
606.2174086, ,79.58102227567014
606.9493418, ,116.11545359184223
607.6832239, ,97.77344760977805
608.4190667, ,95.90312705333322
609.1568819, ,109.43402683626506
609.8966815, ,103.4763463931016
610.6384772000001, ,139.8941071537429
611.3822811000001, ,154.97368817294497
612.128105, ,142.20440004962632
612.8759610000001, ,178.36853392342826
613.625861, ,173.1626166774072
614.3778171, ,185.65596490960402
615.1318413, ,187.02714692137462
615.8879458, ,189.18124224457185
616.6461426, ,188.8905542022737
617.4064441, ,190.41931665064288
618.1688624, ,180.57237267027855
618.9334097, ,175.43152302705204
619.7000982000001, ,158.54721481092986
620.4689404000001, ,195.037623883608
621.2399486, ,191.3401361713904
622.0131351, ,209.6633661640838
622.7885123, ,191.6719867575356
623.5660927, ,226.5406453847521
624.3458887999999, ,229.8064893599369
625.127913, ,224.85616576983261
625.9121779, ,277.58307143127337
626.698696, ,254.0822797440714
627.48748, ,312.5711098878131
628.2785426, ,334.815342106686
629.0718962999999, ,351.06422476547914
629.8675538, ,407.70143336763823
630.6655279, ,428.5035375334908
631.4658314, ,549.7171362534542
632.268477, ,564.8467910410078
633.0734776, ,677.5623035401402
633.880846, ,737.2204469109864
634.6905951, ,902.2005868622333
635.5027378999999, ,1147.7776134630913
636.3172871, ,1171.1704469619506
637.1342559, ,1362.4129842989307
637.9536572000001, ,1683.2776313686475
638.775504, ,1840.5290422382159
639.5998095, ,2198.9481152589733
640.4265866000001, ,2481.1790811800165
641.2558486, ,2781.681110986628
642.0876085, ,3325.8865755242855
642.9218795, ,3956.4867441176393
643.7586747, ,4697.91826594231
644.5980075, ,5322.087631242518
645.4398911000001, ,6229.880245465744
646.2843386, ,7624.056677740948
647.1313635, ,8726.84408749906
647.980979, ,10708.73836032365
648.8331985, ,12406.026682687525
649.6880352999999, ,14697.849825747828
650.5455028, ,17157.36744748994
651.4056144, ,20036.391755501154
652.2683836, ,22914.45472919608
653.1338237000001, ,26119.86952221972
654.0019482999999, ,28585.15266816316
654.8727708, ,31128.841871881035
655.7463047, ,33670.24732841329
656.6225636, ,35220.80148800235
657.501561, ,36351.03294617704
658.3833105, ,36944.90691900575
659.2678255, ,36731.266910690276
660.1551197000001, ,35737.09914342855
661.0452068, ,34201.884132867315
661.9381002, ,32190.636412976586
662.8338137000001, ,29539.29928474333
663.7323607999999, ,27081.444353336206
664.6337553, ,23978.38897127776
665.5380107000001, ,21475.486916201862
666.4451407, ,19235.180080460577
667.355159, ,17536.970089301536
668.2680793, ,16045.29141435232
669.1839152000001, ,14795.082513079466
670.1026805, ,14139.272788714226
671.0243889, ,13599.944302724887
671.949054, ,13482.90388474297
672.8766895, ,13369.408943896318
673.8073092, ,13356.710612894229
674.7409267, ,13516.59488294907
675.6775557999999, ,13362.019095392496
676.6172101, ,13299.688728805952
677.5599033, ,12821.7224481432
