wave,flux
579.7349067000001, ,23.415119726777764
580.4012016, ,7.368814432031785
581.0690204, ,450.52241650037706
581.7383737, ,938.6937250357812
582.4092722999999, ,1456.2960214921507
583.0817268999999, ,2021.3423480153706
583.7557482999999, ,2626.503344098042
584.4313472, ,3270.89203802895
585.1085343999999, ,3966.940025642381
585.7873207, ,4689.3539881910165
586.4677171, ,4854.335532244706
587.1497343999999, ,5015.443534696108
587.8333835, ,5184.81020346287
588.5186752999999, ,5342.395576914416
589.2056208, ,5505.2553344328635
589.8942308999999, ,5660.775947304939
590.5845168, ,5805.994286896654
591.2764894, ,5954.506566589968
591.9701597999999, ,6088.794054264301
592.665539, ,6209.936505723647
593.3626383, ,6337.223054015515
594.0614688, ,6457.602086847794
594.7620416, ,6564.182204071285
595.4643679, ,6689.9531515658655
596.1684591, ,6808.848681220598
596.8743264, ,6955.609335401303
597.5819809999999, ,7104.98609556117
598.2914344, ,7269.758584031145
599.0026978, ,7459.15265626136
599.7157827000001, ,7664.359873899949
600.4307005, ,7891.259442275426
601.1474627, ,8103.215043174409
601.8660807, ,8343.503382284129
602.5865660000001, ,8573.975566555113
603.3089302999999, ,8816.898192684923
604.0331851, ,9054.84542839927
604.7593419, ,9289.473040379875
605.4874126, ,9528.934431497464
606.2174086, ,9777.754175643813
606.9493418, ,10048.515430228763
607.6832239, ,10328.165340625586
608.4190667, ,10648.785686124576
609.1568819, ,10998.652964787329
609.8966815, ,11375.474053782407
610.6384772000001, ,11766.960153940216
611.3822811000001, ,12190.275541782548
612.128105, ,12631.101807507801
612.8759610000001, ,13079.899853342327
613.625861, ,13551.172260358213
614.3778171, ,14004.460198826268
615.1318413, ,14462.49481170876
615.8879458, ,14959.826992331002
616.6461426, ,15478.53155504318
617.4064441, ,16046.351605348873
618.1688624, ,16671.79514949549
618.9334097, ,17361.4793616479
619.7000982000001, ,18152.417955667657
620.4689404000001, ,19012.692283846045
621.2399486, ,19934.14148763668
622.0131351, ,20970.372077808082
622.7885123, ,22095.425379209057
623.5660927, ,23304.443883859018
624.3458887999999, ,24590.745561328644
625.127913, ,26002.79977828026
625.9121779, ,27536.321497658468
626.698696, ,29232.01337035241
627.48748, ,31283.561167557218
628.2785426, ,33772.481793138286
629.0718962999999, ,36832.58589345721
629.8675538, ,40782.02129648154
630.6655279, ,45922.42691659812
631.4658314, ,52698.117041424084
632.268477, ,61535.316629092675
633.0734776, ,73104.97735080204
633.880846, ,87922.11306652782
634.6905951, ,106728.83104309092
635.5027378999999, ,130145.21859164664
636.3172871, ,158867.67830909946
637.1342559, ,193221.68938678165
637.9536572000001, ,233653.6390934288
638.775504, ,280353.4550849721
639.5998095, ,333024.3155487696
640.4265866000001, ,391375.5289483616
641.2558486, ,454727.6013889442
642.0876085, ,522328.0418185789
642.9218795, ,592884.8400113317
643.7586747, ,665504.4264277174
644.5980075, ,738860.8124061871
645.4398911000001, ,811484.645568833
646.2843386, ,882812.3504770837
647.1313635, ,951746.998586903
647.980979, ,1017771.8717764063
648.8331985, ,1080482.1170141594
649.6880352999999, ,1139679.976500257
650.5455028, ,1195240.3163035614
651.4056144, ,1247217.147079256
652.2683836, ,1295660.734323793
653.1338237000001, ,1340194.1594478032
654.0019482999999, ,1380840.982324703
654.8727708, ,1417189.89828382
655.7463047, ,1448387.2681633078
656.6225636, ,1474258.77758169
657.501561, ,1493799.75999936
658.3833105, ,1506883.9917183958
659.2678255, ,1513055.7930764512
660.1551197000001, ,1512321.0299686682
661.0452068, ,1505252.9453381256
661.9381002, ,1492448.8926829202
662.8338137000001, ,1475075.20443591
663.7323607999999, ,1454623.2443818275
664.6337553, ,1432629.849848445
665.5380107000001, ,1410327.8702068753
666.4451407, ,1389611.03772204
667.355159, ,1371479.2966420671
668.2680793, ,1356877.3893445416
669.1839152000001, ,1346136.1142773523
670.1026805, ,1339688.6754265479
671.0243889, ,1337247.2682905032
671.949054, ,1338375.3785392828
672.8766895, ,1342521.1711173998
673.8073092, ,1349116.3752263782
674.7409267, ,1357894.8577417564
675.6775557999999, ,1368139.6486245953
676.6172101, ,1379895.9458645543
677.5599033, ,1393057.5210915487
678.5056492000001, ,1407440.3989094212
679.4544612999999, ,1423836.4878881725
680.4063535, ,1441988.5189045426
681.3613392999999, ,1462330.834091129
682.3194324, ,1485233.5922172791
683.2806465, ,1510865.4308898598
684.2449952000001, ,1538969.5029849096
685.2124921, ,1570106.5377049802
686.1831509, ,1604185.7744650173
687.1569850999999, ,1640894.4852847566
688.1340083, ,1680719.2154039647
689.1142341, ,1723278.9433431355
690.097676, ,1768817.3358699202
691.0843474999999, ,1817123.113476015
692.0742622, ,1867581.9049554574
693.0674334, ,1920601.377629854
694.0638748, ,1974927.1325804263
695.0635996, ,2029906.572595652
696.0666212, ,2084070.453953863
697.0729531000001, ,2136340.091200267
698.0826086, ,2185145.765304829
699.0956008999999, ,2228403.8139157617
700.1119432999999, ,2265124.4171305173
