wave,flux
579.7349067000001, ,1.4224472048771335
580.4012016, ,-3.8574122998525824
581.0690204, ,79.21664395776499
581.7383737, ,164.56436119703605
582.4092722999999, ,255.7171903306213
583.0817268999999, ,351.46789929079523
583.7557482999999, ,447.2621311645127
584.4313472, ,560.8234406484953
585.1085343999999, ,669.5943115041129
585.7873207, ,794.9770623955181
586.4677171, ,820.3118232934828
587.1497343999999, ,843.8856587479885
587.8333835, ,863.5332084735393
588.5186752999999, ,899.864614770044
589.2056208, ,918.6921504124484
589.8942308999999, ,940.0188417095007
590.5845168, ,965.9441009948503
591.2764894, ,991.7009039558757
591.9701597999999, ,1011.7173950112747
592.665539, ,1026.0374946848751
593.3626383, ,1054.4956646420187
594.0614688, ,1075.1736863974513
594.7620416, ,1094.1564468289512
595.4643679, ,1116.3925901745179
596.1684591, ,1142.1680189524382
596.8743264, ,1158.9780081799404
597.5819809999999, ,1188.7476783019404
598.2914344, ,1214.9310751705527
599.0026978, ,1239.6293557981642
599.7157827000001, ,1265.4608292453318
600.4307005, ,1291.692453847154
601.1474627, ,1307.9423138561826
601.8660807, ,1324.0827652978512
602.5865660000001, ,1330.4728975235878
603.3089302999999, ,1332.05529594452
604.0331851, ,1334.5513876635086
604.7593419, ,1325.277060811893
605.4874126, ,1317.437417619489
606.2174086, ,1320.7669205936566
606.9493418, ,1327.1983781236438
607.6832239, ,1348.7322940418767
608.4190667, ,1380.4481922867144
609.1568819, ,1440.9260981209686
609.8966815, ,1518.9433853619698
610.6384772000001, ,1589.4619930971885
611.3822811000001, ,1690.1025386985166
612.128105, ,1787.4676437129667
612.8759610000001, ,1877.806925100649
613.625861, ,1967.4857657419736
614.3778171, ,2050.2568475543576
615.1318413, ,2118.5041548728686
615.8879458, ,2166.418136490609
616.6461426, ,2217.5591553358868
617.4064441, ,2252.1755365647878
618.1688624, ,2300.4667777633827
618.9334097, ,2339.0931959356863
619.7000982000001, ,2401.25000858782
620.4689404000001, ,2503.2635268176064
621.2399486, ,2600.5012838639527
622.0131351, ,2718.5754138124184
