wave,flux
1817.164934,4.644009778601983
1790.1022050000001,8.441823683644833
1763.812741,30.888221159028287
1738.2646949999998,68.81120585844516
1713.427949,330.1574245426028
1689.273995,1563.2352253751285
1665.7758310000002,4193.434974021316
1642.907862,8504.03149480716
1620.64581,14471.947266678315
1598.9666300000001,22473.374423743066
1577.8484310000001,32404.08076089399
1557.270407,44548.315574551925
1537.212767,58843.08827604832
1517.65668,73826.70743193367
1498.5842089999999,88795.84524261547
1479.978265,103633.59814658044
1461.822555,117953.46392245466
1444.101535,131527.48268773648
1426.800368,144479.28671574855
1409.904887,156366.6351916265
1393.401553,167235.34226740673
1377.2774220000001,177449.38523028325
1361.520115,187690.02316121204
1346.117782,197592.2657353536
1331.059081,207342.34072486163
1316.3331449999998,217065.3831934517
1301.92956,226528.3625109432
1287.838342,235980.4594920431
1274.049912,245218.99083156555
1260.5550779999999,254285.8244954005
1247.345017,263333.1403899975
1234.4112519999999,272223.77699682175
1221.74564,281067.4440230602
1209.340352,289399.2852593345
1197.187859,298233.4501385
1185.28092,306705.78200934303
1173.612564,314905.62637699733
1162.1760800000002,323167.48006756854
1150.9650060000001,331423.7868482153
1139.973115,339767.96336124267
1129.194406,347400.9118697186
1118.623093,355410.27534179296
1108.253594,363249.92083395366
1098.0805269999998,370723.0225524119
1088.098695,378496.47395437135
1078.303081,385856.02156359283
1068.688841,393710.0815667917
1059.251295,402308.96816468326
1049.9859199999999,411332.37977481505
1040.8883449999998,421775.54182364495
1031.9543429999999,433601.89667071705
1023.1798259999999,447608.6844583069
1014.5608390000001,463355.8349753352
1006.0935529999999,481655.6190288617
997.774265,502115.936885475
989.5993858999999,523987.6340858525
981.5654412999999,547721.5942865168
973.6690651,572211.60748414
965.9069952,596961.0764973579
958.2760697000001,621497.5436070467
950.7732231000001,644892.814742677
943.3954827,667230.9790206256
936.1399648,688066.3507163506
929.0038716,706474.8956521953
921.9844879000001,724238.9431788378
915.0791782,740026.5148309065
908.2853836000002,754052.9756701748
901.6006193,768430.2814388378
895.0224714,783690.5473805186
888.548595,799387.9196020996
882.1767113,818083.739948576
875.9046055,840016.4220868297
869.7301242999998,866901.2628424881
863.6511742999999,898150.422456342
857.6657193,937922.9892147286
851.7717787,985802.975189464
845.9674256000001,1043787.7276737816
840.2507849,1114171.5538678088
834.6200316000001,1198669.6627603134
829.0733892000001,1294260.3539395817
823.6091279,1407490.9410423082
818.2255633999999,1536849.2484196585
812.9210552000001,1680091.59933558
807.694005,1832935.779750759
802.5428559,1994575.7989061715
797.4660904,2167588.7520177145
792.4622299,2344902.554351966
787.5298327,2536338.66183138
782.6674933999999,2750591.71895402
777.8738417999999,2992649.9914895445
773.1475413,3264237.38266913
768.4872882999999,3556776.1923092017
763.8918112000001,3879370.406719502
759.3598692,4211386.8545072805
754.8902515999999,4555127.701622032
750.4817767999999,4891957.799810786
746.1332914,5197665.507609097
741.8436694000001,5448055.8604088165
737.6118116,5654670.622914801
733.4366444,5809340.4970157435
729.3171195,5922872.542094919
725.2522127999999,5989008.800733021
721.2409241,6029765.885113413
717.282276,6044258.015519634
713.3753136,6042740.116362368
709.5191037000001,6041398.448765722
705.7127343,6039873.387803133
701.9553139,6041501.241821369
698.2459709,6044074.228721888
694.5838534,6044110.058233738
690.9681281000001,6039655.149525676
687.3979803,6041849.961291462
683.8726131,6040106.19547824
680.3912472999999,6041927.1271446515
676.9531202000001,6039686.725137634
673.557486,6039931.798130322
670.2036149,6041108.13671664
666.8907926,6040790.737824992
663.6183202999999,6040391.199989119
660.3855139,6040862.903748271
657.1917038,6040108.999968883
654.0362346,6041239.987168891
650.9184646000001,6040804.650868086
647.8377654,6043496.303449124
644.7935217999999,6042293.52607332
641.7851312999999,6042183.232343611
638.8120038,6040149.091041485
635.8735614,6040797.257132912
632.9692378999999,6039677.0407277625
630.0984786,6040749.842490586
627.2607402000001,6039471.103754279
624.4554901,6041833.3991513485
621.6822068,6041069.076290946
618.940379,6041047.943364603
616.2295054,6040811.513515018
613.549095,6041923.122836732
610.8986664,6041490.110613788
608.2777476,6041256.881231532
605.6858758999999,6041273.609389228
603.1225977000001,6040965.803754384
600.5874682,6041665.194065852
598.0800512,6041288.350666327
595.5999188999999,6041766.304767726
593.1466518,6041334.568701047
590.7198384999999,6041288.928856865
588.3190752,6041279.185030789
585.943966,6041515.465488058
583.5941226,6041200.652791472
581.2691637,6041534.346596773
578.9687155,6041193.287483318
576.692411,6041127.067996951
574.4398902,6041564.616757961
572.2107997,6041133.210441298
570.0047927,6041293.6836973475
567.8215287,6041591.04381868
565.6606737000001,6041458.821584293
563.5218996,6041245.953731802
561.4048845,6041198.563376675
559.3093121,6041153.955180874
557.2348721,6040983.118906324
555.1812597,6041481.069207395
553.1481756000001,6041703.994262262
551.1353259,6041475.016209532
549.1424218999999,6041426.968571902
547.1691801,6041486.995449414
545.2153222000001,6041271.249929813
543.2805745000001,6041665.795448752
541.3646685,6041356.703489218
539.46734,6041319.022520882
537.5883299,6041644.452207592
535.7273833,6041499.328850563
533.8842498,6041457.214901319
532.0586836,6038594.056346863
530.2504428000001,6031003.199591532
528.45929,6019848.885319902
526.6849915,6008403.578735688
524.927318,5997333.2215839485
523.186044,5986098.526764892
521.4609475999999,5975176.8936436465
519.7518110000001,5964647.335563707
518.0584200000001,5959189.197891507
516.3805639,5963710.596941676
514.7180356,5974895.354144718
513.0706316000001,5985966.173807742
511.43815149999995,5997082.826738321
509.82039860000003,6007954.76810522
508.2171791999999,6019248.400144602
506.628303,6029857.892686044
505.05358269999994,6037462.437159386
503.4928341,6041402.751004449
501.9458762,6041161.650437629
500.41253059999997,6041817.07745209
498.8926222,6041270.136421148
497.3859785,6041128.072867494
495.89242989999997,6041481.028928475
494.4118094,6041360.0597981475
492.943953,6031150.180906845
491.488699,5998961.657605702
490.04588839999997,5934381.243331417
488.6153648,5830952.784504212
487.19697429999997,5680799.249703375
485.7905654,5479431.9634876335
484.39598889999996,5223133.3004436465
483.01309800000007,4908307.571775109
481.64174840000004,4553136.013065794
480.28179789999996,4178305.192054297
478.93310639999993,3802937.895314828
477.59553619999997,3441435.760922132
476.2689517,3105345.1906662555
474.9532192,2803906.3589951
473.6482074,2545143.438401916
472.35378679999997,2334402.6574910046
471.06982989999995,2163804.2755114264
469.79621110000005,2023457.666189961
468.53280700000005,1903864.625992444
467.2794956999999,1796985.6778991097
466.0361575,1697742.7552373686
464.80267410000005,1601405.9393343416
463.5789295,1504817.752705925
462.364809,1406978.3273497995
461.1601998,1307902.8100502621
459.9649909,1210824.903440682
458.7790727,1118915.6700614102
457.6023374,1033025.145297138
456.4346788,954220.9314942751
455.2759921,883046.7754376674
454.12617439999997,819751.8036102643
452.9851239,764226.388644797
451.85274060000006,715925.2630076831
450.7289258,672708.0761979555
449.6135822,633282.6585432433
448.5066141,597241.0739331313
447.407927,564338.4321087941
446.317428,534413.5049382858
445.23502520000005,507466.6089757381
444.1606283,483421.97664405213
443.0941482,462431.126973177
442.03549699999996,444443.5543467112
440.9845882,429195.3099459712
439.9413364,416540.1106669528
438.9056575,405762.9732516162
437.87746860000004,396266.17679199117
436.85668780000003,387322.963474341
435.8432345,377965.5737004587
434.83702930000004,367591.19627901143
433.83799369999997,355604.18294521596
432.84605039999997,341748.2419768506
431.8611232,326071.80711963447
430.8831369,308841.4107608185
429.9120175,290480.7041971673
428.94769169999995,271555.7180825494
427.9900874,252638.2953008884
427.03913370000004,234231.1412036513
426.0947602,216778.77655015475
425.1568978,200727.732343324
424.22547829999996,186114.3622633984
423.3004343,173154.71179315198
422.3816994,161738.28702578347
421.4692081,151756.74116729485
420.56289569999996,143193.12054917874
419.66269850000003,135731.20025655822
418.7685535,129164.67276695913
417.8803987,123335.27002105802
416.9981727,117957.55660948613
416.12181519999996,112939.82768642885
415.25126639999996,108147.08016949623
414.38646760000006,103506.84230913717
413.5273605,98993.12524866074
412.673888,94670.99667213284
411.8259934,90545.8382012592
410.9836208,86707.93873212686
410.14671519999996,83131.20410231293
409.3152221,79914.82968038872
408.48908789999996,77010.84687712434
407.66825960000006,74435.19664402165
406.8526847,72169.91669004818
406.0423117,70193.95118606351
405.2370896,68501.70334589797
404.43696800000004,67058.85909029286
403.64189730000004,65817.15843948952
402.8518283,64775.72293840737
402.0667126,63881.78788746902
401.28650239999996,63090.30250367874
400.5111505,62367.931385929005
399.7406101,61186.510712696174
398.9748353,59510.19649440117
398.2137806,57288.66434142317
397.457401,54352.32031597887
396.7056521,50696.91082437013
395.9584903,46299.776016372634
395.2158722,41194.734702385045
394.4777551,35421.28573452983
393.7440968,29939.402070443663
393.0148555,24771.278581188475
392.2899901,19946.18399701755
391.56946,15761.192161897827
390.853225,12261.29669656243
390.1412452,9453.648713832508
389.43348169999996,7347.040297074431
388.7298955,5944.799175686616
388.03044839999995,4772.274853817688
387.3351027,3822.183753900217
386.6438209,3165.678416360828
385.95656610000003,2627.932288924624
385.2733019,2196.3043301054704
384.5939922,1857.7747067657385
383.9186014,1591.09975492785
383.2470943,1391.6370170245966
382.5794362,1245.1834386121318
381.9155926,1160.631623950554
381.2555296,1075.7148914423424
380.59921360000004,1004.4707162303104
379.9466115,935.9700227610056
379.29769039999996,874.2912450670768
378.652418,823.5923194361836
378.0107622,771.4690993120274
377.37269130000004,733.8496338114184
376.73817410000004,694.3905483591075
376.1071796,660.6168248885255
375.47967719999997,627.7366262281984
374.8556368,602.662010094317
374.2350283,592.4019511366139
373.6178223,570.3148462590448
373.0039896,557.7476302561333
372.3935012,544.6863520709211
371.78632860000005,533.8222207159497
371.1824436,523.3994185497261
370.5818182,512.6067435503934
369.98442489999996,503.0884844163415
369.39023629999997,492.3070350136102
368.7992255,479.8237489656036
368.2113658,471.66138825134897
367.6266307,461.46546012485567
367.0449943,450.51346781945983
366.4664305,437.9708879830196
365.89091410000003,431.1523802793195
365.3184196,419.39925859640715
364.7489221,407.57195185867414
364.18239689999996,398.9668635833696
363.61881960000005,378.08409150963035
363.058166,361.00017697097917
362.50041219999997,335.88439535451664
361.94553460000003,312.644079633004
361.3935098,280.89711185559463
360.8443147,252.34649057093225
360.29792630000003,218.66543378913
359.754322,191.8066434646151
359.2134795,166.71119326777892
358.6753765,141.58999306427253
358.1399912,126.97627540741881
357.6073018,108.66416497552466
357.077287,101.92614570519841
356.5499253,93.44636959555031
356.025196,91.37605682384488
355.50307799999996,89.40200590317201
354.983551,79.62804331968356
354.4665945,83.42226203267056
353.95218839999995,75.43454912311023
353.4403127,80.67967169861002
352.9309478,72.01528071236565
352.42407410000004,72.41826688729955
351.9196722,73.03582161802603
351.4177232,65.06024873494758
350.91820789999997,55.20488974254226
350.4211078,55.697211943097365
349.9264043,53.57746902873285
349.434079,49.99746694053602
348.9441137,40.964654221244594
348.45649060000005,50.4220960227076
347.97119169999996,42.442809084470966
347.48819960000003,44.93081994726446
347.0074967,43.03647161213728
346.5290657,38.884265069157465
346.0528897,37.10376968240126
345.5789517,35.3820904559767
345.1072349,38.820257772171935
344.6377228,32.32183667286498
344.17039889999995,33.811961278407175
343.70524710000007,34.694470780666194
343.24225110000003,34.36462783567304
342.7813952,28.668043060261454
342.32266339999995,28.2216469010498
341.8660403,28.878181905665496
341.4115102,24.32753761376282
340.959058,21.024767315344
340.5086685,21.61349634307548
340.06032660000005,11.5487702170891
339.6140175,8.335174137179868
339.1697264,16.35549304933738
338.7274388,7.6628504526540056
338.28714019999995,1.8003044055629758
337.8488164,4.40413661864853
337.41245310000005,1.757722419068115
336.9780363,2.4883083434716
336.5455522,0.9190579615958492
336.114987,0.2905689919352277
335.686327,-1.0510404509835258
335.2595588,-1.9718618614342545
334.834669,0.01656002237502414
334.4116443,-2.8023147821827807
333.9904716,-3.9833311497098216
333.57113799999996,0.9213412565594754
333.1536305,1.5086230346591774
332.73793639999997,-1.4217089732572172
332.32404310000004,1.6872852156994604
331.91193799999996,-2.17617615065306
331.5016088,-2.8405413307731706
331.0930432,-2.212883971111991
330.6862289,-0.151234620727351
330.281154,1.8022634622477633
329.8778065,0.4513014350796597
329.47617460000004,1.086258948434802
329.07624649999997,-0.7785678485720308
328.6780106,-0.2876976304538991
328.2814555,-4.521255043954218
327.88656960000003,-0.054703491899872315
327.4933418,-2.042488354361085
327.1017607,-0.9368518653974578
326.7118154,-0.9751821945879442
326.32349480000005,4.117443097522378
325.93678789999996,-3.447985606520061
325.5516841,0.9308792128777048
325.16817260000005,3.3475061370850594
324.7862428,-0.529476333502802
324.40588419999995,-1.320253947187546
324.0270864,-2.0866505202941625
323.649839,-1.6002461197994768
323.2741319,1.9928922034482264
322.8999548,1.6756135098300329
322.5272977,3.6564165994740563
322.1561508,-1.466770547076521
321.786504,-0.16232607934425286
321.4183476,-1.7189172611718455
321.0516719,0.16722110900287498
320.6864673,0.5827343257480508
320.3227243,-1.3036455122232689
319.96043330000003,2.8474001351821765
319.5995851,-0.1141938229731176
319.2401704,-4.912416583663769
318.8821799,-1.624694431539749
318.5256045,-2.0093896405929548
318.1704352,7.83773311701468
317.8166631,-1.5120768080523832
317.4642791,-0.8080466582914363
317.1132746,0.5229638497787571
316.76364069999994,-3.2613393673438904
316.4153688,-0.7287226995932023
316.06845039999996,0.991728624297331
315.72287689999996,-1.2329091412389983
315.37863980000003,-1.2063284337684121
315.0357308,2.0207715649794484
314.6941415,1.1154480302040402
314.3538639,-0.5678739890518109
314.0148896,0.3434690772633605
313.6772106,-0.27745195199427714
313.3408189,1.9816523724810355
313.00570639999995,3.0375910434081645
312.67186549999997,-1.2415793161354154
312.33928810000003,-1.3843291563503577
312.0079665,-0.2313802058433394
311.6778931,3.644949481592737
311.34906010000003,-3.3389529847798234
311.0214601,-1.1466966696156813
310.6950856,3.740104265858925
310.369929,-0.8362680597890785
310.04598300000004,3.00710459996629
309.7232403,0.656786029920425
309.4016935,2.2347278817421956
309.0813356,1.0749974309511992
308.7621594,0.4839511658221316
308.4441577,0.1526853143968969
308.1273236,-2.771315330465069
307.8116501,-4.372178397081068
307.49713019999996,1.7201584308798654
307.18375710000004,-1.020102821305363
306.871524,2.8165665856638187
306.5604242,-4.01809968193201
306.2504509,-1.4345993400389832
