wave,flux
1817.164934,46.83576514728375
1790.1022050000001,-104.43334856990394
1763.812741,-6.1308884245688375
1738.2646949999998,679.4594993854258
1713.427949,2227.0446947808728
1689.273995,7290.654514352243
1665.7758310000002,16967.843392137343
1642.907862,32708.255227211903
1620.64581,55742.406932303114
1598.9666300000001,87163.42743173495
1577.8484310000001,127363.14267568836
1557.270407,177410.2062702172
1537.212767,237119.5290993755
1517.65668,302713.19141381537
1498.5842089999999,373038.87050911103
1479.978265,446255.9532840787
1461.822555,520183.1703947743
1444.101535,591922.4736187186
1426.800368,661031.8463228121
1409.904887,723858.2279001884
1393.401553,780163.8162141773
1377.2774220000001,830401.307530022
1361.520115,873570.2487463881
1346.117782,909467.7629855148
1331.059081,939057.3359273948
1316.3331449999998,963686.5930533413
1301.92956,984315.398067425
1287.838342,1002042.2267462277
1274.049912,1016983.6808606816
1260.5550779999999,1030998.0173237436
1247.345017,1044255.560551814
1234.4112519999999,1056954.3228005287
1221.74564,1071181.831264573
1209.340352,1083947.0049281016
1197.187859,1097787.539167051
1185.28092,1110984.845424302
1173.612564,1124934.4285962877
1162.1760800000002,1139274.0911002457
1150.9650060000001,1153673.1516531378
1139.973115,1167787.6747245512
1129.194406,1181592.5470111112
1118.623093,1195904.778338663
1108.253594,1210658.929716747
1098.0805269999998,1224583.362403162
1088.098695,1238312.3215396006
1078.303081,1256099.3225990627
1068.688841,1271349.6672468085
1059.251295,1291226.4535176577
1049.9859199999999,1316528.1462275656
1040.8883449999998,1343991.0201763292
1031.9543429999999,1379740.125366072
1023.1798259999999,1421943.8922579815
1014.5608390000001,1476890.89764567
1006.0935529999999,1541513.68021556
997.774265,1612731.1528688697
989.5993858999999,1696917.8169194532
981.5654412999999,1790958.4442487613
973.6690651,1888929.1798841003
965.9069952,1991973.8051359141
958.2760697000001,2095897.2467713815
950.7732231000001,2196650.782439331
943.3954827,2297288.129358568
936.1399648,2390087.108426553
929.0038716,2475455.4561083945
921.9844879000001,2551016.5787113523
915.0791782,2619142.3050421043
908.2853836000002,2675623.3485377533
901.6006193,2728703.033231405
895.0224714,2775091.0843973155
888.548595,2820470.744666045
882.1767113,2869335.1126025068
875.9046055,2926268.739052524
869.7301242999998,2994361.5995626263
863.6511742999999,3088818.3094781484
857.6657193,3205562.104277792
851.7717787,3359204.743533078
845.9674256000001,3553252.140997346
840.2507849,3778917.9338816325
834.6200316000001,4033475.875983109
829.0733892000001,4312526.004356463
823.6091279,4601248.890048708
818.2255633999999,4891683.290255211
812.9210552000001,5164803.018856422
807.694005,5409177.409364838
802.5428559,5605880.222902835
797.4660904,5763753.353377827
792.4622299,5876899.308215743
787.5298327,5960692.9339752775
782.6674933999999,6006490.142360847
777.8738417999999,6033367.827226187
773.1475413,6042807.659560302
768.4872882999999,6039776.896039032
763.8918112000001,6046201.619596084
759.3598692,6042014.470119586
754.8902515999999,6044343.117440143
750.4817767999999,6040518.185807706
746.1332914,6039975.516270245
741.8436694000001,6037059.318161137
737.6118116,6041731.906402793
733.4366444,6040516.310862415
729.3171195,6040422.371553114
725.2522127999999,6040407.535719766
721.2409241,6041249.493785097
717.282276,6041568.112815755
713.3753136,6038624.97197166
709.5191037000001,6039013.58373836
705.7127343,6043843.7462143935
701.9553139,6041203.605398133
698.2459709,6042783.323962904
694.5838534,6044208.402841645
690.9681281000001,6040603.002674012
687.3979803,6037443.61320732
683.8726131,6042987.584024818
680.3912472999999,6041197.41772987
