wave,flux
336,117880.64907141654
338,164862.7991474009
340,247308.52108744034
342,376053.8047410919
344,554441.1630253404
346,790917.7404087611
348,1074324.3594862984
350,1380355.0447913706
352,1691764.3005982768
354,1989900.2370828649
356,2229658.174422855
358,2362392.66221781
360,2379055.625934538
362,2300856.7295344793
364,2158347.8122968622
366,2009988.092777238
368,1934128.1968598631
370,1969099.5175288976
372,2079590.368933773
374,2215317.0517592602
376,2425347.2598641445
378,2936569.868471509
380,3873357.5751071596
382,4963846.857488996
384,5708749.025302583
386,6005636.073582543
388,6041270.632342793
390,6041125.004189673
392,6041316.106487265
394,6041328.451339352
396,6041479.813338024
398,6041221.16269378
400,6041302.861186699
402,6040979.860495854
404,6041200.460297209
406,6041668.694221794
408,6041404.686772989
410,6018758.075533127
412,5923538.465885535
414,5723803.142390169
416,5431487.685363802
418,5152202.925211124
420,5015169.38629881
422,5081337.2282922845
424,5315311.509857606
426,5612637.961202392
428,5844022.808155284
430,5981220.142429297
432,6035675.899820012
434,6041536.12151121
436,6041475.282671926
438,6041113.328822452
440,6041820.657125794
442,6041129.55382763
444,6041114.539341406
446,6041117.9318500105
448,6041641.529206449
450,6040943.151156752
452,6041699.828227302
454,6041267.311359598
456,6041661.427347085
458,6041397.456128212
460,6041603.685100409
462,6041251.855340802
464,6041500.980454476
466,6041390.6056119725
468,6041331.537353604
470,6041589.952637394
472,6041258.6907813605
474,6041503.100036779
476,6041226.020683319
478,6041274.508815339
480,6041956.829270867
482,6041627.4495402835
484,6041405.001238054
486,6041408.540892458
488,6041627.7692532055
490,6041510.115743895
492,6041161.533972774
494,6041598.83788904
496,6041110.315538028
498,6041307.277522086
500,6041716.213581574
502,6041143.3762206575
504,6041577.221386014
506,6041462.976493442
508,6041487.771767754
510,6041539.138272875
512,6041415.095124267
514,6041517.044923455
516,6041345.412483071
518,6041561.018999313
520,6041587.02643964
522,6041532.769018896
524,6041412.362408145
526,6041218.994034925
528,6041315.907235001
530,6040909.022868449
532,6041371.9759350885
534,6041440.754895453
536,6041438.604640754
538,6041726.373567393
540,6041824.348376528
542,6041373.416476654
544,6041467.383214975
546,6041382.017312684
548,6041455.633730852
550,6041374.902920039
552,6041517.539912309
554,6041624.628496505
556,6041156.18515312
558,6041016.7779803965
560,6041108.522900772
562,6041341.673332693
564,6041633.201371167
566,6041562.183302767
568,6041406.801014921
570,6041453.145500839
572,6041276.779310141
574,6041720.904636812
576,6041340.49001339
578,6041160.785686704
580,6041236.840168281
582,6041176.324807533
584,6041304.098811683
586,6041397.901412298
588,6041532.164770255
590,6040991.774345199
592,6041183.864307075
594,6041629.470136475
596,6041522.126922437
598,6041557.7701656055
600,6041401.618717856
602,6041126.907704063
604,6041159.936519832
606,6041539.848128908
608,6041737.3824312715
610,6041432.3422531625
612,6041305.479373827
614,6041413.87896225
616,6041285.48814809
618,6041171.978592635
620,6041364.76158759
622,6041269.344328353
624,6040458.708741774
