wave,flux
336,54738.506124402156
338,74393.88714995555
340,92881.03207549558
342,105677.93180689405
344,113812.06845410758
346,122075.91828098704
348,146327.93099482355
350,210542.38932609383
352,370298.1651893305
354,804754.5516360867
356,1765757.6033317954
358,3128390.4418577612
360,4154213.2951864125
362,4178317.3667770023
364,3363561.995859227
366,2374960.068234813
368,1626553.012548244
370,1146640.2258336123
372,857738.9304026337
374,715170.3604063999
376,691403.1017051947
378,752664.4551662484
380,857979.9096290277
382,989816.9865950176
384,1204447.5136092817
386,1620274.2506329918
388,2306020.750015618
390,3172352.565170432
392,4000067.231397416
394,4614372.932936398
396,5006983.669980387
398,5282813.017016218
400,5511378.860119971
402,5695801.003668732
404,5823767.60049367
406,5907606.222715041
408,5972164.850481299
410,6013435.597443811
412,6036797.991296359
414,6041701.40517051
416,6041174.379482077
418,6041130.306377538
420,6041274.361504267
422,6041509.79994753
424,6041017.857651209
426,6041400.7439154815
428,6041710.464563406
430,6041525.074996112
432,6041087.787318119
434,6041788.971345915
436,6041339.157447396
438,6041449.650514395
440,6041461.014717702
442,6041455.499321078
444,6041373.862176914
446,6041544.660232685
448,6041427.781456066
450,6041524.671098945
452,6041202.7680076035
454,6041470.837618362
456,6041493.553872023
458,6040918.336293126
460,6041635.940290105
462,6041245.722447579
464,6041411.690112795
466,6041521.096416323
468,6041441.925501751
470,6041409.743720205
472,6041426.0251197005
474,6041403.328210771
476,6039153.051891547
478,6008119.979417122
480,5923324.997793949
482,5767116.585131143
484,5536075.059857794
486,5237229.164859189
488,4910965.072341754
490,4639344.098336115
492,4482000.208028956
494,4458128.684451149
496,4567552.341294234
498,4794156.05058568
500,5090476.466474207
502,5386859.389961855
504,5631603.498977695
506,5816673.579939065
508,5940971.779327869
510,6010720.976358583
512,6038027.407790861
514,6041797.990837903
516,6041693.481388483
518,6041652.417448123
520,6041243.224891285
522,6041415.2025918085
524,6041369.320297965
526,6041574.076534508
528,6041296.303902201
530,6041574.000424134
532,6041481.722317308
534,6041084.372504137
536,6041298.663072529
538,6041057.664012247
540,6041176.722209683
542,6041364.929742521
544,6041504.042892056
546,6041548.583796716
548,6041261.420860255
550,6041268.852166179
552,6041245.519318923
554,6041355.4340868965
556,6041342.743152907
558,6041316.780112267
560,6041374.285777024
562,6041396.671889889
564,6041048.827419344
566,6038460.6818018425
568,6032448.446427164
570,6024022.589260433
572,6013927.787505466
574,6004414.566931336
576,5994080.755530544
578,5984097.943113588
580,5974094.55571173
582,5965311.557050259
584,5961065.357962972
586,5962148.157651291
588,5968502.389486528
590,5977257.059587385
592,5986613.3856621515
594,5996016.585582772
596,6005137.699168675
598,6013915.758153609
600,6022919.7595934635
602,6031172.6477971915
604,6037197.461176187
606,6040262.675516791
608,6041091.021641895
610,6041504.787938676
612,6041581.098696624
614,6041416.583277793
616,6041427.272422547
618,6041384.854414132
620,6041403.397495352
622,6041607.611884397
624,6041988.3919813335
626,6042531.58950226
628,6043223.056163279
630,6044048.643680497
632,6044994.203770015
634,6046045.588147935
636,6047188.648530365
638,6048409.236633401
640,6049693.204173154
642,6051026.402865719
644,6052394.684427205
646,6053783.900573712
648,6055179.903021344
650,6056568.543486205
652,6057935.673684399
654,6059267.145332025
656,6060548.810145191
658,6061766.519839994
660,6062906.126132544
662,6063953.480738941
664,6064894.435375286
666,6065714.841757685
