wave,flux
336,221274.95170344898
338,311673.1768223608
340,473309.64440899395
342,733318.7540858407
344,1116119.3662577954
346,1630663.0910705773
348,2242949.999639581
350,2895831.6447212067
352,3539453.2620908716
354,4132492.4806506927
356,4626980.220577789
358,4988100.375013561
360,5196644.180379719
362,5249098.894893758
364,5175011.516288445
366,5068928.283750872
368,5041804.136798055
370,5108676.414330154
372,5165714.805845403
374,5106853.6972331535
376,4963373.017562144
378,4901206.392438074
380,5078263.967293771
382,5446414.82032384
384,5801978.929290811
386,5989582.8709496325
388,6040342.080802335
390,6041605.037880246
392,6041159.812743168
394,6040823.201142685
396,6040988.559813177
398,6041298.522848906
400,6041044.951750286
402,6041396.557769919
404,6041695.405010179
406,6041272.715128334
408,6041510.988565368
410,6041442.261315414
412,6041676.588417699
414,6041766.889587705
416,6041821.860699713
418,6041890.106113826
420,6041188.434696245
422,6041019.345220753
424,6041764.575717317
426,6041416.302587906
428,6041159.754608004
430,6042204.034348983
432,6041435.143519182
434,6041268.040256352
436,6041273.025791135
438,6041357.467054386
440,6041496.259748311
442,6041352.327391777
444,6041520.056468184
446,6041339.924478707
448,6041503.497501357
450,6041392.356168409
452,6041645.655877157
454,6041643.346984877
456,6041884.42343714
458,6041293.537554914
460,6041303.4833942605
462,6041509.244597807
464,6041226.066793708
466,6041109.460763224
468,6041415.799735261
470,6041584.900660307
472,6041232.033554673
474,6041575.792755567
476,6041465.344269495
478,6041495.382234686
480,6041642.461831376
482,6041403.712067763
484,6041626.102927325
486,6041354.892684848
488,6041659.45585269
490,6041923.989905955
492,6041337.537628457
494,6041455.611150354
496,6041558.625073477
498,6040967.908482487
500,6041217.547272942
502,6041301.764144992
504,6041853.405632263
506,6041276.49370165
508,6041485.502073484
510,6041567.744056843
512,6041622.322306603
514,6041569.212198691
516,6041493.642454085
518,6041779.210770596
520,6041476.9756461885
522,6041753.2556820465
524,6041284.512506681
526,6041601.3973383345
528,6041399.806370569
530,6041525.580187902
532,6041338.854551717
534,6041450.427088353
536,6041531.991586546
538,6041677.191581665
540,6041605.58344417
542,6041676.598632885
544,6041640.833749811
546,6041591.272460173
548,6041141.270455753
550,6041627.62454484
552,6041762.261628903
554,6041451.273347273
556,6041397.470052375
558,6041463.28956726
560,6041543.214959497
562,6041111.128945459
564,6041092.894360197
566,6041413.802146534
568,6041223.893618669
570,6041345.969633942
572,6041861.348362943
574,6041672.191953198
576,6041198.381582283
578,6041434.473777201
580,6041543.519607599
582,6041521.155312436
584,6041955.132224682
586,6041808.3524181135
588,6041148.952616415
590,6041204.479136084
592,6041472.290644461
594,6041344.080333076
596,6041085.058540992
598,6041099.685884086
600,6041188.243672185
602,6041421.358101849
604,6041262.937083832
606,6041184.670040169
608,6041894.6795682665
610,6041257.88850813
612,6041111.405037425
614,6041704.17751109
