wave,flux
336,50265.98207248339
338,60361.746671153116
340,76425.49739257418
342,110312.05763558677
344,189306.92624286626
346,357285.31990959524
348,635476.1053419159
350,957308.3055503095
352,1193519.2246837406
354,1270782.9086701716
356,1223242.2400995633
358,1128348.5095315743
360,1039232.5882602314
362,978813.6207526228
364,957736.9206348108
366,980933.1938355329
368,1049749.0485237658
370,1170040.102005376
372,1348983.6639043898
374,1582984.4154998488
376,1853271.3647610617
378,2140240.731216027
380,2441335.4616253586
382,2773852.764276643
384,3158518.7092463956
386,3600174.1690371353
388,4077570.8089752654
390,4549846.20028996
392,4986283.47300429
394,5372821.179421647
396,5685585.168481042
398,5899009.502329444
400,6004056.891787172
402,6038379.496715204
404,6041508.579279366
406,6041516.338195647
408,6041301.6598585285
410,6041143.3155229455
412,6041411.481209583
414,6041261.559659876
416,6041206.589146136
418,6041546.611249164
420,6041380.259553006
422,6041454.414480898
424,6041211.2509709485
426,6041459.604884878
428,6041143.061210484
430,6041138.485407827
432,6041344.356617265
434,6041349.369960608
436,6041367.701317538
438,6041423.126379719
440,6041434.151281722
442,6041189.538947407
444,6041722.865616614
446,6041547.540392233
448,6041556.486115279
450,6041098.447802225
452,6041405.768337358
454,6041643.118338173
456,6041341.909214297
458,6041163.263278677
460,6041485.325325308
462,6041216.432271927
464,6041181.516862556
466,6041212.6765753925
468,6041638.91444078
470,6041528.485577964
472,6040979.730471568
474,6041321.977544303
476,6041341.687664333
478,6041346.597926965
480,6041457.281897397
482,6041663.819093497
484,6041690.07562579
486,6041576.602898849
488,6041364.470025581
490,6041381.4279950205
492,6041265.723564477
494,6041638.992482379
496,6041213.661217781
498,6041548.449388077
500,6041520.44061056
502,6041443.572101626
504,6041599.91543317
506,6041718.369659451
508,6041656.519429159
510,6041247.26149644
512,6041345.395189698
514,6041714.0744859325
516,6041558.929729253
518,6041099.755923831
520,6041710.605033827
522,6040972.695533137
524,6041543.868069739
526,6041675.106210574
528,6041368.684832167
530,6041741.90063816
532,6041362.999395252
534,6041181.37136399
536,6040984.589742632
538,6041534.368138261
540,6041691.735150815
542,6041290.446258961
544,6041132.219751317
546,6040886.883647206
548,6041282.624297036
550,6041516.0193410255
552,6041433.720741112
554,6041706.022243863
556,6041686.439129094
558,6041703.303876154
560,6041253.111424358
562,6041167.274334211
564,6041647.579485822
566,6041321.264326172
568,6041650.941748189
570,6041378.438682728
572,6041463.291158387
574,6041732.357325511
576,6041512.173529467
578,6041265.320404679
580,6041659.596942637
582,6041694.717316381
584,6041208.051734733
586,6041548.847180748
588,6041379.192073505
590,6041545.556716892
592,6041299.98948339
594,6041113.8357058335
596,6041342.697633502
598,6041135.779360713
600,6041126.500158499
602,6041371.60395601
604,6041476.2737829555
606,6041311.200837072
608,6041145.246880492
610,6041099.85349364
612,6041354.965171224
614,6041898.7523188805
616,6042575.227040476
618,6043340.746701395
620,6044166.5161066465
622,6045023.740061231
624,6045883.623370159
626,6046717.3708384335
628,6047496.187271058
630,6048191.27747304
632,6048773.846249385
634,6049215.098405098
636,6049486.238745183
638,6049558.4720746465
640,6049403.003198496
642,6048991.036921732
644,6048293.778049365
646,6047282.431386397
648,6045928.201737834
650,6044202.293908684
652,6042075.912703947
654,6041397.825129803
656,6041150.508253432
658,6041511.385572645
660,6041551.260976164
662,6041377.486736571
664,6041484.487444684
666,6041443.750089719
668,6041107.991048789
670,6041563.760999664
672,6041267.206276448
674,6041163.483843256
676,6041536.128915831
678,6041346.24345349
680,6041150.289956291
682,6041410.314774397
684,6041560.064687422
686,6041447.9187860545
688,6040955.81893969
690,6041315.875338955
692,6041350.307975556
694,6041850.281893436
696,6041497.367671758
698,6041199.302168769
700,6041453.64627868
702,6041828.693192877
704,6040860.42770877
706,6041675.622792104
708,6041571.681644926
710,6041346.454989626
712,6041546.234560798
714,6041858.824615336
716,6041142.5820534965
718,6041286.403162461
720,6041703.1207177285
722,6041807.585318082
724,6041329.8607438
726,6041296.890614847
728,6041527.288726995
730,6041723.792105585
732,6041192.330811199
734,6041150.1016538385
736,6041704.398114255
738,6041255.137810724
740,6041344.973276121
742,6041402.044472554
744,6041509.896928869
746,6041611.23472158
748,6041281.529689905
750,6041392.455248062
752,6040981.1977447625
754,6041295.389267499
756,6041239.4416478425
758,6041271.659960353
760,6041533.037164191
762,6033170.558480699
764,5997309.196911797
766,5919816.184365741
768,5789128.623488824
770,5591227.92157777
772,5331562.926099856
774,5030824.995786329
776,4699258.250554136
778,4346757.545140255
780,3987299.429810042
782,3631624.3336451664
784,3286378.269654552
786,2964560.482130975
788,2677357.907088312
790,2431812.978824052
792,2227005.630354121
794,2056991.6675400746
796,1912122.286436368
798,1783069.2196949078
800,1663500.214270693
802,1548744.6415391257
804,1440089.3704584274
806,1338355.7413583586
808,1246002.4351940232
810,1164641.9993123675
812,1094313.8934356393
814,1033315.1507154639
816,979276.3012057306
818,928884.3489745458
820,880151.1850921786
822,831067.2044299131
824,781134.7456778135
826,731197.4373941015
828,682133.9307999852
830,635157.065687494
832,590767.9318637582
834,549817.9262336656
836,511926.9827578021
838,476508.58827418834
840,442988.8091633684
842,410512.7161371145
844,378885.83903410326
846,347759.8550145639
848,317145.038704723
850,286997.5341464601
852,257814.11993689087
854,229635.74166079867
856,202883.51438950063
858,177548.2583061767
860,153963.78261275878
862,132580.8515415665
864,113288.53811543316
866,96239.40874515912
868,81413.00428997858
870,68826.20859127876
872,58133.754868965356
874,49160.33286656182
876,41666.7751322839
878,35497.06635140222
880,30295.018445045593
882,25695.68578759554
884,21591.37521759164
886,17852.922836174053
888,14389.809163301048
890,11160.697668091325
892,8122.388938503005
894,5540.658797514908
896,3560.8201047046186
898,2067.8082667675035
900,1036.1379326991748
902,389.7262820249188
904,91.05201843704549
906,33.85408597934234
908,10.175341117526877
910,0.4798427012002451
912,-3.482973111878331
914,2.393407046365594
916,-5.54246237681494
918,-0.29287613119402345
920,-2.3379566926154904
922,4.289920058427215
924,0.9442159283387628
926,-2.7336637591896857
928,1.0006701908683229
930,-1.3057717257606596
932,1.5404292547943992
934,4.001179039549514
936,-1.414773894536123
938,3.248233771030033
940,0.4896997775772239
942,3.269850699677664
944,0.8757233738836303
946,1.835094323646329
948,-1.5911823412967454
950,0.22756291881490442
952,1.4645588048001232
954,3.043621082643513
956,0.027056986644400358
958,-0.10659459427895207
960,-0.7023202398106899
962,-2.0064684457895754
964,-3.0020412361544704
966,-2.2327748367148637
968,-2.2451702637504916
970,3.087313082970052
972,-1.474238603491238
974,-1.3750943045639343
976,0.09099228775895851
978,-4.359327552662422
980,0.17173412192045567
982,0.5883557203648353
984,-0.6237451035931326
986,0.24693956783995888
988,-1.1733774690472267
990,1.089032408027303
992,0.5823660453244227
994,0.22070109661222787
996,-2.4283186811864717
998,-1.410528741235163
1000,-1.602076920989911
1002,-0.0723170684905614
1004,-2.2803875418149437
1006,-0.15982876153475076
1008,-1.1915084778267833
1010,-1.9937058314243845
1012,1.598653035792643
1014,-0.6487785841223528
1016,2.324849570691117
1018,0.7091701747258704
