wave,flux
336,51075.90414328659
338,70040.95493565797
340,102572.10882582936
342,153218.22171449813
344,226325.6194623802
346,324138.223275641
348,441500.8121035037
350,570057.4431562984
352,706351.7378786062
354,850710.644969625
356,996151.3793749928
358,1123497.1762642441
360,1212149.0578549376
362,1255164.3110595155
364,1265153.454629909
366,1269807.590392085
368,1291391.6198852959
370,1332116.661666292
372,1383068.97159707
374,1448468.1687564033
376,1557794.2476004732
378,1745687.8872307022
380,2018103.7184999965
382,2334421.957356558
384,2622918.434555886
386,2817834.8806357253
388,2900685.6563439397
390,2926703.9082815107
392,2983208.16283691
394,3115093.9149832046
396,3284824.5940494123
398,3421116.7412411394
400,3506728.119357725
402,3589696.6064882744
404,3724891.724472951
406,3920561.8381992257
408,4134597.264097567
410,4316894.469319702
412,4437876.90136095
414,4502978.860449849
416,4540941.05257847
418,4588647.837523575
420,4686019.651734867
422,4867757.294703266
424,5128363.252504175
426,5425881.483897759
428,5702381.383598464
430,5892660.3377117105
432,5996865.582878216
434,6036832.492209595
436,6041454.457701934
438,6041843.532173544
440,6041541.374904963
442,6041477.501903276
444,6041004.199967463
446,6041687.201844059
448,6041564.803610354
450,6041557.492062364
452,6041778.945439424
454,6041028.9320026
456,6041693.08707433
458,6041411.787549684
460,6041381.252768401
462,6041621.016870103
464,6041356.34304657
466,6041358.142005394
468,6041411.155991488
470,6041502.895716211
472,6041340.711844717
474,6041576.015363397
476,6041645.871877051
478,6041312.985818772
480,6041883.763773706
482,6041481.952536685
484,6041485.765907502
486,6041344.7703378275
488,6042097.004333122
490,6041205.95228378
492,6041357.481496076
494,6041437.589743577
496,6041188.980142188
498,6041433.13214247
500,6041690.812048305
502,6041912.294477477
504,6041542.606108965
506,6041409.813958413
508,6041536.170753746
510,6040981.867522321
512,6041569.058864204
514,6041616.187645045
516,6041367.70281543
518,6041570.943913876
520,6041073.698880059
522,6041406.320729721
524,6041319.873378498
526,6041775.612287635
528,6041159.676826328
530,6041579.06147234
532,6041756.778867927
534,6041510.616432872
536,6041327.318962564
538,6041582.60285949
540,6040974.923513306
542,6041231.139342948
544,6041392.26948365
546,6041678.961317495
548,6041415.0405804515
550,6041427.171927515
552,6041358.581532288
554,6041008.692837753
556,6041208.87921307
558,6041410.955161437
560,6041658.678766459
562,6041479.482182015
564,6041609.837988613
566,6041162.487303877
568,6041187.374939996
570,6041622.173329524
572,6041636.565513392
574,6041497.9657210335
576,6041575.2584210355
578,6040881.964873309
580,6041017.121061289
582,6041360.807170332
584,6040815.142609351
586,6041489.722493931
588,6041671.903582081
590,6041759.805225469
592,6041523.944441406
594,6041402.419421636
596,6041659.346247192
598,6041515.09097508
