wave,flux
336,2098797.794541722
338,2583848.166331018
340,2966559.579897834
342,3293172.0584019143
344,3684468.731703512
346,4199146.403907711
348,4740103.851038727
350,5166387.603134157
352,5424658.311368864
354,5547957.4187781075
356,5594259.002883874
358,5607075.633894896
360,5590647.957291611
362,5528678.781268515
364,5436969.690081488
366,5398625.631813694
368,5501213.531006966
370,5720810.625723821
372,5890501.112161865
374,5841197.155215611
376,5576210.873928833
378,5277765.992394588
380,5135711.232647507
382,5232798.997281996
384,5497469.843308356
386,5780462.513316761
388,5961662.135529384
390,6031101.022443983
392,6041383.140094768
394,6041239.73507371
396,6041533.052794436
398,6041203.261914692
400,6041435.261556067
402,6041463.405993904
404,6041524.160448873
406,6041329.715191598
408,6041192.896430321
410,6041477.426865223
412,6041456.428018432
414,6041186.419389978
416,6041439.625357314
418,6041383.277241612
420,6041840.941855203
422,6041079.0982728675
424,6041593.317850711
426,6041778.052346591
428,6041571.954539547
430,6041586.979220665
432,6041342.462366745
434,6041219.4029279165
436,6041394.883942137
438,6041340.304696495
440,6041772.109586052
442,6041243.799869006
444,6041113.903067532
446,6041326.413214632
448,6041735.64250299
450,6041212.853617883
452,6041086.287179296
454,6041626.994165809
456,6041343.244683035
458,6041521.729600062
460,6041611.2053415235
462,6041316.404711176
464,6041277.055065199
466,6041134.566816506
468,6041426.139362472
470,6041144.339617332
472,6041588.612232421
474,6041285.451848834
476,6041500.732368799
478,6041303.74322849
480,6041483.456229025
482,6041331.36081252
484,6041427.213216118
486,6040850.5502121225
488,6041273.811859531
490,6041580.921211731
492,6041318.702168567
494,6041371.479654989
496,6041408.2169328965
498,6041309.189205799
500,6041292.677035828
502,6041395.369661558
504,6041382.700446557
506,6041288.953377292
508,6041260.444582761
510,6041076.6878252
512,6041202.148260599
514,6041173.188508542
516,6041492.348426218
518,6041291.028945439
520,6041609.271953125
522,6041174.606708528
524,6041210.042357194
526,6041438.98407743
528,6041354.616460486
530,6041406.23067949
532,6041736.0549055785
534,6041408.321284968
536,6041555.189166745
538,6041256.621674685
540,6041482.535875151
542,6041415.55478596
544,6041333.63276963
546,6041321.096140966
548,6041464.4031899925
550,6041538.693825944
552,6041328.558366759
554,6041389.2716323845
556,6041248.864756948
558,6041046.931038701
560,6041126.435517849
562,6041195.671192525
564,6041452.804570159
566,6041577.690378136
568,6041439.467873415
570,6041584.346759643
572,6041449.141289841
574,6041220.6556907585
576,6041479.379871653
578,6041367.094046258
580,6041292.611992749
582,6041331.156052741
584,6041151.480379228
586,6041353.59542667
588,6041239.806344787
590,6041356.635306914
592,6041350.122626942
594,6041466.159692079
596,6041549.300368427
598,6041051.494820008
600,6041237.319205587
602,6041506.874698996
604,6041627.747721387
606,6041443.199470814
608,6040862.614575517
610,6041074.584042655
612,6041273.298308793
614,6041089.736939802
616,6041140.165152674
618,6041523.617977061
620,6041204.181213123
622,6040907.57567244
624,6041602.42183334
626,6040576.0387680335
