wave,flux
336,65363.38846211136
338,91911.43227361284
340,139203.7273046112
342,214736.69471580017
344,325019.74898628425
346,472717.71262393036
348,648476.3572799196
350,835433.283792081
352,1018856.1912076309
354,1184907.2823154947
356,1317716.0321134566
358,1408033.4477016702
360,1458281.011554814
362,1475526.414114654
364,1469702.871068881
366,1455932.6271381823
368,1452089.9374830911
370,1462809.3195822819
372,1478240.4978886354
374,1490165.7082877904
376,1516057.689150305
378,1608716.8812217887
380,1834032.1195761964
382,2221516.2256546877
384,2705080.981146525
386,3145561.7575550545
388,3426752.130475073
390,3562595.9032626566
392,3671165.546630432
394,3842823.2555669732
396,4048895.9519638782
398,4198061.789062742
400,4258168.820019833
402,4292347.935110192
404,4381065.3982429635
406,4550576.363714444
408,4756196.899845171
410,4931718.435611704
412,5036240.0235685725
414,5067520.314338685
416,5059606.597192275
418,5062077.930424956
420,5129187.78314745
422,5282739.822397765
424,5497491.937800335
426,5723027.991091831
428,5893872.559029994
430,5993799.572168117
432,6035193.8259147545
434,6041151.494660944
436,6041312.208881592
438,6041438.627378162
440,6041701.006481966
442,6041775.972851415
444,6041723.12987203
446,6041279.665986104
448,6041158.431903943
450,6041134.751463802
452,6041530.961682775
454,6041345.769226367
456,6041242.862233998
458,6041328.334690581
460,6041527.430561125
462,6040960.63605805
464,6041212.830849962
466,6041706.7753731115
468,6041820.4396358
470,6041369.401963097
472,6041398.68135713
474,6041663.003609704
476,6041394.149093052
478,6041433.702576903
480,6041749.906499612
482,6041649.253202072
484,6041771.612300496
486,6041203.60001706
488,6041477.838484982
490,6041454.44627892
492,6041636.404344974
494,6041334.609679833
496,6041703.068662052
498,6041222.711116854
500,6041799.653602079
502,6041009.663928214
504,6041439.510162591
506,6041582.665490555
508,6041253.662671251
510,6041395.334719834
512,6041343.959275415
514,6041408.28987398
516,6041464.413185405
518,6041310.872941305
520,6041790.445182979
522,6041571.130479101
524,6041440.579466946
526,6041461.223086586
528,6041753.559172152
530,6041321.822269984
532,6041559.49819428
534,6041215.094529909
536,6041365.281298813
538,6041514.159105332
540,6041452.0588066075
542,6041506.554677072
544,6041352.90106562
546,6041357.840578797
548,6041390.346129172
550,6041413.945248224
552,6041541.356649705
554,6041388.37367459
556,6041479.293381164
558,6041651.480983734
560,6041538.771730652
562,6041403.344774135
564,6041319.871265594
566,6041468.609557286
568,6041366.809808955
570,6041126.740502267
572,6041383.32804648
574,6041114.833754548
576,6041580.880375089
578,6041720.615801591
580,6041480.3424774585
582,6041597.22100591
584,6041721.313508756
586,6041561.348485213
588,6041355.02996822
590,6041400.695194646
592,6041322.166678053
594,6041308.007534797
596,6041518.301483462
598,6041565.681656943
600,6041539.286478357
602,6041660.863886757
604,6041658.389441867
606,6041339.247750071
608,6041078.978056919
610,6041356.771025423
612,6041507.289931972
614,6041403.234966872
616,6041236.353378373
618,6040490.087362039
620,6040828.714644541
622,6041978.046127009
624,6042074.823570646
626,6041639.5332206935
628,6041222.491751531
630,6041044.087622108
632,6041101.9098229995
634,6041376.881707265
636,6041849.926627963
638,6042501.967938156
640,6043313.9289909
642,6044266.733139257
644,6045341.303736284
646,6046518.564135048
648,6047779.437688601
650,6049104.847750005
652,6050475.717672322
654,6051872.9708086075
656,6053277.530511924
658,6054670.320135333
660,6056032.263031887
662,6057344.282554653
664,6058587.302056688
666,6059742.244891052
668,6060790.0344108045
670,6061711.593969004
672,6062487.846918712
674,6063099.716612987
676,6063528.12640489
678,6063753.9996474795
680,6063758.259693815
682,6063521.829896958
684,6063025.633609965
686,6062250.594185898
688,6061177.634977816
690,6059787.679338781
692,6058061.650621848
694,6055980.47218008
696,6053525.067366537
698,6050676.359534275
700,6047415.272036359
702,6043722.728225844
704,6037214.078951352
706,5951723.540391989
708,5677966.059125706
710,5162968.6624638075
712,4405307.474100696
714,3548944.4344271584
716,2846009.754085111
718,2453661.433368213
720,2419220.342244914
722,2676694.088972978
724,3048913.6254117647
726,3389248.709982756
728,3618144.8515051617
730,3722137.702312947
732,3724791.788435692
734,3658404.4125140877
736,3547834.2454693303
738,3411675.500376602
740,3281266.425205566
742,3220614.031094965
744,3316280.339533644
746,3595735.003019999
748,4047483.8014821163
750,4612418.638226807
752,5161899.294229332
754,5580346.684506076
756,5857472.684458509
758,5999635.480765513
760,6040396.669877499
762,6041323.906649766
764,6041288.445309765
766,6041451.089874661
768,6041587.580499393
770,6041268.369628185
772,6041458.212543554
