wave,flux
336,1008698.0417965769
338,1596550.7198500095
340,1991047.248342355
342,2216506.0130434856
344,2571012.126357928
346,3057847.2911894275
348,3321953.05743196
350,3177739.26079665
352,2737095.00893924
354,2181346.2274759524
356,1705553.1584462025
358,1428782.0424786974
360,1253050.8371656234
362,1012037.5260500902
364,708213.5233827148
366,453923.38528918714
368,302331.18818737793
370,237525.48374067113
372,243570.63103947695
374,314035.82458310126
376,416716.6463142083
378,490219.87580841815
380,486448.91672891163
382,410141.9499254389
384,308092.3836169043
386,223409.28070366735
388,170247.4268167308
390,142780.23877343792
392,135500.75962171683
394,152670.32065902397
396,206534.9109199837
398,308960.6173238769
400,458291.65741222055
402,632075.9525152087
404,796962.3507486933
406,929750.9198340981
408,1025257.3217326034
410,1081641.0372330733
412,1085519.6527692145
414,1018767.3405021653
416,880314.8721710129
418,699150.1404094764
420,519934.26889111794
422,377532.7222426312
424,284830.107780608
426,233805.7488812922
428,211657.92250951522
430,209275.62327512988
432,222094.2067772156
434,249175.3918943481
436,287716.2331044895
438,335684.3053448613
440,390428.95415014925
442,448467.67415985034
444,507164.36728062097
446,562766.1024672341
448,612699.7991446254
450,655744.1411580035
452,693526.8605279061
454,728230.5220777495
456,762444.2027505863
458,798474.7016997967
460,837708.1599183673
462,880111.8765090362
464,925129.101685276
466,972015.8919446457
468,1018670.2004051432
470,1063235.9327011986
472,1103308.7126045215
474,1136871.2668385948
476,1162294.6716755168
478,1179118.8974810895
480,1188218.7826520994
482,1191929.7035186568
484,1193329.5200192975
486,1196004.951810419
488,1204685.0744233674
490,1224502.8181499888
492,1261162.537152285
494,1321158.926201576
496,1409835.5614995619
498,1531018.4740509274
500,1684404.7311003502
502,1865721.3512977234
504,2066047.4139860733
506,2272512.2091444815
508,2473048.209152982
510,2656288.404511088
512,2814711.6564685907
514,2945940.0385907437
516,3052935.624126278
518,3143107.0170097
520,3227693.938423762
522,3319566.846238588
524,3432862.9947764743
526,3584751.7432757462
528,3780559.450587555
530,4015552.949610259
532,4282193.416858367
534,4570684.440912101
536,4865536.7007158315
538,5151606.357026166
540,5406271.091170959
542,5610982.933289448
544,5769770.859967052
546,5886667.959791446
548,5966113.615745619
550,6014198.515067213
552,6036813.158366897
554,6041689.484162635
556,6041103.9220034275
558,6041118.508888853
560,6041177.020719569
562,6041499.987992785
564,6041408.280166977
566,6041223.331143789
568,6041621.661794136
570,6041913.72836463
572,6041683.720843447
574,6041396.636549566
576,6041324.626211614
578,6041453.440251131
580,6041197.912824499
582,6041239.974426439
584,6041885.193731198
586,6041815.806201142
588,6041757.984755393
590,6041587.751719432
592,6041550.519037229
594,6041507.080324595
596,6041208.756093924
598,6041123.55661091
600,6041823.619696851
602,6041737.159146964
604,6041584.899163934
606,6041811.812192827
608,6041445.598353536
610,6041511.729262527
612,6041471.387979587
614,6041315.181253234
616,6041611.670952806
618,6041851.037008522
620,6041592.548222526
622,6040926.162799924
624,6040437.392234741
626,6040745.412501598
628,6041304.004687506
630,6041404.015955537
632,6041197.627537433
634,6042045.429474447
636,6043128.361079931
638,6042395.3970509665
640,6041617.562085644
642,6041613.342876394
644,6041839.004077748
646,6041828.336719519
648,6041304.836666539
650,6040442.885974978
652,6040367.7555165
654,6041276.59711053
656,6042484.374861094
658,6043816.683914861
660,6045243.413230326
662,6046734.452579095
664,6048259.691732762
666,6049789.02046293
668,6051292.328541198
670,6052739.505739164
672,6054100.441828428
674,6055345.026580589
676,6056443.14976725
678,6057364.701160006
680,6058079.570530459
682,6058557.64765021
684,6058768.822290855
686,6058682.984223996
688,6058270.023221233
690,6057499.829054164
692,6056342.291494388
694,6054767.300313506
696,6052744.7452831175
698,6050244.516174823
700,6047236.502760218
702,6043690.594810909
704,6037214.72607825
706,5951723.603888348
708,5677966.0650753435
710,5162968.662990529
712,4405307.474144051
714,3548944.4344303706
716,2846009.7540853084
718,2453661.4333682195
720,2419220.3422449133
722,2676694.088972978
724,3048913.6254117647
726,3389248.709982756
728,3618144.8515051617
730,3722137.702312947
732,3724791.788435692
734,3658404.4125140877
736,3547834.2454693303
738,3411675.500376602
740,3281266.425205566
742,3220614.031094965
744,3316280.339533644
746,3595735.003019999
748,4047483.8014821163
750,4612418.638226807
752,5161899.294229332
754,5580346.684506076
756,5857472.684458509
758,5999635.480765513
