wave,flux
336,35612.59171662566
338,48374.62953196788
340,70073.36812420815
342,104195.42096286207
344,153991.15908642125
346,221327.49397469402
348,303307.91641244804
350,394435.05353461363
352,493053.05751425953
354,598608.1172535209
356,704966.1171713016
358,803171.2960240578
360,886344.1677669442
362,946817.9700326573
364,985659.2286551831
366,1039088.8477933785
368,1158135.1600404542
370,1335370.0514055993
372,1473970.3097308737
374,1473064.3650025045
376,1335086.3248185837
378,1156443.9173790682
380,1030488.3793307405
382,988241.2624270435
384,1013524.5331255202
386,1083881.1866151234
388,1177943.0492721498
390,1284337.3409961846
392,1399242.0029632938
394,1524443.914845535
396,1649232.4572901928
398,1767182.4255148082
400,1902368.7679216568
402,2108650.9260216854
404,2419694.2910047797
406,2802575.990543507
408,3157503.0385250696
410,3376241.924309971
412,3407568.258510133
414,3284468.8426330313
416,3097867.487822377
418,2952366.1620365186
420,2940117.6458266936
422,3140326.317636672
424,3588746.3549464275
426,4214428.340943377
428,4892922.627420408
430,5457482.2027808055
432,5813675.807830612
434,5986733.129892817
436,5997513.8832511725
438,5891418.022018535
440,5705030.111350244
442,5440806.981334606
444,5152274.560498907
446,4901476.628496119
448,4715422.027683524
450,4606853.445845378
452,4574949.96531897
454,4607493.854542025
456,4719093.94904377
458,4898323.4950937
460,5129221.554311269
462,5391040.470847831
464,5638350.948430287
466,5821681.753898555
468,5944746.686989788
470,6015541.19656814
472,6041026.312196072
474,6041335.207870732
476,6041442.957888705
478,6041362.96474582
480,6041503.030610957
482,6041316.298371133
484,6041594.868753354
486,6041278.265310498
488,6041377.220200972
490,6041156.021266725
492,6041584.2102213
494,6041386.85922999
496,6041564.51349939
498,6041087.184687096
500,6041247.577446317
502,6041403.603005628
504,6041108.29619874
506,6041470.712217271
508,6041379.329862169
510,6041084.4164787475
512,6041537.9164826665
514,6041710.3151242435
516,6041473.667575087
518,6041488.147616623
520,6041482.301533602
522,6041596.326951113
524,6041307.3131237235
526,6041104.006681598
528,6041404.437355212
530,6041961.547280617
532,6041355.806655487
534,6041800.054897652
536,6041624.716908237
538,6041217.501425773
540,6041802.021404122
542,6041612.9860995235
544,6041059.833934317
546,6041244.556216092
548,6041149.25437865
550,6041323.795005916
552,6041470.071917352
554,6041703.357808182
556,6041266.091035438
558,6040928.561220193
560,6041349.015432662
562,6041418.912189714
564,6041890.117352263
566,6041680.667908538
568,6041036.457043206
570,6041565.7091164235
572,6041281.731830886
574,6041149.55359725
576,6041775.213726782
578,6041913.794763545
580,6041412.615678235
582,6041455.283739241
584,6041713.105597913
586,6041176.294515132
588,6041387.999358755
590,6041048.038246828
592,6041069.3721082
594,6041236.342677759
596,6041072.901504382
598,6041389.492796361
600,6041927.378718805
602,6041711.777965833
604,6041495.595893705
606,6041619.721011402
608,6041278.644007167
610,6041168.843433808
612,6041504.449132073
614,6041609.541196876
616,6041205.240839161
618,6041560.932949227
620,6041993.107597685
622,6042345.762631803
624,6042739.408128388
626,6041413.103379036
628,6039851.442527449
630,6039887.585102304
632,6041121.746577742
634,6041890.953756899
636,6041454.965750692
638,6040675.46721475
640,6041549.617267466
642,6043233.660298853
644,6043224.162539268
646,6041369.813484095
648,6040509.635665218
650,6042933.329208554
652,6043391.238071925
654,6041511.508645722
656,6041306.653287289
658,6041167.212945244
660,6040569.195116055
662,6041717.968657099
664,6042247.344735175
666,6040516.932690604
668,6041056.257898407
670,6043618.5738703655
672,6043967.935217384
674,6042795.058654961
676,6041443.107237472
678,6039145.118457611
680,6037785.867486316
682,6040924.17103031
684,6044296.560976038
686,6042879.060150315
688,6040690.225689529
690,6040774.2337976955
692,6041405.506641538
694,6041487.721438417
696,6041009.085596727
698,6040346.519346313
700,6039991.242958503
702,6039939.823606196
704,6040083.281175678
706,6040586.000194659
708,6041329.878611876
710,6041296.612648363
712,6040293.045569038
714,6040045.211079282
716,6041207.9519045735
718,6042322.959890832
720,6042742.488918922
722,6043254.937025424
724,6043697.816227054
726,6042486.878830398
728,6039697.436660014
730,6037836.276762081
732,6038167.202761157
734,6039792.425789599
736,6041583.823791564
738,6042327.234311035
740,6041430.531543864
742,6039733.453795716
744,6038351.466909835
746,6038648.080639171
748,6041390.260238683
750,6044189.63190728
752,6044159.781292892
754,6042336.522788775
756,6041596.450090252
758,6042510.811975679
760,6043646.819901666
762,6043931.430471958
764,6042976.261341199
766,6040853.286783621
768,6038990.659476236
770,6038858.074068958
772,6039823.508296533
774,6040233.279211359
776,6039822.685864639
778,6040021.122568029
780,6041650.5072713345
782,6043182.839403383
784,6042825.266792124
786,6041359.425346372
788,6041156.710749742
790,6041261.240365005
792,6041394.202495711
794,6041346.54759687
796,6041563.467631872
798,6041393.991518514
800,6041013.848624698
802,6041242.710199693
804,6041633.697830072
806,6041474.851866987
808,6041340.206483726
810,6040476.896812309
812,6030501.471913002
814,6010709.327717278
816,5987113.258550818
818,5965160.873649464
820,5941485.304477537
822,5927125.592603402
824,5933677.723957823
826,5954920.18707
828,5976746.520973438
830,5999050.133835595
832,6021168.56550896
834,6036487.02449733
836,6041779.136217378
838,6041158.936430674
840,6041451.2533222
842,6041120.3227281
844,6041544.202064093
846,6041314.459414491
848,6041515.74623968
850,6041214.988796121
852,6041375.199370071
854,6041300.454584308
856,6041272.207297666
858,6041478.228599308
860,6041336.6226767
862,6041496.336655661
864,6041342.507455706
866,6041349.310111891
868,6041224.591401995
870,6041703.066376171
872,6041125.557385189
874,6041533.641872476
876,6041379.613836721
878,6041076.450878949
880,6041717.021392829
882,6041175.435711568
884,6041462.522676468
886,6041438.248078431
888,6041078.8591638245
890,6041345.767291883
892,6041448.674007037
894,6041456.225925874
896,6041311.731219381
898,6041663.663880635
900,6041478.51256387
902,6041398.694606588
904,6041325.065686952
906,6041263.687185237
908,6041038.942341128
910,6041264.691251243
912,6041009.391292178
914,6041740.308603801
916,6041490.393460887
918,6041154.245836258
920,6041231.965370912
922,6041162.662288789
924,6041532.939179378
926,6041509.963560465
928,6041375.349341608
930,6041784.108832992
932,6041477.139523257
934,6041746.767053641
936,6041442.910545951
938,6041427.660100521
940,6041436.737883927
942,6041299.916195709
944,6041672.938163029
946,6041972.737847948
948,6040997.4976437865
950,6041527.172483896
952,6041360.037925265
954,6041204.110806951
956,6041323.610330461
958,6041410.761771096
960,6041213.829537946
962,6041098.631738511
964,6041349.653596208
966,6041047.612606475
968,6042010.401726091
970,6041055.470805336
972,6041664.452700466
974,6041102.703915492
976,6041583.618326493
978,6041597.810315059
980,6042227.292573821
982,6042681.469365726
984,6040917.766485885
986,6040888.242716824
988,6040755.737442582
990,6041424.138361211
992,6041273.104059525
994,6041908.471368191
996,6033311.589377661
998,6001775.252673258
1000,5936397.265967679
1002,5827017.528207542
1004,5665927.553937795
1006,5449773.124801296
1008,5171825.631771876
1010,4838617.920169761
1012,4475249.082356052
1014,4105931.090856601
1016,3748971.8279620847
1018,3418340.8098842166
