wave,flux
336,1086964.9503485875
338,1545550.4382152695
340,2168353.495701499
342,2903288.5180869075
344,3581584.382450402
346,4211799.1633083
348,4892599.65166985
350,5516379.404487021
352,5909356.479760691
354,6033852.655824257
356,6041660.566641565
358,6041677.572855614
360,6041385.732130684
362,6040842.8083223635
364,6040822.067912884
366,6041181.830836295
368,6041687.578170077
370,6041516.673424974
372,6041264.742502443
374,6041206.265869362
376,6040868.802180407
378,6041480.272889888
380,6040687.1397920055
382,6041540.946305294
384,6041558.529615751
386,6041362.950632788
388,6041321.307926927
390,6041788.146212699
392,6041143.550531546
394,6041902.146190661
396,6041327.0452569835
398,6041557.642897134
400,6040994.895646375
402,6041790.584980346
404,6041414.032749915
406,6040928.868328719
408,6041477.6804630635
410,6041398.901393454
412,6041394.406783294
414,6041633.608841715
416,6041589.862174604
418,6041347.527233129
420,6041669.7060834635
422,6041591.112061241
424,6041500.671666809
426,6041732.061059035
428,6041470.191028326
430,6041650.241432931
432,6041027.273821406
434,6041859.211184008
436,6041226.863252674
438,6041729.746838165
440,6041650.377933663
442,6040906.396501244
444,6041814.312023721
446,6041457.420051395
448,6041636.702244915
450,6041164.5402813805
452,6041273.507516993
454,6041829.51024844
456,6041395.247828281
458,6041708.162991538
460,6041418.972262948
462,6041659.528297966
464,6041563.581669701
466,6041901.890223864
468,6041517.171972986
470,6041167.807027071
472,6041743.795604946
474,6041087.918108942
476,6041269.8230741285
478,6041581.816223302
480,6041498.125171084
482,6041263.289178725
484,6041231.875533073
486,6041565.862475639
488,6041373.239847112
490,6041518.658156338
492,6041003.253685915
494,6041596.15651793
496,6041614.627311711
498,6041468.947126513
500,6041751.522013396
502,6041459.265355319
504,6041232.966640071
506,6040775.524865974
508,6036366.866023361
510,6025997.59844655
512,6016103.940062268
514,6005911.846546051
516,5995676.998183744
518,5985701.25956977
520,5978372.759883696
522,5982644.405834802
524,5992569.26946286
526,6001856.2720589135
528,6011764.411853056
530,6020965.522916412
532,6030541.718384768
534,6038479.354687111
536,6041258.0813836
538,6041367.424093544
540,6041337.433816358
542,6041406.957421284
544,6041437.816716909
546,6041640.917794022
548,6041587.870206632
550,6041506.078283929
552,6041456.423974175
554,6041113.914448638
556,6041365.204974043
558,6041302.084947543
560,6040938.421466315
562,6041028.226605539
564,6040754.030252727
566,6041260.194592536
568,6041357.575615282
570,6041210.832203357
572,6041348.611907897
574,6041137.568137086
576,6041044.97190691
578,6041076.562877049
580,6041502.286048615
582,6041812.542591614
584,6041233.371794389
586,6041131.798316526
588,6041535.551924921
590,6032122.91968342
592,6004739.551783755
594,5954367.135778985
596,5876752.992873801
598,5768578.781732247
600,5628761.651623961
602,5456045.976006036
604,5250592.151748841
606,5011092.14716686
608,4739893.213187612
610,4454331.642629244
612,4166390.327557852
614,3885355.6820318014
616,3618976.4049343118
618,3371342.1162828263
620,3146333.5983750857
622,2946165.5427718344
624,2771250.5055516236
626,2621715.6390326363
628,2498760.6631240053
630,2400060.621997525
632,2318098.125449513
634,2247717.491091886
636,2185419.3396144365
638,2128663.917870392
640,2075456.0450257289
642,2024842.8586622635
644,1975969.297633301
646,1926251.7766512232
648,1874651.421534683
650,1821417.8898457068
652,1766368.44434056
654,1709233.831141925
656,1649898.109421776
658,1588858.211571448
660,1526221.4286453843
662,1461479.1000757075
664,1394777.6498001944
666,1326098.7732944833
668,1254479.0070548432
670,1181298.336563736
672,1109678.2278648312
674,1040518.7138905579
676,973978.8293898784
678,910295.5857637872
680,849822.6592273966
682,792946.4677541868
684,739559.7842579277
686,689534.6162388803
688,643398.5238242343
690,601559.6402414744
692,563996.1318771394
694,530691.0404898358
696,501613.45133517915
698,476145.5896048163
700,453393.3141654696
702,432826.4335071186
704,414088.98848319775
706,396981.5569665358
708,381365.11297615815
710,367162.0875705509
712,354172.8999712102
714,341936.8771952843
716,330124.294724077
718,318669.8803571704
720,307458.57753828116
722,296270.11664548033
