wave,flux
336,0.9069769723113313
338,9.270885868678915
340,265.3265910384013
342,1288.2763004686026
344,3011.3575744349046
346,5026.86129066165
348,7367.152976620274
350,10129.487585168934
352,13336.211975071152
354,17140.701372223266
356,22129.79471357644
358,28704.78522978908
360,36491.65826687501
362,45297.20555238692
364,55220.117758669985
366,66208.37716069954
368,77988.71280537905
370,90503.54356030276
372,103904.0760408017
374,117916.27548657825
376,133119.24796113573
378,150606.9484632565
380,170992.77706244934
382,194085.86625050328
384,221440.78407849415
386,256628.83865596182
388,307022.3654777712
390,388712.92194597574
392,529255.3781713621
394,752348.92963602
396,1059794.6883450386
398,1418671.6732878697
400,1782784.0407934973
402,2113464.846118694
404,2400162.8302215342
406,2657027.377359572
408,2910355.9220676287
410,3181777.653064819
412,3479317.242136272
414,3807224.8861722937
416,4174585.673229645
418,4594046.242019368
420,5034620.904503798
422,5445389.307153316
424,5758185.965497054
426,5940592.746744467
428,6022402.476287338
430,6041284.189040689
432,6041445.7877093945
434,6041471.555677788
436,6041609.979588829
438,6041259.683312428
440,6041385.882026957
442,6041266.578298185
444,6041780.800709682
446,6041236.574892051
448,6041502.005632471
450,6041467.891030929
452,6041510.37274739
454,6041022.803081484
456,6041800.698967505
458,6041114.709300623
460,6041723.260347622
462,6041506.188370568
464,6041313.481321613
466,6041410.261861588
468,6041779.729536318
470,6041291.540335779
472,6041507.651905242
474,6040642.163735649
476,6041570.571604825
478,6041920.801988246
480,6041338.035566208
482,6041495.89086401
484,6041461.541221167
486,6041554.374201543
488,6041080.170876734
490,6041548.659941526
492,6041381.494498968
494,6041378.900148066
496,6041569.101749701
498,6041436.857562937
500,6041447.070986678
502,6041444.924547056
504,6041524.437333754
506,6041489.1685384
508,6041366.574055383
510,6040932.084994742
512,6041231.949274781
514,6041541.936369262
516,6041968.342483224
518,6041849.410999771
520,6041343.274501768
522,6041783.35898791
524,6041535.128681258
526,6041327.699267358
528,6041677.679594406
530,6041483.942012585
532,6041278.5339410305
534,6041155.766178798
536,6041464.396122721
538,6041357.137768553
540,6041238.775980555
542,6041068.374478572
544,6041310.423916861
546,6041470.481552994
548,6041701.033535478
550,6041716.102143668
552,6041429.9113979
554,6041836.516891611
556,6041675.124765334
558,6041536.65857328
560,6041482.6514811795
562,6041231.791307125
564,6041283.569722585
566,6041171.1732476875
568,6041868.961606669
570,6041452.294738352
572,6040951.037747006
574,6041273.003646323
576,6041088.474011526
578,6041229.456186603
580,6041407.118900126
582,6041361.298766021
584,6041474.24087259
586,6041299.30086794
588,6041428.761211353
590,6041332.223922967
592,6041286.058134414
594,6041238.177650504
596,6041313.824698821
598,6041673.2907485785
600,6041182.379770962
602,6040984.207299442
604,6041163.086216597
606,6041451.584028916
608,6041899.044502504
610,6041589.280818296
612,6041151.435159033
614,6041385.443552884
616,6041923.596150966
618,6041366.354382204
620,6040955.403607381
622,6041390.6599860275
624,6041724.77666013
626,6040803.29029289
628,6040206.870080031
630,6040966.773439815
632,6041618.61169129
634,6041536.915437352
636,6041490.929213067
638,6042335.33142515
640,6041965.750440081
642,6041267.685609832
644,6042042.692971093
646,6040895.836451597
648,6039163.892363099
650,6040402.701505246
652,6041604.82535513
654,6041390.551493225
656,6041145.253626919
658,6041511.047086207
660,6041551.251244399
662,6041377.4869394535
664,6041484.487484026
666,6041443.750092455
668,6041107.991048916
670,6041563.760999668
672,6041267.206276448
674,6041163.483843256
676,6041536.128915831
678,6041346.24345349
680,6041150.289956291
682,6041410.314774397
684,6041560.064687422
686,6041447.9187860545
688,6040955.81893969
690,6041315.875338955
692,6041350.307975556
694,6041850.281893436
696,6041497.367671758
698,6041199.302168769
700,6041453.64627868
702,6041828.693192877
704,6040860.42770877
706,6041675.622792104
708,6041571.681644926
710,6041346.454989626
712,6041546.234560798
714,6041858.824615336
716,6041142.5820534965
718,6041286.403162461
720,6041703.1207177285
722,6041807.585318082
724,6041329.8607438
726,6041296.890614847
728,6041527.288726995
730,6041723.792105585
732,6041192.330811199
734,6041150.1016538385
736,6041704.398114255
738,6041255.137810724
740,6041344.973276121
742,6041402.044472554
744,6041509.896928869
746,6041611.23472158
748,6041281.529689905
750,6041392.455248062
752,6040981.1977447625
754,6041295.389267499
756,6041239.4416478425
758,6041271.659960353
760,6041533.037164191
762,6033170.558480699
764,5997309.196911797
766,5919816.184365741
768,5789128.623488824
770,5591227.92157777
772,5331562.926099856
774,5030824.995786329
776,4699258.250554136
778,4346757.545140255
780,3987299.429810042
782,3631624.3336451664
784,3286378.269654552
786,2964560.482130975
788,2677357.907088312
790,2431812.978824052
792,2227005.630354121
794,2056991.6675400746
796,1912122.286436368
798,1783069.2196949078
800,1663500.214270693
802,1548744.6415391257
804,1440089.3704584274
806,1338355.7413583586
808,1246002.4351940232
810,1164641.9993123675
812,1094313.8934356393
814,1033315.1507154639
816,979276.3012057306
818,928884.3489745458
820,880151.1850921786
822,831067.2044299131
824,781134.7456778135
826,731197.4373941015
828,682133.9307999852
830,635157.065687494
832,590767.9318637582
834,549817.9262336656
836,511926.9827578021
838,476508.58827418834
840,442988.8091633684
842,410512.7161371145
844,378885.83903410326
846,347759.8550145639
848,317145.038704723
850,286997.5341464601
852,257814.11993689087
854,229635.74166079867
856,202883.51438950063
858,177548.2583061767
860,153963.78261275878
862,132580.8515415665
864,113288.53811543316
866,96239.40874515912
868,81413.00428997858
870,68826.20859127876
872,58133.754868965356
874,49160.33286656182
876,41666.7751322839
878,35497.06635140222
880,30295.018445045593
882,25695.68578759554
884,21591.37521759164
886,17852.922836174053
888,14389.809163301048
890,11160.697668091325
892,8122.388938503005
894,5540.658797514908
896,3560.8201047046186
898,2067.8082667675035
900,1036.1379326991748
902,389.7262820249188
904,91.05201843704549
906,33.85408597934234
908,10.175341117526877
910,0.4798427012002451
912,-3.482973111878331
914,2.393407046365594
916,-5.54246237681494
918,-0.29287613119402345
920,-2.3379566926154904
922,4.289920058427215
924,0.9442159283387628
926,-2.7336637591896857
928,1.0006701908683229
930,-1.3057717257606596
932,1.5404292547943992
934,4.001179039549514
936,-1.414773894536123
938,3.248233771030033
940,0.4896997775772239
942,3.269850699677664
944,0.8757233738836303
946,1.835094323646329
948,-1.5911823412967454
950,0.22756291881490442
952,1.4645588048001232
954,3.043621082643513
956,0.027056986644400358
958,-0.10659459427895207
960,-0.7023202398106899
962,-2.0064684457895754
964,-3.0020412361544704
966,-2.2327748367148637
968,-2.2451702637504916
970,3.087313082970052
972,-1.474238603491238
974,-1.3750943045639343
976,0.09099228775895851
978,-4.359327552662422
980,0.17173412192045567
982,0.5883557203648353
984,-0.6237451035931326
986,0.24693956783995888
988,-1.1733774690472267
990,1.089032408027303
992,0.5823660453244227
994,0.22070109661222787
996,-2.4283186811864717
998,-1.410528741235163
1000,-1.602076920989911
1002,-0.0723170684905614
1004,-2.2803875418149437
1006,-0.15982876153475076
1008,-1.1915084778267833
1010,-1.9937058314243845
1012,1.598653035792643
1014,-0.6487785841223528
1016,2.324849570691117
1018,0.7091701747258704
