wave,flux
336,0.5034869580041775
338,0.9983691926266659
340,0.7481482575809963
342,1.2227193808654504
344,-0.6116599601892355
346,1.7328645192100138
348,2.5311332982761647
350,-0.8760096001881991
352,-1.8869115812472756
354,-4.084275669563021
356,4.62272894440685
358,2.24918996873627
360,90.96836667278812
362,590.5147688985677
364,1743.1209319584202
366,3385.1356783797714
368,5118.341300633605
370,6640.737404584456
372,8011.612271962186
374,9394.473893305443
376,10992.205069889547
378,13004.648408544781
380,15573.197403758782
382,18815.606362750324
384,22973.405568804737
386,28254.058742478337
388,34466.78233323768
390,41292.07756266865
392,48904.76965866474
394,57508.492553977405
396,66952.56469790298
398,76497.24789211551
400,85839.42009842572
402,95192.01122297233
404,105091.13422741488
406,116108.61443438583
408,128947.62008305916
410,144431.742707249
412,163135.27732560903
414,185218.23452057855
416,210612.0087323637
418,239765.0930842209
420,274750.4835851906
422,320658.10829972447
424,386277.5333707675
426,484194.063388381
428,628302.840993947
430,828775.8512571304
432,1085434.1788084114
434,1383416.9283290538
436,1694899.8861990399
438,1985266.5442850748
440,2223679.291338719
442,2391406.0277277892
444,2485615.7194778407
446,2519579.3686057446
448,2516761.370587725
450,2504224.4670159686
452,2506904.022981934
454,2545591.407444142
456,2633038.330851775
458,2774279.1432759673
460,2970085.6055349726
462,3214746.53757589
464,3498857.0195180275
466,3816038.2689604326
468,4158721.3535239683
470,4517164.229109021
472,4869451.286610765
474,5198953.971982938
476,5485717.624608572
478,5712322.447547814
480,5867393.750021381
482,5964352.014645503
484,6016923.711028628
486,6038016.789101019
488,6041846.10149019
490,6041413.778818626
492,6041628.392442652
494,6041334.4105891725
496,6041080.336666252
498,6041345.332720555
500,6041392.3740394125
502,6041289.034590986
504,6041540.926595886
506,6041713.650002132
508,6041223.397869082
510,6041707.456260776
512,6041585.066844277
514,6041256.553902218
516,6041810.5475005815
518,6041470.870067351
520,6041661.686430453
522,6041374.941876521
524,6041224.638303195
526,6041219.821307401
528,6041512.128574245
530,6041165.238444527
532,6041233.952650978
534,6041047.426373056
536,6041357.569695606
538,6041319.691556036
540,6041426.913366105
542,6041420.537247583
