wave,flux
336,-1.833502204999247
338,-0.8677343921622516
340,1.7818684314028597
342,-1.1357282799884607
344,0.6181430687555258
346,0.5257430271934161
348,-1.748285826377677
350,-0.5857802905036785
352,-2.540536434221487
354,2.743913405171635
356,1.7048934018690005
358,-3.2854578923701503
360,0.8334159993897761
362,114.86268206384321
364,512.4109181519821
366,1086.236694627238
368,1674.8761224598404
370,2664.0308487479538
372,4421.872657831374
374,6786.166524677987
376,9620.054765533543
378,12986.487874810384
380,17335.748422273242
382,22863.04680279087
384,29961.265467906393
386,38701.216615417434
388,49257.662644805656
390,64597.97296119454
392,95034.92606359773
394,142144.16308274202
396,198343.45212556477
398,244887.2198122457
400,279468.243977914
402,305384.59061384044
404,331587.44733143423
406,359699.4054590642
408,390514.9717797103
410,424599.8156348768
412,462258.7483273164
414,502767.64713535627
416,545132.7666848196
418,588276.0785089135
420,632810.0259099173
422,679474.5827554712
424,730643.2278733526
426,790632.9874966287
428,866568.8133344261
430,964283.357688297
432,1084881.1243884554
434,1223125.6093698186
436,1370781.7746972393
438,1524467.6261093998
440,1689140.8034083152
442,1879453.122924848
444,2113518.128953473
446,2407214.140724613
448,2765376.3890625653
450,3182581.114688239
452,3645648.374246954
454,4136580.059807987
456,4617598.8107820805
458,5058495.864752858
460,5431561.666212641
462,5708369.240646808
464,5885609.910531157
466,5985351.062204026
468,6030970.424569987
470,6041401.47496112
472,6041390.704173556
474,6041219.695455253
476,6041579.447524401
478,6041598.126910761
480,6041411.017202992
482,6041200.685985097
484,6041305.572486786
486,6041300.28933355
488,6041372.919466937
490,6041428.707905639
492,6041607.428551644
494,6041992.055413431
496,6041046.682910639
498,6041445.168754443
500,6041624.834899463
502,6041069.900382152
504,6041545.959918625
506,6041302.218827032
508,6041216.887947248
510,6041224.267811075
512,6041170.993217129
514,6041477.555453467
516,6040957.39777155
518,6041570.089077126
520,6041507.90137257
522,6041422.64437177
524,6041285.988323658
526,6041690.966660594
528,6041396.4116104795
530,6041961.572714406
532,6041413.412318763
534,6041593.243752931
536,6041742.891298404
538,6041876.6689170115
540,6041875.733548617
542,6042025.813826761
544,6041145.214649974
546,6041630.254662685
548,6041758.825369126
550,6041385.273199515
552,6041150.948738423
554,6041101.231362781
556,6041405.426100021
558,6041480.291938797
560,6041496.756264941
562,6041340.851373279
564,6041312.541002935
566,6041522.078042898
568,6041717.498524827
570,6041310.074363887
572,6040961.060023921
574,6041531.096357915
576,6041481.887715108
578,6041494.080287823
580,6041385.373366398
582,6041439.668298202
584,6041806.492292479
586,6041359.367609517
588,6041690.365832058
590,6041348.140596923
592,6041570.318681638
594,6041824.089932606
596,6041553.276188271
598,6041700.92214856
600,6041131.561763704
602,6040942.64473693
604,6041312.776030661
606,6041601.374492304
608,6041561.639836843
610,6041430.255499685
612,6041281.756938348
614,6041208.761311772
616,6041401.046624343
618,6041858.425812974
620,6041569.389893541
622,6040728.644308288
624,6040567.639583147
626,6041261.62327651
628,6042608.991592354
630,6043295.021706279
632,6041581.662329058
634,6040209.371266653
636,6040575.767728296
638,6041575.784702529
640,6042356.28344457
642,6042587.6688665
644,6042443.380882118
646,6042498.412227621
648,6042898.948547917
650,6043095.882580293
652,6041712.554912069
654,6040120.9352439465
656,6041052.833326366
