wave,flux
336,5570.924896214903
338,7631.918597160578
340,9654.369293173928
342,11587.228235176197
344,14031.965298645488
346,17776.42425756038
348,22905.16470038329
350,28664.19208838152
352,35401.73002900965
354,43819.72013471961
356,53427.38446381524
358,63048.12330349606
360,72350.26914415341
362,82353.7149260379
364,94252.49429791378
366,109817.67300846742
368,131868.9762649739
370,166969.11415039893
372,231910.47323606076
374,352591.4549612789
376,546346.5301565706
378,797639.6150013624
380,1060979.4854595584
382,1294314.5600596943
384,1489054.5598043245
386,1655026.3315607675
388,1793567.513568928
390,1892205.7675385547
392,1949721.1549146029
394,1980657.733884933
396,2020392.2953843328
398,2110843.017440008
400,2300394.9834150616
402,2604751.002334293
404,2993733.388279985
406,3394759.976562374
408,3743333.6531001795
410,4020259.7833418665
412,4261341.346852946
414,4525369.400627189
416,4849239.085886512
418,5210195.77615957
420,5549362.295379662
422,5807540.096199941
424,5956796.491791315
426,6022803.732335794
428,6041037.932955344
430,6041736.373629035
432,6041419.940605208
434,6041028.081416353
436,6041974.180807121
438,6041394.017224257
440,6041414.615147175
442,6041438.265015406
444,6041795.646716464
446,6041875.870417548
448,6041377.7810376035
450,6041221.925883915
452,6042055.71180128
454,6040787.004355085
456,6041688.494123666
458,6041651.063253565
460,6041672.256245554
462,6041282.653862866
464,6041419.892853743
466,6041058.287784334
468,6041439.743311914
470,6041680.101251988
472,6041828.904269905
474,6041354.342771385
476,6041688.124306985
478,6041296.838653717
480,6041190.18241909
482,6041350.221734005
484,6041306.4863919495
486,6041446.910298385
488,6041414.118464609
490,6041514.60268504
492,6041715.889609624
494,6041228.186414962
496,6041582.269174697
498,6041202.824028883
500,6041427.701262034
502,6041421.63430963
504,6041740.009795028
506,6041503.373494024
508,6041369.8898176635
510,6041412.892401408
512,6041069.210799038
514,6041227.79897294
516,6041490.264498586
518,6041435.049799554
520,6041437.934011644
522,6041477.784740256
524,6041331.263412238
526,6041224.1859365925
528,6041407.2290910585
530,6041539.282141934
532,6041329.8926359415
534,6040789.402750192
536,6041991.756689405
538,6041515.9843987
540,6041475.873694479
542,6041377.777512261
544,6041354.118832031
546,6041508.948902519
548,6041422.66747017
550,6041219.158238415
552,6041597.176043157
554,6041133.294068669
556,6041246.545323922
558,6041225.303263929
560,6040956.4939195365
562,6040958.846888945
564,6041455.406749604
566,6041314.984594611
568,6041503.953875928
570,6041454.45451829
572,6041214.668211553
574,6041212.210807006
576,6041550.56242051
578,6041895.95601189
580,6041993.434197815
582,6041880.590414162
584,6041537.684318969
586,6041195.997542501
588,6041536.418321218
590,6041261.327824909
592,6041218.572373793
594,6041395.998091195
596,6041389.487124147
598,6041610.507576835
600,6041734.272670583
602,6041683.588008533
604,6041605.720900273
606,6041456.635504421
608,6041249.4044479765
610,6041612.593387753
612,6041575.990437295
614,6041525.8567560585
616,6041946.414889182
618,6040890.707586041
620,6041642.097184611
622,6042538.811089807
624,6039750.39719406
626,6039162.694365296
628,6040324.751679951
630,6040901.201132527
632,6041237.532621347
634,6041278.055590495
636,6041587.322927969
638,6042537.310394179
640,6041627.8976298515
642,6040439.91704573
644,6042140.313421903
646,6043943.275929002
648,6043878.827265115
650,6042271.2263134895
652,6041879.38766371
654,6042623.221634703
656,6042149.601408358
658,6041085.016567076
660,6040645.398491634
662,6041487.891743138
664,6042324.013819701
666,6041854.106380874
668,6040721.731882545
670,6040414.85405104
672,6042088.715905869
674,6042400.516706681
676,6039584.176025825
678,6038213.354756992
680,6039569.27973409
682,6041226.218214235
684,6041827.214016527
686,6041225.6119187195
688,6041467.202708936
690,6042952.758626469
692,6042730.643246167
694,6041826.468654074
696,6041482.399230128
698,6041197.940507843
700,6041453.509330067
702,6041828.679066359
704,6040860.426273645
706,6041675.622651289
708,6041571.681631732
710,6041346.45498846
712,6041546.234560702
714,6041858.8246153295
716,6041142.582053496
718,6041286.403162461
720,6041703.1207177285
722,6041807.585318082
724,6041329.8607438
726,6041296.890614847
728,6041527.288726995
730,6041723.792105585
732,6041192.330811199
734,6041150.1016538385
736,6041704.398114255
738,6041255.137810724
740,6041344.973276121
742,6041402.044472554
744,6041509.896928869
746,6041611.23472158
748,6041281.529689905
750,6041392.455248062
752,6040981.1977447625
754,6041295.389267499
756,6041239.4416478425
758,6041271.659960353
760,6041533.037164191
762,6033170.558480699
764,5997309.196911797
766,5919816.184365741
768,5789128.623488824
770,5591227.92157777
772,5331562.926099856
774,5030824.995786329
776,4699258.250554136
778,4346757.545140255
780,3987299.429810042
782,3631624.3336451664
784,3286378.269654552
786,2964560.482130975
788,2677357.907088312
790,2431812.978824052
792,2227005.630354121
794,2056991.6675400746
796,1912122.286436368
798,1783069.2196949078
800,1663500.214270693
802,1548744.6415391257
804,1440089.3704584274
806,1338355.7413583586
808,1246002.4351940232
810,1164641.9993123675
812,1094313.8934356393
814,1033315.1507154639
816,979276.3012057306
818,928884.3489745458
820,880151.1850921786
822,831067.2044299131
824,781134.7456778135
826,731197.4373941015
828,682133.9307999852
830,635157.065687494
832,590767.9318637582
834,549817.9262336656
836,511926.9827578021
838,476508.58827418834
840,442988.8091633684
842,410512.7161371145
844,378885.83903410326
846,347759.8550145639
848,317145.038704723
850,286997.5341464601
852,257814.11993689087
854,229635.74166079867
856,202883.51438950063
858,177548.2583061767
860,153963.78261275878
862,132580.8515415665
864,113288.53811543316
866,96239.40874515912
868,81413.00428997858
870,68826.20859127876
872,58133.754868965356
874,49160.33286656182
876,41666.7751322839
878,35497.06635140222
880,30295.018445045593
882,25695.68578759554
884,21591.37521759164
886,17852.922836174053
888,14389.809163301048
