wave,flux
336,6707.554405920713
338,10409.022399379915
340,15337.854401679195
342,20154.333287134577
344,25644.374470896437
346,32367.589360901868
348,40064.01914637041
350,50390.914104678464
352,63614.143613749286
354,77640.03072131459
356,92320.3174719121
358,108433.19452060416
360,125346.80379892909
362,141735.92566624083
364,158145.8312263749
366,177876.92450201573
368,204188.58321969272
370,239835.2173310421
372,292114.42569601315
374,379851.1026244574
376,542791.551334681
378,824136.254924525
380,1229915.1334572574
382,1704017.5009336623
384,2165665.8962972295
386,2583350.7228627163
388,2993800.88080151
390,3443045.907192324
392,3915982.4182931827
394,4334539.024124132
396,4640392.911878372
398,4852380.817445355
400,5053661.421361578
402,5305549.645309732
404,5585402.410017826
406,5826416.177149074
408,5969843.163232282
410,6029990.664673367
412,6041895.195131831
414,6040989.766260096
416,6041548.840991662
418,6041490.808843921
420,6041439.333195976
422,6041198.556832964
424,6041238.84032895
426,6041682.543279724
428,6041644.476481711
430,6041241.654553996
432,6041527.733365126
434,6041051.319196452
436,6041342.909567859
438,6041492.217480764
440,6041283.591234849
442,6041176.336923181
444,6041596.568102019
446,6041381.674891323
448,6041154.667285684
450,6041054.246835759
452,6040768.828486996
454,6041574.823790703
456,6041532.4973921785
458,6041142.903224588
460,6040906.6388697745
462,6041603.388458022
464,6041267.483395702
466,6041034.054733364
468,6041674.971146927
470,6041197.812686788
472,6041609.727514219
474,6041512.29127137
476,6041115.65519169
478,6041537.593342344
480,6041620.970373445
482,6041751.401685644
484,6041302.315888966
486,6041060.206378911
488,6041607.634018186
490,6041183.833839912
492,6041235.138124499
494,6041586.741905438
496,6041527.734514948
498,6041433.314367037
500,6041151.382565117
502,6041198.487636157
504,6041345.735602565
506,6041064.034785956
508,6041767.6221769955
510,6041438.051380024
512,6041593.430808143
514,6041346.9184845835
516,6041272.496517354
518,6041678.220263176
520,6041163.115592046
522,6041411.9481691355
524,6041724.508544471
526,6041443.952917257
528,6041326.668506051
530,6041339.419536665
532,6041532.049613345
534,6041456.612440719
536,6041475.731798354
538,6040994.10239734
