wave,flux
336,104584.44134953576
338,143647.88553706108
340,157839.27008421643
342,159856.59698637846
344,180579.3790288062
346,221581.4845442579
348,265275.49435316125
350,305427.5717080913
352,349335.3377471893
354,398170.0273993144
356,438059.680776111
358,458704.3796895215
360,469513.2000123137
362,487723.0142237153
364,519447.28882536496
366,558924.0060505436
368,596537.7577055304
370,623812.748106484
372,637305.4907934516
374,641621.4504280301
376,651689.6443081286
378,683996.0117038691
380,746376.1514819986
382,832729.1936859521
384,935934.2928713163
386,1051650.6172087316
388,1182219.0253369247
390,1337872.8046957185
392,1540049.3312098838
394,1779603.9127009516
396,2027201.4647212988
398,2244795.154928477
400,2447647.911731698
402,2663685.998600085
404,2908685.5529859583
406,3152895.4100836343
408,3351712.06574649
410,3476307.175760484
412,3529573.515891186
414,3541013.5592196155
416,3545888.83496573
418,3568641.168045703
420,3623168.3235683003
422,3723979.174649308
424,3895236.2061690106
426,4163415.6410558103
428,4532177.413772561
430,4955864.845504036
432,5351202.199671093
434,5630361.036447508
436,5747062.030555226
438,5719510.390259615
440,5607876.949837643
442,5484632.477550437
444,5405282.131996101
446,5400317.454922103
448,5467414.055259929
450,5584754.004336808
452,5725361.64577235
454,5855080.26121141
456,5949072.29673749
458,6007591.307575726
460,6035296.234693297
462,6040889.106484604
464,6041526.030402571
466,6041705.869007178
468,6041582.661369518
470,6041064.119492428
472,6041450.001588519
474,6040823.056625661
476,6041351.430032051
478,6041296.773624656
480,6041212.561106922
482,6041331.487542464
484,6041339.403005061
486,6041250.237572426
488,6041562.451549064
490,6041072.894712847
492,6041662.035340317
494,6041450.774329802
496,6041599.7324961
498,6041064.2787673
500,6041714.312167043
502,6040870.753463533
504,6041545.104801749
506,6041715.968091824
508,6041406.331728226
510,6041789.520637269
512,6041551.170361341
514,6041431.320692416
516,6041524.629346085
518,6041470.904986487
520,6041420.321994525
522,6041156.681101059
524,6041032.316531387
526,6041228.956566794
528,6041006.3914457
530,6041543.750077393
532,6041138.738872615
534,6041672.651223584
536,6041645.279252385
538,6041140.807816934
540,6041208.206157214
542,6041416.25623567
544,6041652.102591513
546,6041585.19788475
548,6041545.217979335
550,6041472.963696522
552,6041533.23556059
554,6041612.924362896
556,6041513.957979741
558,6041446.985295713
560,6041709.031635498
562,6041552.268314017
564,6041303.16624422
566,6041135.587687832
568,6041293.005637971
570,6041526.963655754
572,6041489.139520746
574,6040989.141963566
576,6041244.439921931
578,6041361.065946206
580,6041331.3081511725
582,6041339.365312105
584,6041205.11138432
586,6041366.216420116
588,6041224.40128132
590,6041071.628854791
592,6040892.606204196
594,6041013.937788883
596,6041483.351334052
598,6041732.164995869
600,6041682.818900381
602,6041483.724926016
604,6041364.179646288
606,6041267.977478764
608,6041097.724189867
610,6041359.338979493
612,6041516.18172587
614,6041452.441784576
616,6041460.686164854
618,6041348.343741002
620,6042100.535529592
622,6042943.061516499
624,6042367.942675328
626,6041818.545436978
628,6040529.838391087
630,6039175.805500728
632,6040758.008362109
634,6041443.168842793
636,6040387.9966105465
638,6040522.831572735
640,6041237.800057295
642,6042172.40389944
644,6043304.794863764
646,6043346.161323417
648,6042003.358173138
650,6040478.804990108
652,6041477.498003636
654,6043495.7109055435
656,6042618.645849402
658,6041770.255064042
660,6042328.400576407
662,6041794.690309085
664,6041059.173062047
666,6041653.916241941
668,6042851.563248665
670,6042976.401122461
672,6041270.263187451
674,6041158.592595095
676,6041535.698471676
678,6041346.2131199185
680,6041150.288052315
682,6041410.314663772
684,6041560.064681359
686,6041447.918785737
688,6040955.818939671
690,6041315.875338953
692,6041350.307975556
694,6041850.281893436
696,6041497.367671758
698,6041199.302168769
700,6041453.64627868
702,6041828.693192877
704,6040860.42770877
706,6041675.622792104
708,6041571.681644926
710,6041346.454989626
712,6041546.234560798
714,6041858.824615336
716,6041142.5820534965
718,6041286.403162461
720,6041703.1207177285
722,6041807.585318082
724,6041329.8607438
726,6041296.890614847
728,6041527.288726995
730,6041723.792105585
732,6041192.330811199
734,6041150.1016538385
736,6041704.398114255
738,6041255.137810724
740,6041344.973276121
742,6041402.044472554
744,6041509.896928869
746,6041611.23472158
748,6041281.529689905
750,6041392.455248062
752,6040981.1977447625
754,6041295.389267499
756,6041239.4416478425
758,6041271.659960353
760,6041533.037164191
762,6033170.558480699
764,5997309.196911797
766,5919816.184365741
768,5789128.623488824
770,5591227.92157777
772,5331562.926099856
774,5030824.995786329
776,4699258.250554136
778,4346757.545140255
780,3987299.429810042
782,3631624.3336451664
784,3286378.269654552
786,2964560.482130975
788,2677357.907088312
790,2431812.978824052
792,2227005.630354121
794,2056991.6675400746
796,1912122.286436368
798,1783069.2196949078
800,1663500.214270693
802,1548744.6415391257
804,1440089.3704584274
806,1338355.7413583586
808,1246002.4351940232
810,1164641.9993123675
812,1094313.8934356393
814,1033315.1507154639
816,979276.3012057306
818,928884.3489745458
820,880151.1850921786
822,831067.2044299131
824,781134.7456778135
826,731197.4373941015
828,682133.9307999852
830,635157.065687494
832,590767.9318637582
834,549817.9262336656
836,511926.9827578021
838,476508.58827418834
840,442988.8091633684
842,410512.7161371145
844,378885.83903410326
846,347759.8550145639
848,317145.038704723
850,286997.5341464601
852,257814.11993689087
854,229635.74166079867
856,202883.51438950063
858,177548.2583061767
860,153963.78261275878
862,132580.8515415665
864,113288.53811543316
866,96239.40874515912
868,81413.00428997858
870,68826.20859127876
872,58133.754868965356
874,49160.33286656182
876,41666.7751322839
878,35497.06635140222
880,30295.018445045593
882,25695.68578759554
884,21591.37521759164
886,17852.922836174053
888,14389.809163301048
890,11160.697668091325
892,8122.388938503005
894,5540.658797514908
896,3560.8201047046186
898,2067.8082667675035
900,1036.1379326991748
902,389.7262820249188
904,91.05201843704549
906,33.85408597934234
908,10.175341117526877
910,0.4798427012002451
912,-3.482973111878331
914,2.393407046365594
916,-5.54246237681494
918,-0.29287613119402345
920,-2.3379566926154904
922,4.289920058427215
924,0.9442159283387628
926,-2.7336637591896857
928,1.0006701908683229
930,-1.3057717257606596
932,1.5404292547943992
934,4.001179039549514
936,-1.414773894536123
938,3.248233771030033
940,0.4896997775772239
942,3.269850699677664
944,0.8757233738836303
946,1.835094323646329
948,-1.5911823412967454
950,0.22756291881490442
952,1.4645588048001232
954,3.043621082643513
956,0.027056986644400358
958,-0.10659459427895207
960,-0.7023202398106899
962,-2.0064684457895754
964,-3.0020412361544704
966,-2.2327748367148637
968,-2.2451702637504916
970,3.087313082970052
972,-1.474238603491238
974,-1.3750943045639343
976,0.09099228775895851
978,-4.359327552662422
980,0.17173412192045567
982,0.5883557203648353
984,-0.6237451035931326
986,0.24693956783995888
988,-1.1733774690472267
990,1.089032408027303
992,0.5823660453244227
994,0.22070109661222787
996,-2.4283186811864717
998,-1.410528741235163
1000,-1.602076920989911
1002,-0.0723170684905614
1004,-2.2803875418149437
1006,-0.15982876153475076
1008,-1.1915084778267833
1010,-1.9937058314243845
1012,1.598653035792643
1014,-0.6487785841223528
1016,2.324849570691117
1018,0.7091701747258704
