wave,flux
336,343.45446560554393
338,632.6955592711986
340,1065.9208374963
342,1650.8651513645323
344,2417.0851312124846
346,3477.9084207808455
348,4827.147213787306
350,6314.454452304591
352,7980.249221917672
354,9940.428139775677
356,12258.143044996503
358,15025.031078265796
360,18483.119489577784
362,22528.71239534203
364,26858.650186091938
366,31565.498783291445
368,37092.03771414564
370,43623.90227362918
372,51422.54405219358
374,61352.347483544494
376,75585.48375545097
378,96030.64473448855
380,123570.30615905598
382,157936.46011980507
384,200344.64828468746
386,252495.86888032814
388,315602.2684644848
390,389853.51365754654
392,476153.2054271501
394,573294.1461908888
396,678941.9348719608
398,790667.158436576
400,910801.0410888301
402,1040677.1423027082
404,1178682.28299832
406,1317324.6640772084
408,1449373.4202230256
410,1570775.9492223829
412,1682325.616524774
414,1788130.0098418004
416,1893928.6007099166
418,2007660.9711445065
420,2138952.055667243
422,2297868.755843623
424,2491614.1848870236
426,2718801.927088355
428,2966334.5493984353
430,3212299.6175711723
432,3433117.568719876
434,3615434.3666538512
436,3762231.7041914067
438,3890593.1214402886
440,4024074.8386272104
442,4182713.826073308
444,4377182.191289768
446,4613850.19344414
448,4887715.28497626
450,5175187.539039537
452,5451354.700119052
454,5689129.015417739
456,5859762.159074311
458,5965505.192868212
460,6019959.695393825
462,6039376.890871794
464,6041491.142406546
466,6041671.883865058
468,6041438.86740931
470,6041376.348873652
472,6040918.944904626
474,6041704.163043772
476,6041669.749730466
478,6041323.868706815
480,6040974.530157235
482,6041782.923941392
484,6040819.204959446
486,6041210.447432501
488,6041517.541637665
490,6041290.5119957365
492,6041131.134451126
494,6041622.652175123
496,6041481.017034612
498,6041601.404672829
500,6041465.967812245
502,6041352.065306245
504,6041444.795589531
506,6041704.742622482
508,6041536.130282034
510,6041211.971196596
512,6041699.700242536
514,6041358.67266985
516,6041668.570108581
518,6041832.292601334
520,6041439.0809002295
522,6041342.144125762
524,6041314.8087342875
526,6041290.591847763
528,6041447.979023677
530,6041097.027808346
532,6041077.493496623
534,6041242.781706065
536,6041236.814086558
538,6041423.239935726
540,6041294.667859424
542,6041457.456380014
544,6041772.552455584
546,6041461.079970406
548,6041671.335630439
550,6041791.414808383
552,6042009.20964325
554,6041781.44112552
556,6041346.270665407
558,6041377.191660578
560,6041610.705172913
562,6041329.161886092
564,6041610.451695517
566,6041822.29236456
568,6041841.845226534
570,6041162.079779424
572,6041098.627157403
574,6041604.99825131
576,6041245.107690254
578,6041027.002296706
580,6041371.372599491
582,6041711.239130705
584,6041702.710676417
586,6041371.172781589
588,6041473.131936226
590,6041475.894392619
592,6041461.382964885
594,6041592.705793179
596,6041565.844110939
598,6041299.167864039
600,6041464.427842571
602,6041197.9793254845
604,6040997.3203637125
606,6041223.579182218
608,6041218.4918196555
610,6041269.458732019
612,6041309.578980824
614,6041393.023183616
616,6041546.45439676
618,6041289.089316663
620,6040823.89219553
622,6040349.899997934
624,6040287.7019245885
626,6041737.409875777
628,6041928.124727072
630,6040053.65619111
632,6039842.171141509
634,6040644.534817258
636,6040946.847042967
638,6040489.232983454
640,6041248.922729046
642,6041969.765623351
644,6040586.107642112
646,6040741.466560887
648,6041692.564974062
650,6040461.076933716
652,6039946.265133086
654,6040740.84178109
656,6041178.967369315
658,6041543.932464192
660,6041552.196726158
662,6041377.467228652
664,6041484.48366182
666,6041443.749826624
668,6041107.991036599
670,6041563.760999357
672,6041267.206276457
674,6041163.483843259
676,6041536.128915831
678,6041346.24345349
680,6041150.289956291
682,6041410.314774397
684,6041560.064687422
686,6041447.9187860545
688,6040955.81893969
690,6041315.875338955
692,6041350.307975556
694,6041850.281893436
696,6041497.367671758
698,6041199.302168769
700,6041453.64627868
702,6041828.693192877
704,6040860.42770877
706,6041675.622792104
708,6041571.681644926
710,6041346.454989626
712,6041546.234560798
714,6041858.824615336
716,6041142.5820534965
718,6041286.403162461
720,6041703.1207177285
722,6041807.585318082
724,6041329.8607438
726,6041296.890614847
728,6041527.288726995
730,6041723.792105585
732,6041192.330811199
734,6041150.1016538385
736,6041704.398114255
738,6041255.137810724
740,6041344.973276121
742,6041402.044472554
744,6041509.896928869
746,6041611.23472158
748,6041281.529689905
750,6041392.455248062
752,6040981.1977447625
754,6041295.389267499
756,6041239.4416478425
758,6041271.659960353
760,6041533.037164191
762,6033170.558480699
764,5997309.196911797
766,5919816.184365741
768,5789128.623488824
770,5591227.92157777
772,5331562.926099856
774,5030824.995786329
776,4699258.250554136
778,4346757.545140255
780,3987299.429810042
782,3631624.3336451664
784,3286378.269654552
786,2964560.482130975
788,2677357.907088312
790,2431812.978824052
792,2227005.630354121
794,2056991.6675400746
796,1912122.286436368
798,1783069.2196949078
800,1663500.214270693
802,1548744.6415391257
804,1440089.3704584274
806,1338355.7413583586
808,1246002.4351940232
810,1164641.9993123675
812,1094313.8934356393
814,1033315.1507154639
816,979276.3012057306
818,928884.3489745458
820,880151.1850921786
822,831067.2044299131
824,781134.7456778135
826,731197.4373941015
828,682133.9307999852
830,635157.065687494
832,590767.9318637582
834,549817.9262336656
836,511926.9827578021
838,476508.58827418834
840,442988.8091633684
842,410512.7161371145
844,378885.83903410326
846,347759.8550145639
848,317145.038704723
850,286997.5341464601
852,257814.11993689087
854,229635.74166079867
856,202883.51438950063
858,177548.2583061767
860,153963.78261275878
862,132580.8515415665
864,113288.53811543316
866,96239.40874515912
868,81413.00428997858
870,68826.20859127876
872,58133.754868965356
874,49160.33286656182
876,41666.7751322839
878,35497.06635140222
880,30295.018445045593
882,25695.68578759554
884,21591.37521759164
886,17852.922836174053
888,14389.809163301048
890,11160.697668091325
892,8122.388938503005
894,5540.658797514908
896,3560.8201047046186
898,2067.8082667675035
900,1036.1379326991748
902,389.7262820249188
904,91.05201843704549
906,33.85408597934234
908,10.175341117526877
910,0.4798427012002451
912,-3.482973111878331
914,2.393407046365594
916,-5.54246237681494
918,-0.29287613119402345
920,-2.3379566926154904
922,4.289920058427215
924,0.9442159283387628
926,-2.7336637591896857
928,1.0006701908683229
930,-1.3057717257606596
932,1.5404292547943992
934,4.001179039549514
936,-1.414773894536123
938,3.248233771030033
940,0.4896997775772239
942,3.269850699677664
944,0.8757233738836303
946,1.835094323646329
948,-1.5911823412967454
950,0.22756291881490442
952,1.4645588048001232
954,3.043621082643513
956,0.027056986644400358
958,-0.10659459427895207
