wave,flux
336,272.04444225562895
338,378.9328028365473
340,501.8879396801477
342,720.5071779236333
344,1054.9525711667736
346,1613.376988731763
348,2520.9136776389887
350,3746.261070819013
352,5368.942823293287
354,7464.043303884288
356,9969.745447111705
358,12833.471512234153
360,16193.758505298529
362,20274.447136129682
364,25074.431383395775
366,30646.18063493578
368,37293.39836058219
370,45348.72874855003
372,55084.28511504064
374,67018.25608844342
376,82189.0262299932
378,101874.90864710923
380,127022.69639701041
382,157431.56814843082
384,191185.97408400843
386,225030.06513841057
388,255531.98085823742
390,282691.1856256539
392,312171.2305894194
394,352240.3164269283
396,408987.1325304373
398,484598.54305686214
400,581039.1565921461
402,701375.8365566068
404,849454.1950861678
406,1026279.1870729846
408,1229679.8461433263
410,1455690.8986410657
412,1699665.4542146998
414,1955902.137005759
416,2217593.042812531
418,2478867.4838366634
420,2737283.105657143
422,2995852.9993280456
424,3261634.89141565
426,3544427.9160605883
428,3849392.875448449
430,4174746.4918417833
432,4512088.288242227
434,4850693.910837897
436,5174499.458398757
438,5462168.32529717
440,5697602.28548036
442,5866512.266418458
444,5967997.445230087
446,6019750.7817169875
448,6038627.856347364
450,6041338.266350856
452,6041435.135121545
454,6041395.244643362
456,6041360.375106944
458,6041176.905369394
460,6041310.760430495
462,6041218.095268553
464,6041611.547319959
466,6041195.69531973
468,6041579.614826007
470,6041304.173405239
472,6040907.940634413
474,6041744.7373141525
476,6041140.222815678
478,6041931.9886693405
480,6041640.124923187
482,6041306.940383968
484,6041359.123860589
486,6041368.458495173
488,6041467.895248635
490,6041158.985013109
492,6041422.9509703675
494,6041555.333799531
496,6041567.083351799
498,6041550.871123525
500,6041244.154407563
502,6042145.060689258
504,6041084.373212276
506,6041135.738025032
508,6041310.247074808
510,6041567.562584463
512,6041945.138539757
514,6041239.364421779
516,6041535.978120574
518,6041144.2993699685
520,6041275.696513845
522,6041357.756166011
524,6041440.405246319
526,6041395.067128113
528,6041368.648011988
530,6041720.355742895
532,6041316.683376206
534,6041587.141034685
536,6041358.511987771
538,6041738.310730931
540,6041277.652044076
542,6041392.385996259
544,6041753.094308927
546,6041344.355108479
548,6041253.511362607
550,6041193.700642378
552,6040935.8467889065
554,6041002.001247891
556,6041415.274945578
558,6041433.297137525
560,6041390.809869741
562,6041490.832787463
564,6041475.125072631
566,6041298.644539658
568,6041349.814578922
570,6041664.291732843
572,6041382.403773192
574,6041457.865977645
576,6041925.980323683
578,6041819.482878314
580,6041478.461620151
582,6041207.776609059
584,6040908.981262961
586,6041045.17356392
588,6041321.476293982
590,6041440.156538698
592,6041507.311654826
594,6041494.33426802
596,6041262.055331981
598,6041110.78457533
600,6041574.764503841
602,6041311.361712736
604,6041023.775935863
606,6041355.663888356
608,6041453.697586858
610,6041390.893213328
612,6041355.526767029
614,6041374.429234275
616,6041415.287421706
618,6041470.000581165
620,6040958.371253833
622,6040508.375710283
624,6041144.828307405
626,6041726.672970925
628,6041842.73743709
630,6041610.771136531
632,6041151.988043191
634,6040587.602131015
636,6040038.827373942
638,6039626.877745919
640,6039472.967220886
642,6039698.309772782
644,6040424.119375555
646,6041693.165764979
648,6041643.7461706465
650,6041401.219711734
652,6041705.777114717
654,6041397.689689034
656,6041151.216791151
658,6041511.431214405
660,6041551.262288403
662,6041377.486709215
664,6041484.487439378
666,6041443.750089349
668,6041107.991048771
670,6041563.760999665
672,6041267.2062764475
674,6041163.483843256
676,6041536.128915831
678,6041346.24345349
680,6041150.289956291
682,6041410.314774397
684,6041560.064687422
686,6041447.9187860545
688,6040955.81893969
690,6041315.875338955
692,6041350.307975556
694,6041850.281893436
696,6041497.367671758
698,6041199.302168769
700,6041453.64627868
702,6041828.693192877
704,6040860.42770877
706,6041675.622792104
708,6041571.681644926
710,6041346.454989626
712,6041546.234560798
714,6041858.824615336
716,6041142.5820534965
718,6041286.403162461
720,6041703.1207177285
722,6041807.585318082
724,6041329.8607438
726,6041296.890614847
728,6041527.288726995
730,6041723.792105585
732,6041192.330811199
734,6041150.1016538385
736,6041704.398114255
738,6041255.137810724
740,6041344.973276121
742,6041402.044472554
744,6041509.896928869
746,6041611.23472158
