wave,flux
336,201.3938638636104
338,339.2735132953134
340,561.9009618134343
342,960.2227937073999
344,1526.3069580108172
346,2226.9548926026005
348,3085.028872369718
350,4136.815929030704
352,5383.764477736887
354,6840.710960683271
356,8529.215225220856
358,10454.355460014664
360,12708.7816811184
362,15418.129593829271
364,18677.369278197457
366,22530.58012972914
368,27121.658029902996
370,32588.85147970293
372,39060.35019270467
374,46957.12329358403
376,57088.2356163218
378,70398.10527089392
380,87800.10823770892
382,109724.02469744098
384,136321.91094807943
386,167397.4604537961
388,203155.9307345861
390,245703.16316894887
392,299210.3137458321
394,367647.45435670164
396,451484.0711115717
398,546595.1634724969
400,646419.9093063294
402,745582.506658262
404,843107.2563818985
406,942127.123532238
408,1046852.6891025389
410,1158777.8497775737
412,1274245.755359392
414,1387873.2564518107
416,1496178.366240029
418,1599977.0992771497
420,1703977.6825577884
422,1813839.3934658803
424,1935378.375579345
426,2072412.3727245037
428,2228885.5330324564
430,2405184.6901632017
432,2601086.644805532
434,2813780.6975353328
436,3041682.450466457
438,3283484.4523054315
440,3538767.6328126816
442,3806131.7878764886
444,4083075.1314144237
446,4368613.575394342
448,4659253.461268116
450,4951983.014919327
452,5232916.902514825
454,5486798.455690546
456,5699727.868787121
458,5857295.339451856
460,5956626.315043064
462,6011973.04659196
464,6035394.535991408
466,6041389.391093049
468,6041095.389340516
470,6041786.758725541
472,6041406.717213712
474,6041454.106028011
476,6041201.152854157
478,6041470.649291818
480,6041474.35974706
482,6041218.926211823
484,6041482.722144494
486,6041521.066252621
488,6041512.039905754
490,6041318.903607436
492,6041563.149805725
494,6041259.586082948
496,6041587.258020144
498,6041412.390561161
500,6041619.598614009
502,6041299.926089579
504,6041456.571262933
506,6041184.931139404
508,6041423.944966942
510,6041657.80170177
512,6041236.7459637765
514,6042138.119753751
516,6041433.257904789
518,6041518.63911088
520,6041483.387370246
522,6041460.447059868
524,6041359.926816621
526,6041074.268582145
528,6041386.142843309
530,6041199.336459065
532,6041277.907692427
534,6041179.84335209
536,6041435.1506492635
538,6041749.457151616
540,6041689.97716734
542,6041226.997095483
544,6041508.376783185
546,6041443.556109638
548,6041286.070349087
550,6041517.653752927
552,6041387.497821131
554,6041016.432298065
556,6041288.897087346
558,6041553.334351904
560,6041892.302056245
562,6041619.863556494
564,6041224.090954977
566,6040998.309558682
568,6041482.376720919
570,6041764.040014728
572,6041292.718732615
574,6041241.043118041
576,6041236.716910073
578,6041179.269254402
580,6041500.122761543
582,6041376.336693086
584,6041019.25615153
586,6041796.978238125
588,6041687.700136615
590,6041813.423775858
592,6041660.178097424
594,6041275.888811488
596,6041299.531353825
598,6041501.678766828
600,6041372.648195582
602,6041309.6642314065
604,6041332.319517388
606,6041377.331127994
608,6041529.38782086
610,6041482.523778642
612,6041564.582303253
614,6041430.560708722
616,6040843.141026953
618,6041001.3361718785
620,6040527.0073217815
622,6039606.038508077
624,6040104.847882956
626,6041891.720378515
628,6042472.108355173
630,6041455.436334063
632,6041741.1110230675
634,6041486.052778939
636,6040765.6742668385
638,6041601.456554373
640,6041835.209701661
642,6041004.127427071
644,6040316.877800816
646,6039933.07711967
648,6039812.867655675
650,6039916.391680862
652,6040203.791467273
654,6040635.20928694
656,6041168.25147175
658,6041512.52853471
660,6041551.293837267
662,6041377.4860515045
664,6041484.487311839
666,6041443.75008048
668,6041107.991048362
670,6041563.760999654
672,6041267.206276448
674,6041163.483843256
676,6041536.128915831
678,6041346.24345349
680,6041150.289956291
682,6041410.314774397
684,6041560.064687422
686,6041447.9187860545
688,6040955.81893969
690,6041315.875338955
692,6041350.307975556
694,6041850.281893436
696,6041497.367671758
698,6041199.302168769
700,6041453.64627868
702,6041828.693192877
704,6040860.42770877
706,6041675.622792104
708,6041571.681644926
710,6041346.454989626
712,6041546.234560798
714,6041858.824615336
716,6041142.5820534965
718,6041286.403162461
720,6041703.1207177285
722,6041807.585318082
724,6041329.8607438
726,6041296.890614847
728,6041527.288726995
730,6041723.792105585
732,6041192.330811199
734,6041150.1016538385
736,6041704.398114255
738,6041255.137810724
740,6041344.973276121
742,6041402.044472554
744,6041509.896928869
746,6041611.23472158
748,6041281.529689905
750,6041392.455248062
752,6040981.1977447625
754,6041295.389267499
756,6041239.4416478425
758,6041271.659960353
760,6041533.037164191
762,6033170.558480699
764,5997309.196911797
766,5919816.184365741
768,5789128.623488824
770,5591227.92157777
772,5331562.926099856
774,5030824.995786329
776,4699258.250554136
778,4346757.545140255
780,3987299.429810042
782,3631624.3336451664
784,3286378.269654552
786,2964560.482130975
788,2677357.907088312
790,2431812.978824052
792,2227005.630354121
794,2056991.6675400746
796,1912122.286436368
798,1783069.2196949078
800,1663500.214270693
802,1548744.6415391257
804,1440089.3704584274
806,1338355.7413583586
808,1246002.4351940232
810,1164641.9993123675
812,1094313.8934356393
814,1033315.1507154639
816,979276.3012057306
818,928884.3489745458
820,880151.1850921786
822,831067.2044299131
824,781134.7456778135
826,731197.4373941015
828,682133.9307999852
830,635157.065687494
832,590767.9318637582
834,549817.9262336656
836,511926.9827578021
838,476508.58827418834
840,442988.8091633684
842,410512.7161371145
844,378885.83903410326
846,347759.8550145639
848,317145.038704723
850,286997.5341464601
852,257814.11993689087
854,229635.74166079867
856,202883.51438950063
858,177548.2583061767
860,153963.78261275878
862,132580.8515415665
864,113288.53811543316
866,96239.40874515912
868,81413.00428997858
870,68826.20859127876
872,58133.754868965356
874,49160.33286656182
876,41666.7751322839
878,35497.06635140222
880,30295.018445045593
882,25695.68578759554
884,21591.37521759164
886,17852.922836174053
888,14389.809163301048
890,11160.697668091325
892,8122.388938503005
894,5540.658797514908
896,3560.8201047046186
898,2067.8082667675035
900,1036.1379326991748
902,389.7262820249188
904,91.05201843704549
906,33.85408597934234
908,10.175341117526877
910,0.4798427012002451
912,-3.482973111878331
914,2.393407046365594
916,-5.54246237681494
918,-0.29287613119402345
920,-2.3379566926154904
922,4.289920058427215
924,0.9442159283387628
926,-2.7336637591896857
928,1.0006701908683229
930,-1.3057717257606596
932,1.5404292547943992
934,4.001179039549514
936,-1.414773894536123
938,3.248233771030033
940,0.4896997775772239
942,3.269850699677664
944,0.8757233738836303
946,1.835094323646329
948,-1.5911823412967454
950,0.22756291881490442
952,1.4645588048001232
954,3.043621082643513
956,0.027056986644400358
958,-0.10659459427895207
960,-0.7023202398106899
962,-2.0064684457895754
964,-3.0020412361544704
966,-2.2327748367148637
968,-2.2451702637504916
970,3.087313082970052
972,-1.474238603491238
974,-1.3750943045639343
976,0.09099228775895851
978,-4.359327552662422
980,0.17173412192045567
982,0.5883557203648353
984,-0.6237451035931326
986,0.24693956783995888
988,-1.1733774690472267
990,1.089032408027303
992,0.5823660453244227
994,0.22070109661222787
996,-2.4283186811864717
998,-1.410528741235163
1000,-1.602076920989911
1002,-0.0723170684905614
1004,-2.2803875418149437
1006,-0.15982876153475076
1008,-1.1915084778267833
1010,-1.9937058314243845
1012,1.598653035792643
1014,-0.6487785841223528
1016,2.324849570691117
1018,0.7091701747258704
