wave,flux
336,8.817114959567803
338,58.29625699595493
340,186.09530698178372
342,372.1250578371786
344,621.0105143776606
346,946.4868891322587
348,1372.869179778919
350,1858.6842312453607
352,2391.7933705368823
354,3019.983236356751
356,3753.148850274116
358,4650.4691641754325
360,5788.334733255836
362,7184.863273835657
364,8756.05001644881
366,10557.884076799008
368,12675.631656468737
370,15127.294686135123
372,17862.456490685978
374,20877.651843574116
376,24277.50402928931
378,28255.005486437967
380,32947.64721725783
382,38731.81038616046
384,46673.20689483035
386,58813.20771307743
388,77712.4456987189
390,105603.46397525175
392,143568.77107994675
394,189409.74900054422
396,239024.38047136102
398,288181.2542820818
400,336589.88483205833
402,385462.8157652641
404,436109.96112740773
406,488171.53773234936
408,541016.1943193394
410,594237.5447654484
412,647408.1168217058
414,700120.7425082397
416,753076.9273571237
418,807580.2682054233
420,867096.7365758443
422,935306.3417255012
424,1015748.1418605312
426,1110096.1409063865
428,1216494.6365617784
430,1329812.1146487223
432,1444481.2940532751
434,1556916.9305459864
436,1667702.5996101515
438,1781906.364405143
440,1906135.9031671472
442,2045022.8204339973
444,2200275.7751851804
446,2369126.1806124575
448,2549016.894360273
450,2737330.3334540296
452,2933273.395000999
454,3138041.3441912597
456,3352814.053209863
458,3577124.2346671196
460,3809077.0592939714
462,4043015.836820874
464,4273070.912274868
466,4497527.237132027
468,4717904.535555161
470,4939446.693187319
472,5159435.467437122
474,5372047.907511367
476,5569727.631294352
478,5739893.946946317
480,5867714.325245499
482,5954525.813780161
484,6007105.19207281
486,6032789.064780376
488,6041049.653865914
490,6041459.254697839
492,6041179.136385175
494,6041262.554191216
496,6041667.219401517
498,6041269.906996639
500,6041510.307652514
502,6041429.465398735
504,6041623.492853326
506,6041872.589411685
508,6041639.053520456
510,6041521.803071061
512,6041458.618362899
514,6041430.130342322
516,6041423.550920978
518,6041759.710347244
520,6041645.278007087
522,6041475.798486234
524,6041647.729200393
526,6041311.267333562
528,6040912.724137956
530,6041886.935524746
532,6041346.428558323
534,6041557.37378334
536,6041344.417983878
538,6041103.014799637
540,6041493.404637739
542,6041431.605685325
544,6041498.632483917
546,6041276.836055997
548,6041377.610877391
550,6041178.6309769945
552,6041026.856831866
554,6041817.08733101
556,6041778.170929343
558,6041471.775331889
560,6041352.910536492
562,6041388.335442538
564,6041254.188494758
566,6041315.685651898
568,6041757.818283765
570,6041481.612669412
