wave,flux
336,139098.42262529407
338,166401.85522595333
340,235899.9831327126
342,424878.29922732024
344,938715.4113579106
346,1995869.8444320674
348,3392403.5995151363
350,4332523.965047855
352,4150613.6305576437
354,3104579.4101324906
356,2022070.18933918
358,1416148.2717925804
360,1342908.9560768344
362,1698474.629550721
364,2269018.667351516
366,2751873.4428619463
368,2946270.7877674643
370,2863660.4656001003
372,2655798.7614679527
374,2522698.9858628185
376,2627200.526820082
378,2991050.2879619384
380,3500477.418464011
382,4036150.596588226
384,4575327.1389685245
386,5117324.735209517
388,5593839.842907419
390,5894927.025221342
392,6019647.488743699
394,6041756.316388958
396,6041223.163027446
398,6041626.029801661
400,6041380.949070962
402,6006500.1257153815
404,5896802.420133889
406,5746027.098887561
408,5638985.828437902
410,5668827.097108804
412,5802374.604256309
414,5938382.807783144
416,6021083.769791375
418,6040848.41402081
420,5985765.851153801
422,5778459.044764168
424,5346456.855806364
426,4659977.5771027375
428,3844824.311370235
430,3053199.6763353073
432,2394227.924466662
434,1921865.1661614333
436,1600022.9856157256
438,1380668.6078509851
440,1234156.8303899646
442,1148197.7880982764
444,1123570.6946798493
446,1169159.9192541584
448,1297727.2778545797
450,1523643.8806056525
452,1858234.3246234509
454,2299674.786170589
456,2824223.978962723
458,3388306.450307555
460,3940132.2531298134
462,4438311.730120218
464,4860065.646646538
466,5198358.528717034
468,5462815.761721018
470,5667497.164859251
472,5819359.313245296
474,5921891.525025304
476,5985510.392947332
478,5999716.487559962
480,5945715.806202771
482,5809140.473317281
484,5583382.7654206
486,5264543.698000125
488,4869974.471906939
490,4452448.038505394
492,4065398.836264022
494,3759361.7347420147
496,3580042.2543591294
498,3562751.223488154
500,3700870.5679693893
502,3960208.3622936956
504,4304615.092320965
506,4691560.838695594
508,5076101.576065883
510,5402542.003718258
512,5652981.764397928
514,5833382.269239955
516,5950791.162738243
518,6014662.937828103
520,6038911.748919031
522,6041903.403595196
524,6041518.37240668
526,6041274.508572223
528,6041288.603007792
530,6041446.197282224
532,6041500.423139706
534,6041060.307515829
536,6041306.495196834
538,6041491.858636808
540,6041431.424913381
542,6041802.7698056875
544,6041455.812253069
546,6041458.177039638
548,6041325.471477004
550,6041553.772402949
552,6041669.51315551
554,6041651.387149852
556,6041644.77106726
558,6041547.000138151
560,6041531.301331775
562,6041300.844969434
564,6041168.752380943
566,6041395.4288856
568,6041559.065684331
570,6041443.9273071885
572,6040987.759005991
574,6041249.416572646
576,6041320.144724285
578,6041070.694417092
580,6041092.918904237
582,6041478.326978301
584,6041471.736321544
586,6041175.975209664
588,6041485.161304964
590,6035201.133631764
592,6014772.145447997
594,5973759.1485578455
596,5908527.955772966
598,5817777.46514033
600,5698934.679959772
602,5550360.157123654
604,5372455.748917031
606,5163645.668208863
608,4923522.692863874
610,4663286.253389153
612,4394765.010582723
614,4126845.6883333833
616,3865003.4994100677
618,3612159.330216431
620,3370971.4649835904
622,3143343.043243352
624,2930300.7542199665
626,2732563.4044171404
628,2551509.3155890657
630,2386539.745425563
632,2233888.34131263
634,2090207.5627866106
636,1953157.5193351696
638,1821560.4148741323
640,1695470.7853350956
642,1574857.9325259614
644,1459757.5326904855
646,1351130.2921795575
648,1249668.0659349873
650,1155634.3423288073
652,1069011.4213462598
654,989946.3017106852
656,918593.10690281
658,854313.1337218822
660,796509.7072862725
662,744862.3792815463
664,698701.5129689076
666,657216.2491339054
668,619652.9261805661
670,585415.7526036757
672,554064.5028118027
674,525297.2030474134
676,498827.87203078374
678,474310.77846579056
680,451433.2597062983
682,429949.7291523214
684,409824.7308743213
686,391070.04813015694
688,373550.01535401697
690,357205.3903531012
692,342148.23565191095
694,328295.09928138106
696,315392.9427145203
698,303529.29893743835
700,292908.158767966
702,283243.35089379345
704,274206.7033487226
706,265975.4377549889
708,258664.95326716013
710,251920.66847690055
712,245524.27298886006
714,239679.14251225826
716,234497.5772201355
718,229861.34561264783
720,225690.79638593504
722,221991.927862959
724,218718.36708430044
726,215745.05315283063
728,213052.96170042217
730,210776.56791087243
732,208935.05714228586
734,207356.16628164804
736,205932.87407580143
738,204702.9075327627
740,203701.3277954141
742,202923.23330675764
744,202340.8589570112
746,201871.45732433212
748,201433.3705334994
750,201003.36418902397
752,200567.56597913013
754,200040.66686342572
756,199306.98702375314
758,198349.65391326247
760,197237.24111815594
762,196014.28866911493
764,194682.17487557975
766,193233.80290482662
768,191646.49030201606
770,189898.49684159824
772,188004.33347229383
774,185996.1090378855
776,183881.1689127319
778,181636.6638962797
780,179264.00405855672
782,176850.9824087583
784,174495.95042133436
786,172212.19770480922
788,169958.26163125236
790,167718.13262494816
792,165529.16656011602
794,163429.82351268033
796,161414.91864297804
798,159458.16689832296
800,157557.04009111653
802,155753.32551054284
804,154088.7236639278
806,152559.1298901262
808,151135.44566546797
810,149794.52115519485
812,148529.0138713544
814,147334.40012304395
816,146212.6392905843
818,145171.53920355657
820,144214.5324365115
822,143319.2641644596
824,142454.45886906012
826,141608.58866545916
828,140814.77440777284
830,140110.61953575013
832,139488.40398849203
834,138890.52931010452
836,138261.63437237783
838,137597.6732866348
840,136925.7012461974
842,136269.39933186522
844,135630.17627770943
846,135001.3700201407
848,134377.21978936813
850,133755.44088690454
852,133134.57435612762
854,132511.46650260032
856,131878.13109784352
858,131225.7279042458
860,130545.98899908176
862,129832.04750214088
864,129077.2401766676
866,128272.85818860335
868,127405.28736160684
870,126460.20985041269
872,125433.00029534972
874,124345.05312784686
876,123222.0830339858
878,122081.26671881293
880,120910.17196561518
882,119689.95244131587
884,118404.64614391813
886,117053.3481392402
888,115640.05072668522
890,114169.09911634278
892,112648.14762132936
894,111086.67141627306
896,109493.92038288777
898,107873.21979875087
900,106221.79410756331
902,104536.60177241705
904,102817.47094629367
906,101070.63799981707
908,99303.20723988459
910,97522.81875983902
912,95740.41745228217
914,93968.20705479919
916,92218.31846795052
918,90500.78041950346
920,88823.29064475477
922,87193.42565325132
924,85616.29970994928
926,84087.40460694325
928,82599.88184812649
930,81146.95718739145
932,79723.81185677121
934,78327.59246642087
936,76955.53185650684
938,75605.98729439538
940,74282.86777372668
942,72991.79270284194
944,71738.30312422232
946,70521.94981595513
948,69332.19130598966
950,68157.51623537272
952,66987.1008916399
954,65819.88437496142
956,64662.0607661423
958,63519.996326073655
960,62399.301443690536
962,61300.99106975499
964,60224.352986137485
966,59168.671764931976
968,58132.028779845656
970,57108.317942954855
972,56090.52277562643
974,55071.62980906889
976,54045.665270253754
978,53009.21273112294
980,51959.241895601524
982,50892.740830523006
984,49809.8530679976
986,48717.43069675363
988,47623.18423866947
990,46534.8195712478
992,45459.06180388737
994,44400.44970537276
996,43363.22650981704
998,42351.63439247569
1000,41368.90477533442
1002,40415.376476698344
1004,39490.87415722684
1006,38595.222477579395
1008,37728.306328640705
1010,36890.287866887214
1012,36081.40898161428
1014,35301.91156923457
1016,34552.160082110124
1018,33833.70123975334
