wave,flux
336,167827.0539672046
338,196738.07858503677
340,153248.5616958187
342,95517.20269616033
344,60921.46126746713
346,43352.363622477606
348,35741.06940213133
350,38250.34292764128
352,53896.23623762647
354,101078.31693218657
356,239717.15843508393
358,534919.8729974288
360,916495.3565692874
362,1148498.0568325426
364,1068008.0864151795
366,773370.8611567178
368,476042.89922740735
370,280540.442224649
372,170169.43934760106
374,105679.8570167043
376,66552.1799013257
378,43539.365335711744
380,30281.53930550923
382,22348.366530945645
384,16968.527896453186
386,12914.299680074442
388,10054.227967118926
390,8464.812075000385
392,7990.906646409403
394,8323.710869182698
396,9051.938781758852
398,9670.152811309485
400,9779.294843870619
402,9328.485646552504
404,8690.322129839926
406,8238.375662939883
408,8089.4574903761495
410,8041.572935531923
412,7897.811973272162
414,7615.2446550426275
416,7236.942321514992
418,6855.435823458838
420,6520.983002197846
422,6216.635742740351
424,5996.335209686045
426,6820.652123677197
428,10447.778478130042
430,20683.277055408
432,41982.919508938714
434,76793.12024312708
436,125828.2905430323
438,187447.1106530506
440,259695.80400142467
442,341429.45616600267
444,428560.33190344775
446,515696.2957281586
448,597109.3932674531
450,665655.8554573222
452,720933.8509169999
454,766114.9504517546
456,804891.5231698804
458,842046.1394605939
460,880730.1479423206
462,921733.5171346641
464,965365.8759081173
466,1011746.4892926642
468,1061399.8603948827
470,1113318.3384328578
472,1165986.936189312
474,1216670.402501464
476,1262106.5515485546
478,1298649.6252714666
480,1324010.3981304925
482,1337262.0929556792
484,1338300.5843494474
486,1328667.2834839544
488,1310635.838837874
490,1287739.2417571237
492,1264134.9947456764
494,1244401.2954674868
496,1232318.9877590502
498,1230662.8520331772
500,1240278.2346095752
502,1259634.8875310181
504,1285695.3002971676
506,1316938.6517637852
508,1352731.3298012363
510,1395642.950095176
512,1450281.2580986584
514,1522712.6201699974
516,1618719.5615012222
518,1741834.92465303
520,1893314.1678288186
522,2070988.8912964135
524,2270978.8491145787
526,2489110.907721212
528,2721975.81580502
530,2967921.0504652467
532,3225467.6137715024
534,3497186.0752088428
536,3783344.3943170127
538,4078119.9115143484
540,4375853.483337623
542,4668518.950581237
544,4947838.048873523
546,5206146.9084122265
548,5433553.976270498
550,5620544.674099048
552,5765048.163337796
554,5872076.111514729
556,5947980.354843224
558,5997130.143903268
560,6024926.57729735
562,6038289.7224771
564,6041744.97055705
566,6041348.598936652
568,6041546.287570484
570,6041261.4112686
572,6041428.397132736
574,6040986.098339094
576,6041188.79962887
578,6041423.119160248
580,6041383.184374578
582,6041550.032102126
584,6041777.171789381
586,6041652.4972202405
588,6041195.114107933
590,6041345.153279691
592,6041941.365345407
594,6041830.01828186
596,6041350.777922265
598,6041611.074031868
600,6041242.575887581
602,6041339.073047951
604,6041583.168775819
606,6041493.857952105
608,6041561.905120516
610,6041449.076235493
612,6041392.020625966
614,6041535.77407933
616,6041661.029745962
618,6041541.789429319
620,6041377.094294164
622,6041368.366102752
624,6041634.325122598
626,6042217.314524478
628,6041478.43988313
630,6039737.409986839
632,6040148.654330643
634,6041069.346024649
636,6041324.918468043
638,6041758.5319723
640,6043432.409104262
642,6043359.152298873
644,6038900.945548923
646,6037202.824270069
648,6039068.823087661
650,6040411.299837218
652,6041314.872008904
654,6042234.694295419
656,6042888.966381166
658,6041774.334075322
660,6039877.28426413
662,6040932.216827843
664,6042524.979346343
666,6041486.015402541
668,6039177.580088507
670,6034779.792049982
672,6024763.54694702
674,6004182.398196181
676,5970675.990682613
678,5927997.345550181
680,5874774.033706517
682,5805071.838619429
684,5720174.060908987
686,5623008.570207487
688,5511089.9665517695
690,5382230.299351412
692,5236704.1418153895
694,5076281.75472515
696,4903890.594492023
698,4721954.431326329
700,4532930.124286152
702,4341313.631423769
704,4151240.0144540523
706,3962747.42971989
708,3776057.3290526746
710,3594369.5770846605
712,3419877.5925554307
714,3251816.9194142395
716,3089942.5638958695
718,2935431.756740144
720,2789235.9787026052
722,2651782.9258592436
724,2523244.7058816026
726,2403488.877060259
728,2291913.1398980254
730,2187294.350571677
732,2088552.2551047215
734,1994894.256691138
736,1905631.282759775
738,1820217.8464046838
740,1738545.4888886975
742,1661463.7542870808
744,1589492.3337074674
746,1521687.2386921113
748,1457131.564338566
750,1396454.3020114708
752,1340565.021928369
754,1288760.5071957773
756,1239615.5272612388
758,1193281.2820792496
760,1151263.077542515
762,1113974.6653015658
764,1080003.919460025
766,1048219.9263067056
768,1019009.182096906
770,992975.2010610345
772,969823.1603256091
774,948813.7494354798
776,929540.3475731171
778,912003.9936010966
780,896111.5461976187
782,881376.6639408056
784,867290.0886428653
786,854022.4813648158
788,842180.3760167887
790,831916.6190320061
792,822451.1161600531
794,812978.1589425429
796,803403.4482998359
798,793979.7485025169
800,784894.7836137218
802,776211.3079908714
804,767963.0368583518
806,760038.9046441519
808,752248.9075366245
810,744448.2430085068
812,736609.3575059158
814,728725.2461083069
816,720830.0762906327
818,712995.1575948832
820,705262.7412560435
822,697504.1540248769
824,689531.4632511085
826,681258.1472212506
828,672827.0027321355
830,664408.1401287196
832,656056.9093903359
834,647702.36701138
836,639272.9375477699
838,630759.639999928
840,622191.4305379931
842,613594.0770539091
844,604971.6022456391
846,596320.1490914475
848,587649.9547807011
850,579024.9874762255
852,570521.9611547409
854,562174.7165616143
856,553894.8416971536
858,545572.4870746838
860,537168.5158575113
862,528816.8977126969
864,520677.3967481874
866,512847.80726888566
868,505277.3199935073
870,497893.33507561707
872,490637.06900436664
874,483486.82866870763
876,476427.08222401066
878,469460.6201772415
880,462653.77324148634
882,456086.6367065725
884,449824.5479256477
886,443855.80342426937
888,438143.6425964931
890,432651.9949594656
892,427351.43647212855
894,422216.20035339927
896,417221.7712267883
898,412373.0716824862
900,407705.33792155626
902,403255.12064805214
904,399043.2022589969
906,395055.1534222066
908,391271.7756889136
910,387673.55116064375
912,384238.9915323124
914,380945.8579429668
916,377772.9193975822
918,374727.1201181467
920,371846.6463914941
922,369171.30925614235
924,366718.59202477586
926,364418.7210670844
928,362180.6102516403
930,359917.0462741091
932,357630.70578617224
934,355414.610480584
936,353365.7458949311
938,351556.3454329505
940,349936.4317658056
942,348418.3760265072
944,346915.0778585117
946,345380.39187966665
948,343837.17264150595
950,342314.9057373073
952,340842.05715461506
954,339432.617100323
956,338089.81848092226
958,336816.63890340563
