wave,flux
336,139780.49594576855
338,193278.74576360133
340,287894.98283380526
342,439655.63577531517
344,663186.9171064302
346,963430.7727663865
348,1319851.5953372987
350,1698652.5385965826
352,2076547.5435332754
354,2435526.2555649607
356,2753662.7096514427
358,3000367.871100369
360,3150929.274323499
362,3213388.7832299503
364,3266221.191080799
366,3469303.75940341
368,3943665.2243029852
370,4555612.459051738
372,4935252.537272164
374,4816039.013755497
376,4317339.207582876
378,3809440.8925999487
380,3578690.0770750814
382,3676135.2900705715
384,3981606.2272322965
386,4334009.723658674
388,4626048.907716032
390,4860158.313446463
392,5116260.752525573
394,5425391.035524238
396,5729306.606073395
398,5932264.811440337
400,6022519.707152496
402,6041029.361725889
404,6041456.481863086
406,6041946.0596254235
408,6041277.810030309
410,6040857.75906782
412,6041530.440913559
414,6040912.352675124
416,6041510.437632583
418,6041507.496287626
420,6041391.411547874
422,6041541.712256114
424,6041333.096719215
426,6041063.9853318315
428,6040760.437000681
430,6041256.709174268
432,6041349.781103647
434,6041402.584566946
436,6041439.6585020125
438,6041222.160824745
440,6041048.603872018
442,6041472.009456404
444,6041137.694511885
446,6041170.117827022
448,6041430.73253375
450,6041189.099479946
452,6041429.931983217
454,6041151.877036249
456,6041560.334894588
458,6041646.018964342
460,6041069.6807900425
462,6041603.358332329
464,6041324.990827249
466,6041135.091909801
468,6041534.207091038
470,6041703.441937834
472,6041342.642827413
474,6041622.884220297
476,6041272.977085671
478,6041276.30005719
480,6041479.327981346
482,6041718.848185202
484,6041300.7026717905
486,6041747.474912532
488,6041607.838462011
490,6041457.172192802
492,6041581.597369452
494,6041749.394899611
496,6041166.6716554165
498,6041455.204282848
500,6041158.837106654
502,6041187.291988331
504,6041482.125221452
506,6041313.996177036
508,6041161.499946957
510,6041419.064677862
512,6041602.721069357
514,6041692.194297995
516,6041356.958580928
518,6041448.007529259
520,6041322.787964608
522,6041451.214304053
524,6041805.707857605
526,6041576.430655131
528,6041391.310214683
530,6041689.564751458
532,6041413.529831276
534,6041320.542566082
536,6041256.378274428
538,6040877.345863039
540,6041349.561709856
542,6041767.761464965
544,6041735.585215174
546,6041614.5087164845
548,6041171.81306745
550,6041147.86575738
552,6041336.433720233
554,6041118.851787837
556,6041571.447780937
558,6041618.396121791
560,6041403.916162156
562,6041254.431848386
564,6041321.734793136
566,6041343.267152488
568,6041260.605200705
570,6041458.940759427
572,6041310.044315508
574,6041580.512095255
576,6041255.142914808
578,6041236.97686924
580,6041673.07272952
582,6041685.868741655
584,6041420.651746502
586,6041381.988042747
588,6041177.2528843805
590,6041212.816384599
592,6041487.892677841
594,6041462.2593663605
596,6041235.766136324
598,6041443.618897232
600,6041699.760202401
602,6041684.650610841
604,6041578.06582481
606,6041494.768945148
608,6041379.991663656
610,6041548.82091893
612,6041489.60762238
614,6041207.012364238
616,6041362.876930512
618,6042008.455736548
620,6041078.98691523
622,6039691.644362338
624,6040764.587758675
626,6042481.009617202
628,6041295.432951499
630,6038775.820773319
632,6041334.478818243
634,6042027.583382677
636,6039948.377385985
638,6041134.987041985
640,6042650.0300533185
642,6041668.909350211
644,6038875.357759892
646,6039894.344051119
648,6042759.281060038
650,6042077.965643553
652,6041841.221445963
654,6042824.263961462
656,6042144.8114988385
658,6040794.713805065
660,6039940.610734254
662,6039595.938782779
664,6039698.323094503
666,6040185.388813301
668,6040994.761083036
670,6042064.065047574
672,6043330.925850782
674,6044732.968636529
676,6046207.81854868
678,6047693.100731105
680,6049126.440327667
682,6050445.462482236
684,6051587.792338679
686,6052491.055040861
688,6053092.875732648
690,6053330.879557911
692,6053142.691660516
694,6052465.937184329
696,6051238.241273217
698,6049397.229071047
700,6046880.525721688
702,6043625.756369002
704,6037216.03867842
706,5951723.732681217
708,5677966.077143291
710,5162968.664058907
712,4405307.474231988
714,3548944.4344368866
716,2846009.7540857075
718,2453661.433368233
720,2419220.342244912
722,2676694.0889729774
724,3048913.6254117647
726,3389248.709982756
728,3618144.8515051617
730,3722137.702312947
732,3724791.788435692
734,3658404.4125140877
736,3547834.2454693303
738,3411675.500376602
740,3281266.425205566
742,3220614.031094965
744,3316280.339533644
746,3595735.003019999
748,4047483.8014821163
750,4612418.638226807
752,5161899.294229332
754,5580346.684506076
756,5857472.684458509
758,5999635.480765513
760,6040396.669877499
762,6041323.906649766
764,6041288.445309765
766,6041451.089874661
768,6041587.580499393
770,6041268.369628185
772,6041458.212543554
774,6041377.531029057
776,6041771.95956914
778,6041341.789343996
780,6041235.569972832
782,6041187.349605781
784,6041689.922716313
786,6041526.493043188
788,6041161.279845747
790,6041264.655395237
792,6041394.191541192
794,6041346.483226518
796,6041563.467301391
798,6041393.992767638
800,6041013.848625732
802,6041242.71017467
