wave,flux
336,10318.981884529234
338,14134.264970830487
340,20875.83768329357
342,31521.818474496977
344,46991.678703497615
346,67634.8254162873
348,92164.45599371831
350,116446.70237519972
352,737270.3626303665
354,2777077.8906732206
356,5090745.746143901
358,6027364.945103006
360,6040771.96718753
362,6041931.970874343
364,6041328.746861708
366,6041405.687802011
368,6041197.360757686
370,6041794.316155103
372,6041339.653420797
374,6041243.38716054
376,6041357.948249699
378,6041284.639415454
380,6041154.099518238
382,6041190.714091929
384,6041336.804522614
386,6040549.4375704825
388,6041238.017725808
390,6041038.291630479
392,6041328.004370298
394,6041268.251282487
396,6041494.116270503
398,6041315.301926422
400,6041199.184625012
402,6041450.36503492
404,6041526.96364005
406,6041396.5259763915
408,6040909.156231438
410,6041773.310929881
412,6041573.576650381
414,6041091.842451162
416,6041471.6558968425
418,6041451.972613463
420,6041130.66512829
422,6041151.1618869
424,6041470.081707099
426,6041685.957826379
428,6041197.709730891
430,6041074.75209048
432,6041806.928222408
434,6041423.921955887
436,6041729.708017909
438,6041437.899681113
440,6041619.889744548
442,6041745.088384729
444,6041381.967726761
446,6041348.476954433
448,6041649.904755676
450,6041311.592347588
452,6041530.233343519
454,6041316.612175806
456,6041462.106931412
458,6041283.162106651
460,6041176.298779331
462,6041543.715909773
464,6041260.5283466615
466,6041094.8496098835
468,6041714.50959708
470,6041297.032776462
472,6041527.170570801
474,6041431.974194155
476,6041598.4722660715
478,6041250.046244591
480,6041459.04775872
482,6041456.459827066
484,6041416.306940048
486,6041468.726843466
488,6041532.294597657
490,6041180.182710906
492,6041182.743376913
494,6041773.746556587
496,6041124.76389724
498,6041506.182921984
500,6041580.629805683
502,6041517.695217219
504,6041632.665371358
506,6041417.982622999
508,6041596.205726003
510,6041719.370917334
512,6041599.096209119
514,6041093.856263534
516,6041112.413845179
518,6041419.715912005
520,6041536.283110272
522,6041415.532478707
524,6041649.096486952
526,6041493.11168508
528,6041481.928753345
530,6041655.674263829
532,6041524.78825116
534,6041677.397608829
536,6041321.047010253
538,6041635.759721021
540,6041173.862014293
542,6041330.146023553
544,6041614.241961639
546,6041475.433596955
548,6041785.368335303
550,6041113.812860929
552,6041358.864363857
554,6041713.768924996
556,6041353.711019677
558,6041589.8787578605
560,6040881.362224004
562,6043075.918386472
564,6035169.164004651
566,5981264.047094637
568,5887006.420891929
570,5752416.265443523
572,5577606.351157697
574,5364646.316233265
576,5112934.725085632
578,4827107.715840776
580,4496006.41012115
582,4162769.35541491
584,3880595.1923354436
586,3635524.7624628427
588,3432068.6215519086
590,3268887.247103795
592,3145729.2202741657
594,3063350.442246086
596,3020074.231724745
598,3016860.5311370185
600,3057625.560920668
602,3111428.6715236604
604,3171613.7686767676
606,3245513.8895668127
608,3334523.8903838773
610,3443119.773738254
612,3571156.7975273062
614,3717279.4822180416
616,3880120.0011262544
618,4057033.263209645
620,4246158.414240132
622,4443920.83404851
624,4645760.934077206
626,4848866.984734018
628,5046268.23634342
630,5230469.108465447
632,5396458.8544655815
634,5540181.348127561
636,5661620.628985804
638,5763863.722450556
640,5848066.921246473
642,5914168.249093144
644,5962800.608799186
646,5998208.660738322
648,6022210.57700249
650,6035174.698353011
652,6040338.773043379
654,6041545.197800672
656,6042053.702125024
658,6042545.2241556505
660,6043019.743546155
662,6043477.236112916
664,6043917.677672314
666,6044341.0440407265
668,6044747.311034533
670,6045136.454470111
672,6045508.45016384
674,6045863.273932098
676,6046200.901591267
678,6046521.308957721
680,6046824.471847841
682,6047110.366078005
684,6047378.967464592
686,6047630.251823982
688,6047864.194972553
690,6048080.772726683
692,6048279.9609027505
694,6048461.735317137
696,6048626.071786217
698,6048772.9461263735
700,6048902.334153981
702,6049014.211685422
704,6049108.554537073
706,6049185.338525312
708,6049244.539466522
710,6049286.133177076
712,6049310.0954733575
714,6049316.402171741
716,6049305.02908861
718,6049275.95204034
720,6049229.14684331
722,6049164.589313899
724,6049082.255268484
726,6048982.120523449
728,6048864.160895169
730,6048728.35220002
732,6048574.670254389
734,6048403.090874646
736,6048213.589877173
738,6048006.14307835
740,6047780.726294555
742,6047537.3153421655
744,6047275.886037562
746,6046996.414197125
748,6046698.875637226
750,6046383.246174252
752,6046049.501624575
754,6045697.6178045785
756,6045327.57053064
758,6044939.335619137
760,6044532.88888645
762,6044108.206148956
764,6043665.263223033
766,6043204.035925064
768,6042724.500071425
770,6042226.631478493
772,6041710.405962648
774,6041380.3382114265
776,6041769.434720108
778,6041341.596777198
780,6041235.601024175
782,6041187.354247442
784,6041689.922402991
786,6041526.49295104
788,6041161.27984808
790,6041264.65539697
792,6041394.191541187
794,6041346.483226485
796,6041563.46730139
798,6041393.992767639
800,6041013.848625732
802,6041242.71017467
804,6041633.697830491
806,6041474.851867494
808,6041340.206483702
810,6040476.896812299
812,6030501.471913005
814,6010709.327717278
816,5987113.258550818
818,5965160.873649464
820,5941485.304477537
822,5927125.592603402
824,5933677.723957823
826,5954920.18707
828,5976746.520973438
830,5999050.133835595
832,6021168.56550896
834,6036487.02449733
836,6041779.136217378
838,6041158.936430674
840,6041451.2533222
842,6041120.3227281
844,6041544.202064093
846,6041314.459414491
848,6041515.74623968
850,6041214.988796121
852,6041375.199370071
854,6041300.454584308
856,6041272.207297666
858,6041478.228599308
860,6041336.6226767
862,6041496.336655661
864,6041342.507455706
866,6041349.310111891
868,6041224.591401995
870,6041703.066376171
872,6041125.557385189
874,6041533.641872476
876,6041379.613836721
878,6041076.450878949
880,6041717.021392829
882,6041175.435711568
884,6041462.522676468
886,6041438.248078431
888,6041078.8591638245
890,6041345.767291883
892,6041448.674007037
894,6041456.225925874
896,6041311.731219381
898,6041663.663880635
900,6041478.51256387
902,6041398.694606588
904,6041325.065686952
906,6041263.687185237
908,6041038.942341128
910,6041264.691251243
912,6041009.391292178
914,6041740.308603801
916,6041490.393460887
918,6041154.245836258
920,6041231.965370912
922,6041162.662288789
924,6041532.939179378
926,6041509.963560465
928,6041375.349341608
930,6041784.108832992
932,6041477.139523257
934,6041746.767053641
936,6041442.910545951
938,6041427.660100521
940,6041436.737883927
942,6041299.916195709
944,6041672.938163029
946,6041972.737847948
948,6040997.4976437865
950,6041527.172483896
952,6041360.037925265
954,6041204.110806951
956,6041323.610330461
958,6041410.761771096
960,6041213.829537946
962,6041098.631738511
964,6041349.653596208
966,6041047.612606475
968,6042010.401726091
970,6041055.470805336
972,6041664.452700466
974,6041102.703915492
976,6041583.618326493
978,6041597.810315059
980,6042227.292573821
982,6042681.469365726
984,6040917.766485885
986,6040888.242716824
988,6040755.737442582
990,6041424.138361211
992,6041273.104059525
994,6041908.471368191
996,6033311.589377661
998,6001775.252673258
