wave,flux
336,89172.41427068057
338,125612.22468438852
340,190412.5471720222
342,294174.0356633966
344,447298.64531209064
346,653225.3756248594
348,898810.0933023782
350,1161660.9519897623
352,1424479.1055150754
354,1674272.6239675106
356,1891064.6858764733
358,2049886.431778384
360,2131349.529021964
362,2134380.1337834084
364,2086473.305589401
366,2044259.6001580458
368,2063813.5091142415
370,2145399.7905569207
372,2224677.7708660117
374,2236224.208731666
376,2187415.882721755
378,2153105.912994594
380,2211516.9285910563
382,2391001.348980257
384,2664878.3521275134
386,2974644.8045801986
388,3266602.8325862437
390,3530713.7211630126
392,3803039.9529592944
394,4111141.9762570243
396,4435180.572239987
398,4730419.341707444
400,4992330.518075883
402,5256751.4501794735
404,5530020.126059597
406,5778477.724253301
408,5941873.361666536
410,6020047.836318582
412,6041044.902717856
414,6041567.761388805
416,6041255.830590837
418,6041636.905652552
420,6041410.417933391
422,6041534.408675727
424,6041521.9821431255
426,6041076.169078082
428,6041325.460763154
430,6041382.147449564
432,6041134.213443123
434,6041497.27013779
436,6041187.671429192
438,6041485.982162732
440,6041359.457675243
442,6040997.5723259635
444,6041927.426313048
446,6041124.888008688
448,6041581.747421062
450,6041329.585794233
452,6041546.0867956085
454,6041277.459099341
456,6041535.030693874
458,6041699.799896194
460,6041608.179954254
462,6041252.41176827
464,6041483.865029662
466,6041398.383951679
468,6041503.9213181045
470,6041720.975837866
472,6041292.773326455
474,6041608.345042336
476,6041684.953068853
478,6041708.8581838645
480,6041314.725546823
482,6041369.069231108
484,6041036.577636676
486,6041391.531544805
488,6041465.853396952
490,6041274.319232007
492,6041684.368174723
494,6041399.273595557
496,6041494.460870776
498,6041484.849418979
500,6041313.145188415
502,6041533.423163897
504,6041631.792956503
506,6041530.384938001
508,6041459.914442126
510,6041418.536130273
512,6040912.106794337
514,6041221.62461456
516,6041361.769677233
518,6041464.622835215
520,6041217.224480246
522,6041587.779164543
524,6041689.525689386
526,6041194.136166198
528,6041819.591991062
530,6041738.971418329
532,6041435.951596036
534,6041288.082892735
536,6041517.596218038
538,6041244.273867366
540,6041402.451290169
542,6041851.554095756
544,6041524.892438036
546,6041483.233189676
548,6041877.35245739
550,6041642.470870785
552,6041415.364201724
554,6041562.133359021
556,6041366.681097268
558,6041358.399718297
560,6041358.867471262
562,6041596.212215026
564,6041509.831862679
566,6041300.659732348
568,6041112.909944732
570,6041668.1031882595
572,6041747.26099129
574,6041216.750485476
576,6041262.144546734
578,6041627.972816225
580,6041262.050460047
582,6041104.525186
584,6041451.891085538
586,6040862.589879979
588,6041056.227357116
590,6041419.311896902
592,6041385.26332373
594,6041167.8213672815
596,6041175.275521145
598,6041522.160370251
600,6041976.407653992
602,6041963.337000879
604,6041532.712736822
606,6041209.972686758
608,6041312.174514627
610,6041464.274778463
612,6041229.653460216
614,6041144.200182949
616,6041539.004605089
618,6041109.841646172
620,6041258.256903361
622,6041920.315583865
624,6041765.997903919
626,6041886.854072021
628,6041802.20629639
630,6041420.344419196
632,6041944.124319956
634,6041916.992120543
636,6041348.819902871
638,6041539.249303754
640,6041035.213545953
642,6041358.723005835
644,6044069.869212018
646,6043285.203594297
648,6040339.990914193
650,6040571.629633643
652,6041381.755590653
654,6041375.204287618
656,6041490.540954472
658,6041909.657097818
660,6042590.893803807
662,6043492.590898873
664,6044573.0882094465
666,6045790.7255619615
668,6047103.842782852
670,6048470.779698549
672,6049849.876135486
674,6051199.471920096
676,6052477.906878815
678,6053643.5208380725
680,6054654.653624302
682,6055469.645063938
684,6056046.834983412
686,6056344.563209156
688,6056321.169567606
690,6055934.993885195
692,6055144.375988352
694,6053907.655703513
696,6052183.172857112
698,6049929.26727558
700,6047104.278785349
702,6043666.547212857
704,6037215.2126171645
706,5951723.651627746
708,5677966.069548545
710,5162968.663386542
712,4405307.474176646
714,3548944.4344327864
716,2846009.7540854565
718,2453661.4333682247
720,2419220.342244913
722,2676694.0889729774
724,3048913.6254117647
726,3389248.709982756
728,3618144.8515051617
730,3722137.702312947
732,3724791.788435692
734,3658404.4125140877
736,3547834.2454693303
738,3411675.500376602
740,3281266.425205566
742,3220614.031094965
744,3316280.339533644
746,3595735.003019999
748,4047483.8014821163
750,4612418.638226807
752,5161899.294229332
754,5580346.684506076
756,5857472.684458509
758,5999635.480765513
760,6040396.669877499
762,6041323.906649766
764,6041288.445309765
766,6041451.089874661
768,6041587.580499393
770,6041268.369628185
772,6041458.212543554
774,6041377.531029057
776,6041771.95956914
778,6041341.789343996
780,6041235.569972832
782,6041187.349605781
784,6041689.922716313
786,6041526.493043188
788,6041161.279845747
790,6041264.655395237
792,6041394.191541192
794,6041346.483226518
796,6041563.467301391
798,6041393.992767638
800,6041013.848625732
802,6041242.71017467
804,6041633.697830491
806,6041474.851867494
808,6041340.206483702
810,6040476.896812299
812,6030501.471913005
814,6010709.327717278
816,5987113.258550818
818,5965160.873649464
820,5941485.304477537
822,5927125.592603402
824,5933677.723957823
826,5954920.18707
828,5976746.520973438
830,5999050.133835595
832,6021168.56550896
834,6036487.02449733
836,6041779.136217378
838,6041158.936430674
840,6041451.2533222
842,6041120.3227281
844,6041544.202064093
