wave,flux
336,96298.47675189105
338,112150.82528899424
340,128987.83761294579
342,153708.48743811695
344,196533.86553001855
346,290896.07909995684
348,532172.6580190317
350,1030647.5605937308
352,1722975.6930965246
354,2335053.8143224167
356,2668980.424318735
358,2795419.086624666
360,2886020.088003054
362,3025047.264052534
364,3218212.9257973037
366,3429148.412342525
368,3571274.1683364855
370,3577843.4553657263
372,3508847.8725383542
374,3501391.9006036622
376,3602037.5143169216
378,3701444.9565611235
380,3666408.2472196966
382,3494692.6526493994
384,3324430.2961986084
386,3306506.1095853024
388,3485386.2998218974
390,3805977.270382875
392,4218325.131419039
394,4714578.270143
396,5237116.301713501
398,5678580.817215182
400,5932219.6368081495
402,6029265.705728602
404,6041705.438910053
406,6041064.200893398
408,6041545.604209455
410,6041074.507421991
412,6041139.721968934
414,6041346.699853344
416,6041311.902522693
418,6041264.078071133
420,6041278.159545484
422,6041273.457359874
424,6041311.187744908
426,6041347.071182251
428,6041802.2365935445
430,6041396.716138231
432,6041390.02351389
434,6041136.16139519
436,6041202.461539633
438,6041184.186800887
440,6041296.927539665
442,6041538.58765028
444,6041249.040371881
446,6041152.538113757
448,6041656.912145341
450,6041281.977005025
452,6041071.229902209
454,6041582.145636793
456,6040652.193184341
458,6041687.556597577
460,6041141.789042114
462,6041324.186841073
464,6041248.969986109
466,6041229.5791321285
468,6041418.5019947775
470,6040969.10074237
472,6041371.702596417
474,6041444.815828637
476,6041353.503385587
478,6041338.642756917
480,6041525.131813292
482,6037054.094624761
484,6014152.96394697
486,5962509.649423331
488,5879738.512951833
490,5770283.889629429
492,5647203.179770452
494,5541623.265290997
496,5476815.699045345
498,5465873.593911688
500,5510919.46302003
502,5603065.58546946
504,5717860.043684209
506,5825027.595302458
508,5915025.203611153
510,5980458.76190156
512,6021757.193357285
514,6039658.849773066
516,6041277.824932141
518,6041357.8972338475
520,6041393.550620315
522,6041566.794405255
524,6041273.004427541
526,6041214.000209763
528,6042000.536405586
530,6041638.936379074
532,6041676.187736008
534,6041112.453838947
536,6041416.5365023725
538,6041136.153794814
540,6041112.696172053
542,6041371.954530471
544,6041225.924363309
546,6041328.4529031
548,6041354.401415305
550,6041443.6206411095
552,6041088.070685498
554,6041462.872810407
556,6041685.456266243
558,6041392.410223923
560,6041496.689614764
562,6041329.822396734
564,6041444.774716534
566,6041237.225212658
568,6040824.014330895
570,6041262.741961386
572,6041490.727833534
574,6041283.554582708
576,6041665.582389585
578,6041826.533910956
580,6041606.352386633
582,6041430.239820869
584,6041380.839237747
586,6041533.143668819
588,6041525.135047653
590,6041719.093894158
592,6041721.099509899
594,6041503.851006563
596,6041228.747258854
598,6040940.59691208
600,6041119.207447013
602,6041327.604563658
604,6041221.032312651
606,6041045.374399488
608,6039629.8036568295
610,6031331.856859876
612,6011019.825156648
614,5974867.365428317
616,5919344.06775065
618,5840455.204193862
620,5736613.148693863
622,5605397.314179323
624,5443960.764067362
626,5252259.572279742
628,5029730.517552335
630,4779396.744759525
632,4509777.202427492
634,4228510.045191157
636,3942177.586731859
638,3656637.6384924366
640,3377428.88297917
642,3108972.676143196
644,2854807.7978565344
646,2618250.333900342
648,2401557.0832630345
650,2206142.05585617
652,2033114.4040992926
654,1881240.5668856667
656,1747365.2951694413
658,1628919.0117155113
660,1523589.0066647145
662,1429180.3251220512
664,1343583.2362651203
666,1264972.9431424062
668,1192105.3109458932
670,1123920.3706664462
672,1059554.0444951605
674,998719.1571798192
676,941222.764296309
678,886676.3875899061
680,834972.3628698827
682,786279.8257611628
684,740688.9551779232
686,698243.3268455965
688,658963.7203810989
690,622824.3050630888
692,589729.7112292715
694,559610.8782166856
696,532421.5204764298
698,508025.84617855697
