wave,flux
336,1252351.4895764831
338,2781870.293505471
340,3472247.5985147916
342,3831847.0732114837
344,4241703.076371131
346,4710092.5580490185
348,5238793.446643451
350,5720711.007097876
352,5981010.158440626
354,6040702.988369687
356,6041442.357669142
358,6041703.027078968
360,6041227.437075379
362,6041807.949225665
364,6041360.581553096
366,6041425.322485908
368,6041366.62748076
370,6041195.673224311
372,6041577.628234744
374,6041791.659697853
376,6042150.458998255
378,6041393.366176885
380,6041301.317853146
382,6041543.405706099
384,6041066.042216758
386,6041658.355488219
388,6041832.04848992
390,6041360.361874501
392,6041723.0217186175
394,6042039.442730866
396,6041633.507922686
398,6040970.380269692
400,6041605.552716248
402,6040831.618316814
404,6041566.328917578
406,6041634.786466305
408,6041326.086670721
410,6041640.001509094
412,6041486.456393131
414,6041484.4975572955
416,6041285.962895025
418,6041391.233648433
420,6040186.583951905
422,5991122.733288099
424,5818673.111230013
426,5486955.386253798
428,5006155.746869217
430,4507165.595674331
432,4120925.1150513683
434,3915114.104710317
436,3913189.195294045
438,4079224.9535154854
440,4372288.265641843
442,4745182.18579567
444,5136269.919719491
446,5469609.035835768
448,5677798.527195762
450,5737564.564203771
452,5663914.666211047
454,5500690.950055966
456,5297174.969676653
458,5090689.407059516
460,4897672.557202075
462,4723797.389898274
464,4567243.693870957
466,4423203.28628294
468,4291151.560259348
470,4172036.6940306225
472,4069789.4936604705
474,3988211.6889717216
476,3933958.7508476265
478,3912327.1920709917
480,3928012.435894031
482,3986260.4131075204
484,4089257.441249716
486,4236412.196624681
488,4419893.771338876
490,4625892.293413426
492,4834556.195048051
494,5017222.626611037
496,5146373.753529046
498,5144558.722343448
500,4996438.350565568
502,4702505.33611239
504,4272945.318007887
506,3732059.553774544
508,3103889.1793574174
510,2510234.397300801
512,1991039.6014939796
514,1560177.0160918902
516,1223853.1317796074
518,982352.7448070813
520,830370.1723703286
522,747614.2922036987
524,683141.1708792497
526,633707.829367762
528,592464.0750676728
530,555852.8674229895
532,523029.9502124275
534,493195.0222179254
536,467079.03770539595
538,445257.31058652274
540,427975.54169495526
542,415138.01318192645
544,406299.5528982625
546,401021.8096772637
548,398553.8778067647
550,398378.386865531
552,400392.854489163
554,404683.6155766375
556,411489.4548320477
558,421070.45279771223
560,433639.1141696408
562,449182.31363082613
564,467487.0687597624
566,487901.25536993897
568,509567.0444175482
570,531376.1432351023
572,552566.6564117675
574,572084.7282549137
576,589257.3885129294
578,603975.5124569057
580,616168.7501745844
582,626305.5826208546
584,635087.5484595238
586,643100.3175475763
588,651705.0160072253
590,661746.1922618194
592,673932.3976947665
594,689193.6882711723
596,708323.005686835
598,731768.471742774
600,760098.0809479818
602,794351.2842744382
604,835329.6885443899
606,884413.0702344372
608,943521.8788000562
610,1013896.5306873438
612,1098438.0345730472
614,1199897.404056099
616,1320535.6886033537
618,1463073.8471437546
620,1629958.5485449058
622,1822565.7434863434
624,2041281.6543170342
626,2285850.1383215366
628,2552970.5009356267
630,2837830.7606733665
632,3135489.4805300324
634,3440770.6309609534
636,3747728.7744654245
638,4050028.7305189217
640,4342282.590822618
642,4619270.470701764
644,4875360.177393476
646,5103870.940248126
648,5299019.656254726
650,5456595.813200082
652,5574807.294384143
654,5654139.172933436
656,5695937.663431524
658,5698371.4894389035
660,5661107.704781657
