wave,flux
336,160.2740318229021
338,201.557119576601
340,257.0579406189794
342,318.10043859536313
344,362.3764534984588
346,417.53514446699467
348,484.0695221873639
350,570.0153822867468
352,692.6132982695933
354,929.4083342353073
356,1432.8903092480027
358,2406.5568766939414
360,3894.424465536946
362,5560.942595813334
364,6940.385728696074
366,7817.917154910991
368,8380.060987125946
370,8840.487545728927
372,9247.704377309656
374,9539.071632936304
376,9816.469334230356
378,10524.55621340219
380,12313.995182168372
382,15428.494967742508
384,19301.711696224145
386,22610.425384796163
388,24388.293888028005
390,24950.765325268832
392,26480.011423508913
394,29993.312616497442
396,34838.38234592038
398,38243.38027375881
400,39802.121877871265
402,40391.64736391522
404,42468.0549734049
406,49369.97478562574
408,60840.53993505119
410,75703.46934384889
412,87976.8132526984
414,96268.03377794121
416,101028.2614544857
418,104520.06646120155
420,109078.62979229646
422,115165.78165490355
424,123027.25685478462
426,132884.46932482827
428,144775.18033836177
430,157903.523538577
432,170446.8514595049
434,180057.49053277762
436,185024.10793133726
438,185291.00886001138
440,183170.25466223556
442,181989.41883336628
444,184370.9044998017
446,190937.1719343716
448,199961.51416859365
450,208498.98599172736
452,214779.77268393378
454,219552.55708430553
456,225676.65229922827
458,236335.99335235436
460,253139.50904958826
462,275431.7264748695
464,300750.56222706
466,326074.7509075579
468,350788.455568488
470,377280.7137995273
472,411813.35561464477
474,463729.83773144224
476,547414.5869924044
478,679270.9506962991
480,878477.5488555785
482,1162487.8544681058
484,1540271.5934664651
486,2011468.5725614661
488,2560974.2743922304
490,3156366.3275615964
492,3752130.3708065343
494,4297178.847014278
496,4744662.12147329
498,5061960.076633198
500,5240514.745344791
502,5300063.41210748
504,5291391.192782805
506,5254765.667328574
508,5229482.196190858
510,5247292.76021088
512,5325379.495253393
514,5456336.710839489
516,5602077.048089264
518,5737451.840614538
520,5854532.489464406
522,5945690.421272515
524,6006319.301053963
526,6036018.499188329
528,6041362.340197915
530,6042038.115466778
532,6028083.824579181
534,5979158.0498577785
536,5880837.611002591
538,5725847.173323692
540,5511038.213990648
542,5235837.363387666
544,4898250.888554746
546,4507250.7343996195
548,4099127.149829763
550,3701694.834761196
552,3329819.6901669367
554,2991638.94767554
556,2689924.920210702
558,2423381.629922861
560,2192500.470156358
562,1994516.0717036233
564,1816008.2731654597
566,1647553.0047226555
568,1485419.3488950275
570,1329342.5801180573
572,1181589.3468513142
574,1044949.1313543367
576,921792.8077254777
578,813455.1942815089
580,720801.6056377534
582,643014.3348721678
584,578250.6224490991
586,524754.1580904498
588,479589.6235573487
590,441012.2997287515
592,407036.41025522235
594,376304.6369841839
596,348061.2048541873
598,321642.90918213356
600,296724.8524460574
602,273527.76216004783
604,252294.0460652196
606,233201.96381299294
608,216483.14118869705
610,202435.99914512457
612,191123.72602402413
614,182582.0713352157
616,176815.2660372334
618,173645.49575683608
620,172910.1457647761
622,174382.00413910375
624,177794.85766604342
626,182954.08446511044
628,189574.57974112616
630,197343.01394073523
632,205980.1872050246
634,215221.2664375568
636,224762.05404965088
638,234280.78548592678
640,243529.97887614346
642,252216.9186464006
644,260029.75942544965
646,266741.08652624337
648,272150.9478478585
650,276062.3414704431
652,278265.89651705575
654,278685.91875228536
656,277352.6652258884
658,274227.673655554
660,269317.39810617536
662,262717.94868301664
664,254578.36743579528
666,245088.46929608876
668,234481.06852056537
670,222945.084260468
672,210654.55063584982
674,197937.66559353264
676,185097.10468849173
678,172275.42616557743
680,159688.17655009983
682,147622.66556982134
684,136249.639875512
686,125689.77102744768
688,116072.98135483768
690,107485.65822621033
692,99938.2295959097
694,93458.3101704354
696,88083.33394394041
698,83713.0952638379
700,80191.87830764096
702,77505.1135380411
704,75642.71903963499
706,74420.24888612481
708,73655.58441739838
710,73279.32939730007
712,73214.70439736593
714,73334.23744928745
716,73534.01828783877
718,73758.44456696468
720,73943.08768333108
722,74005.30134271125
724,73908.82787383173
726,73682.55954797516
728,73336.29763487089
730,72846.62100819312
732,72185.45022871369
734,71321.93225312613
