wave,flux
336,3284.510263960341
338,4162.787453285523
340,5135.51913348438
342,6215.938752810521
344,7437.08571552936
346,8857.686730513877
348,10441.17915053089
350,12348.154422456944
352,15092.640205294376
354,19804.60326586598
356,28903.262752844203
358,45450.12481097821
360,70908.37596154105
362,104362.2081237437
364,143102.24729210432
366,184279.0948945159
368,225690.7799115141
370,265214.0086291388
372,299145.3857317516
374,321763.2473901168
376,328240.25533033174
378,318692.39589568553
380,301092.552878525
382,289095.8745563509
384,295431.4066890945
386,325060.03666692576
388,371547.44605468767
390,420782.53904041345
392,460044.2656184013
394,486363.5028157963
396,506251.99938016146
398,529645.6787497062
400,563867.3005144639
402,610775.6142188633
404,669020.3403492722
406,738088.9110644239
408,821047.1559782719
410,921846.5145677666
412,1040309.0219514967
414,1169312.136514171
416,1298111.7865419982
418,1418964.0140433188
420,1531605.7680400673
422,1643090.79422539
424,1763489.601915661
426,1900312.5807473399
428,2057352.7322695774
430,2232333.5565605564
432,2417432.160422694
434,2602953.3502924577
436,2779590.2467956636
438,2940614.384679986
440,3084226.268355141
442,3212792.775869357
444,3332208.1289752536
446,3449936.190559889
448,3577133.3355672862
450,3724809.8598839594
452,3902943.9638600573
454,4120057.5164074013
456,4374959.696587296
458,4660464.303270804
460,4960607.629265426
462,5250243.560047665
464,5507382.023483406
466,5715773.857595122
468,5866006.946131883
470,5959761.809793835
472,6011276.644841725
474,6034298.247754111
476,6041384.587211991
478,6041522.247186178
480,6041503.008683924
482,6041390.64961623
484,6041057.452118857
486,6041351.909935141
488,6041206.598894755
490,6041158.639406712
492,6041334.973957917
494,6041407.682168034
496,6041487.308332017
498,6041275.871320364
500,6041368.197456347
502,6041387.850576766
504,6041102.815507138
506,6041326.375553437
508,6041091.893165384
510,6041276.512749713
512,6041597.789795991
514,6041400.77957607
516,6041259.581294926
518,6041599.759013572
520,6040986.29156189
522,6041725.731054078
524,6041394.860909958
526,6041365.300804872
528,6041177.185967404
530,6041585.959663154
532,6041482.922529428
534,6041675.115830773
536,6041329.338352735
538,6041474.083937559
540,6041581.94641163
542,6041336.74555117
544,6041626.044830997
546,6041526.896647556
548,6041563.973774698
550,6041613.813403661
552,6040986.811492841
554,6041369.20453759
556,6041439.99100939
558,6040957.390697036
560,6041056.837875049
562,6041559.804839915
564,6041323.791045286
566,6041052.866743804
568,6041189.893520869
570,6041253.049789638
572,6041371.178849208
574,6041724.29052631
576,6041313.8146769665
578,6041675.63659436
580,6042049.590192077
582,6041469.024722693
584,6041067.634786832
586,6041395.362667665
588,6041936.74505714
590,6041470.8002972035
592,6041097.040103249
594,6041190.291370861
596,6041187.366626179
598,6041131.219863372
600,6041416.596251049
602,6041534.100863983
604,6041466.621749219
606,6041353.801441306
608,6041204.486271003
610,6041415.478097298
612,6041540.149700968
614,6041466.353759786
616,6041421.037918944
618,6041252.7701173695
620,6041616.1556893485
622,6041570.319734083
624,6040174.547108936
626,6040382.884734111
628,6041490.456739885
630,6041586.178229196
632,6040643.236609007
634,6041355.193916865
636,6042268.903065368
638,6039887.001396914
640,6039186.887529844
642,6041068.923109207
644,6042364.448374816
646,6041630.074725307
648,6039967.989456774
650,6039653.7064418895
652,6041212.421509958
654,6042713.003042737
656,6041610.144874136
658,6040697.553273926
660,6041363.678963648
662,6041636.095285106
664,6041494.882773317
666,6041444.473074891
668,6041108.024548531
670,6041563.761841776
672,6041267.2062528925
674,6041163.483838488
676,6041536.128915413
678,6041346.24345346
680,6041150.289956288
682,6041410.314774397
684,6041560.064687422
686,6041447.9187860545
688,6040955.81893969
690,6041315.875338955
692,6041350.307975556
694,6041850.281893436
696,6041497.367671758
698,6041199.302168769
700,6041453.64627868
702,6041828.693192877
704,6040860.42770877
706,6041675.622792104
708,6041571.681644926
710,6041346.454989626
712,6041546.234560798
714,6041858.824615336
716,6041142.5820534965
718,6041286.403162461
720,6041703.1207177285
722,6041807.585318082
724,6041329.8607438
726,6041296.890614847
728,6041527.288726995
730,6041723.792105585
732,6041192.330811199
734,6041150.1016538385
736,6041704.398114255
738,6041255.137810724
740,6041344.973276121
742,6041402.044472554
744,6041509.896928869
746,6041611.23472158
748,6041281.529689905
750,6041392.455248062
752,6040981.1977447625
754,6041295.389267499
756,6041239.4416478425
758,6041271.659960353
760,6041533.037164191
762,6033170.558480699
764,5997309.196911797
766,5919816.184365741
768,5789128.623488824
770,5591227.92157777
772,5331562.926099856
774,5030824.995786329
776,4699258.250554136
778,4346757.545140255
780,3987299.429810042
782,3631624.3336451664
784,3286378.269654552
786,2964560.482130975
788,2677357.907088312
790,2431812.978824052
792,2227005.630354121
794,2056991.6675400746
796,1912122.286436368
798,1783069.2196949078
800,1663500.214270693
802,1548744.6415391257
804,1440089.3704584274
806,1338355.7413583586
808,1246002.4351940232
810,1164641.9993123675
812,1094313.8934356393
814,1033315.1507154639
816,979276.3012057306
818,928884.3489745458
820,880151.1850921786
822,831067.2044299131
824,781134.7456778135
826,731197.4373941015
828,682133.9307999852
830,635157.065687494
832,590767.9318637582
834,549817.9262336656
836,511926.9827578021
838,476508.58827418834
840,442988.8091633684
842,410512.7161371145
844,378885.83903410326
846,347759.8550145639
848,317145.038704723
850,286997.5341464601
852,257814.11993689087
854,229635.74166079867
856,202883.51438950063
858,177548.2583061767
860,153963.78261275878
862,132580.8515415665
864,113288.53811543316
866,96239.40874515912
868,81413.00428997858
870,68826.20859127876
872,58133.754868965356
874,49160.33286656182
876,41666.7751322839
878,35497.06635140222
880,30295.018445045593
882,25695.68578759554
884,21591.37521759164
886,17852.922836174053
888,14389.809163301048
890,11160.697668091325
892,8122.388938503005
894,5540.658797514908
896,3560.8201047046186
898,2067.8082667675035
900,1036.1379326991748
902,389.7262820249188
904,91.05201843704549
906,33.85408597934234
908,10.175341117526877
910,0.4798427012002451
912,-3.482973111878331
914,2.393407046365594
916,-5.54246237681494
918,-0.29287613119402345
920,-2.3379566926154904
922,4.289920058427215
924,0.9442159283387628
926,-2.7336637591896857
928,1.0006701908683229
930,-1.3057717257606596
932,1.5404292547943992
934,4.001179039549514
936,-1.414773894536123
938,3.248233771030033
940,0.4896997775772239
942,3.269850699677664
944,0.8757233738836303
946,1.835094323646329
948,-1.5911823412967454
950,0.22756291881490442
952,1.4645588048001232
954,3.043621082643513
956,0.027056986644400358
958,-0.10659459427895207
960,-0.7023202398106899
962,-2.0064684457895754
964,-3.0020412361544704
966,-2.2327748367148637
968,-2.2451702637504916
970,3.087313082970052
972,-1.474238603491238
974,-1.3750943045639343
976,0.09099228775895851
978,-4.359327552662422
980,0.17173412192045567
982,0.5883557203648353
984,-0.6237451035931326
986,0.24693956783995888
988,-1.1733774690472267
990,1.089032408027303
992,0.5823660453244227
994,0.22070109661222787
996,-2.4283186811864717
998,-1.410528741235163
