wave,flux
336,-1.969459568529901
338,3.8634023087060525
340,3.352256350263252
342,0.4238711513541756
344,0.5733483298605242
346,-1.6542968884162228
348,2.5019698389025495
350,1.890595176027512
352,0.9174338781961804
354,0.29340380758356593
356,-4.19645561812016
358,-1.020905411002102
360,2.6924607743734783
362,0.5636592921315259
364,-0.7413688405023373
366,8.927687717753095
368,47.36703077802965
370,203.6545569230578
372,736.9859135179664
374,1858.8027387571808
376,3753.5783094236504
378,6415.574170295464
380,9543.045503658013
382,12543.563299190895
384,15902.029090714306
386,20852.67895125404
388,28550.075358653463
390,41667.22004130996
392,69009.1816797407
394,110985.14407540037
396,160336.087159368
398,199854.84705576446
400,228152.04075631377
402,248769.94542184458
404,269596.4099783226
406,291870.6394194722
408,315974.7407268385
410,342323.73878444906
412,371255.7929410539
414,402274.4556744333
416,434475.20395882375
418,467851.17952011456
420,502953.9392880517
422,540037.3880675756
424,578812.9490054095
426,619079.8351881466
428,661523.6844312523
430,705942.5576572252
432,749842.5993984017
434,790046.0260695308
436,826449.8585028813
438,865073.6228027777
440,918813.7728395431
442,1001642.8494358752
444,1128008.645189891
446,1310408.9722095632
448,1558782.4729225624
450,1879471.9087364012
452,2274845.4075250216
454,2746091.645395008
456,3288895.2774168355
458,3871478.5819242145
460,4449684.196195922
462,4979910.627440978
464,5412293.5831954535
466,5715168.953147325
468,5902398.959304423
470,5999902.524130733
472,6035405.582654923
474,6041344.363994593
476,6041541.906304516
478,6041365.16575738
480,6041284.345039377
482,6040990.977418231
484,6041310.066470464
486,6041514.931939067
488,6041806.069099617
490,6041558.525425592
492,6041407.645171703
494,6041771.145517929
496,6041415.183025141
498,6041742.277911706
500,6041027.461847128
502,6041283.386076091
504,6041653.429770197
506,6041812.424820731
508,6040986.302621376
510,6041035.856198171
512,6041532.954200431
514,6041036.066543131
516,6041512.077139909
518,6041656.139715001
520,6041087.843713509
522,6041354.4622910265
524,6041500.965078736
526,6041382.479089269
528,6041510.058059714
530,6041829.791403767
532,6041460.862298414
534,6041568.728744039
536,6041286.301164638
538,6041827.623376363
540,6041529.670677839
542,6041720.232704007
544,6041869.994682735
546,6041013.555778624
548,6041085.113510545
550,6041455.9985945
552,6041615.002324843
554,6041751.6173301935
556,6041466.477796731
558,6041384.8765975945
560,6040599.134350055
562,6040981.756729841
564,6041548.988676416
566,6041691.960789813
568,6041594.913386848
570,6041315.324922306
572,6041239.00241991
574,6041794.743581213
576,6041906.833387659
578,6041624.897924053
580,6041391.8187604705
582,6041407.421025201
584,6041399.954937376
586,6041097.713619432
588,6041302.78103671
590,6041267.808644072
592,6041149.086286528
594,6041198.37390061
596,6041377.471411743
598,6041471.390081061
600,6041128.947199429
602,6041239.315810412
604,6041499.8299855385
606,6041482.877350002
608,6041447.883540351
610,6041196.974818716
612,6041310.328503324
614,6041359.485218726
616,6040869.009622989
618,6041204.50310373
620,6041158.886662389
622,6040513.92943824
624,6040637.213001408
626,6041885.909904967
628,6041824.424510209
630,6040430.627744746
632,6041314.249331015
634,6041166.711941111
636,6040338.6142546665
638,6042216.376717914
640,6042270.587915167
642,6040919.703342241
644,6041742.331996467
646,6042519.45261719
648,6042335.633087933
650,6041733.661548795
652,6040225.301596761
654,6039218.250989687
656,6040806.21600201
658,6042045.62354187
660,6041668.107856989
662,6041373.026555045
664,6041483.6225521555
666,6041443.689937271
668,6041107.9882616075
670,6041563.7609296
672,6041267.20627841
674,6041163.483843652
676,6041536.128915866
678,6041346.243453492
680,6041150.289956291
682,6041410.314774397
684,6041560.064687422
686,6041447.9187860545
688,6040955.81893969
690,6041315.875338955
692,6041350.307975556
694,6041850.281893436
696,6041497.367671758
698,6041199.302168769
700,6041453.64627868
702,6041828.693192877
704,6040860.42770877
706,6041675.622792104
708,6041571.681644926
710,6041346.454989626
712,6041546.234560798
714,6041858.824615336
716,6041142.5820534965
718,6041286.403162461
720,6041703.1207177285
722,6041807.585318082
724,6041329.8607438
726,6041296.890614847
728,6041527.288726995
730,6041723.792105585
732,6041192.330811199
734,6041150.1016538385
736,6041704.398114255
738,6041255.137810724
740,6041344.973276121
742,6041402.044472554
744,6041509.896928869
746,6041611.23472158
748,6041281.529689905
750,6041392.455248062
752,6040981.1977447625
754,6041295.389267499
756,6041239.4416478425
758,6041271.659960353
760,6041533.037164191
762,6033170.558480699
764,5997309.196911797
766,5919816.184365741
768,5789128.623488824
770,5591227.92157777
772,5331562.926099856
774,5030824.995786329
776,4699258.250554136
778,4346757.545140255
780,3987299.429810042
782,3631624.3336451664
784,3286378.269654552
786,2964560.482130975
788,2677357.907088312
790,2431812.978824052
792,2227005.630354121
794,2056991.6675400746
796,1912122.286436368
798,1783069.2196949078
800,1663500.214270693
802,1548744.6415391257
804,1440089.3704584274
806,1338355.7413583586
808,1246002.4351940232
810,1164641.9993123675
812,1094313.8934356393
814,1033315.1507154639
816,979276.3012057306
818,928884.3489745458
820,880151.1850921786
822,831067.2044299131
824,781134.7456778135
826,731197.4373941015
828,682133.9307999852
830,635157.065687494
832,590767.9318637582
834,549817.9262336656
836,511926.9827578021
838,476508.58827418834
840,442988.8091633684
842,410512.7161371145
844,378885.83903410326
846,347759.8550145639
848,317145.038704723
850,286997.5341464601
852,257814.11993689087
854,229635.74166079867
856,202883.51438950063
858,177548.2583061767
860,153963.78261275878
862,132580.8515415665
864,113288.53811543316
866,96239.40874515912
868,81413.00428997858
870,68826.20859127876
872,58133.754868965356
874,49160.33286656182
876,41666.7751322839
878,35497.06635140222
880,30295.018445045593
882,25695.68578759554
884,21591.37521759164
886,17852.922836174053
888,14389.809163301048
890,11160.697668091325
892,8122.388938503005
894,5540.658797514908
896,3560.8201047046186
898,2067.8082667675035
900,1036.1379326991748
902,389.7262820249188
904,91.05201843704549
906,33.85408597934234
908,10.175341117526877
910,0.4798427012002451
912,-3.482973111878331
914,2.393407046365594
916,-5.54246237681494
918,-0.29287613119402345
920,-2.3379566926154904
922,4.289920058427215
924,0.9442159283387628
926,-2.7336637591896857
928,1.0006701908683229
930,-1.3057717257606596
932,1.5404292547943992
934,4.001179039549514
936,-1.414773894536123
938,3.248233771030033
940,0.4896997775772239
942,3.269850699677664
944,0.8757233738836303
946,1.835094323646329
948,-1.5911823412967454
950,0.22756291881490442
952,1.4645588048001232
954,3.043621082643513
956,0.027056986644400358
958,-0.10659459427895207
960,-0.7023202398106899
962,-2.0064684457895754
964,-3.0020412361544704
966,-2.2327748367148637
968,-2.2451702637504916
970,3.087313082970052
972,-1.474238603491238
974,-1.3750943045639343
976,0.09099228775895851
978,-4.359327552662422
980,0.17173412192045567
982,0.5883557203648353
984,-0.6237451035931326
986,0.24693956783995888
988,-1.1733774690472267
990,1.089032408027303
992,0.5823660453244227
994,0.22070109661222787
996,-2.4283186811864717
998,-1.410528741235163
