wave,flux
336,0.6169007626950468
338,-2.997606998074218
340,-3.688157409624954
342,2.789821796137879
344,165.29276076286214
346,1148.0592303419526
348,2915.9551862330454
350,4344.0863929481175
352,5187.665392009473
354,5869.0683800029265
356,6562.20734778385
358,7651.013122951493
360,9816.27973684698
362,12704.586018354257
364,14996.933250862718
366,16879.150861716254
368,19350.177415696864
370,22433.74232653128
372,25553.378267277603
374,28319.598892050883
376,30710.65810423158
378,32708.7720275916
380,34264.55483703416
382,35901.45952988711
384,40264.31315823606
386,51033.05263206816
388,70366.2117254842
390,105224.06782490644
392,180126.95679731405
394,299480.74581057124
396,453529.69676121656
398,617608.1484409731
400,814408.9867245391
402,1066403.7492045716
404,1372255.262948739
406,1675547.971139988
408,1903106.5014006356
410,2007469.450428255
412,1988791.0035849523
414,1890645.0474026422
416,1771414.823110158
418,1684093.267748634
420,1667126.6846948091
422,1745616.564507788
424,1932257.8644324185
426,2219095.0544659845
428,2562073.948184154
430,2880540.8008471867
432,3079138.106518177
434,3090420.4910707986
436,2911938.8717083996
438,2607125.635512893
440,2271727.2629752113
442,1986430.8009325657
444,1792504.352032763
446,1692011.1967221377
448,1666337.4002986122
450,1697451.3323802436
452,1780658.8185703882
454,1933906.3420594914
456,2184170.0091567384
458,2548984.221540082
460,3031660.359451627
462,3611225.1162980697
464,4216288.994475538
466,4781553.573490893
468,5259194.855418563
470,5613064.7559038345
472,5834859.329933531
474,5960392.943280731
476,6019840.771935094
478,6039523.203410055
480,6041454.742977964
482,6041298.4132892825
484,6041263.565249614
486,6041766.4345175885
488,6040842.811953223
490,6042126.952561385
492,6041595.291879142
494,6041315.081170124
496,6041592.263093728
498,6041420.079197495
500,6040903.8582734
502,6041776.191229094
504,6041246.289496788
506,6041654.349527708
508,6041184.34640833
510,6041638.503979115
512,6041528.717289064
514,6041237.096867971
516,6041430.81472478
518,6041279.093553621
520,6041626.677630524
522,6041277.958333383
524,6041440.641653765
526,6039504.115929163
528,6024999.47950397
530,5991062.011577735
532,5932779.585884601
534,5842851.043082214
536,5717218.274343335
538,5550266.57424259
540,5337787.740451983
542,5090840.272882223
544,4823185.085094343
546,4547786.986864394
548,4277423.845830296
550,4029291.3683974575
552,3822192.1826381073
554,3676390.610604135
556,3607754.2764729434
558,3620685.1567424554
560,3710916.231474487
562,3871012.6138909915
564,4088769.0186998374
566,4348469.738169757
568,4630618.329808812
570,4914615.518282377
