wave,flux
336,120235.51790838335
338,114771.70350456302
340,109167.33305402387
342,111667.53076997002
344,130432.5677044557
346,176523.78978260132
348,244206.00163341404
350,299666.930021939
352,314548.8409604028
354,295018.77005588805
356,269792.93075221055
358,268635.1412385512
360,304529.25495625444
362,364774.05742685316
364,424882.6521391279
366,469533.7247920515
368,494224.18565020466
370,496884.19153047365
372,480368.5669834537
374,456400.77886105457
376,439948.7060416404
378,440490.53649984446
380,459910.1829803286
382,492994.802960693
384,529887.40095132
386,565502.8765025678
388,609855.5240907156
390,687143.7608036053
392,821204.245718764
394,1014058.5433303007
396,1242347.668966051
398,1464050.3902469543
400,1642015.9091223506
402,1753562.871585811
404,1798864.6074443914
406,1796472.4012443272
408,1773213.6367456377
410,1751882.6871216819
412,1747697.1010288233
414,1774617.0897663268
416,1850555.890397632
418,1995322.5810871648
420,2211578.124286746
422,2475964.6362241567
424,2739538.343815251
426,2950807.7484329734
428,3082797.176888988
430,3144692.2635154785
432,3174023.1831119363
434,3218697.6457352135
436,3309816.225225805
438,3456109.543786685
440,3646359.4233688186
442,3860473.0897577084
444,4082638.0058043045
446,4312670.771953046
448,4560859.176602753
450,4835015.196900881
452,5124698.784910753
454,5408197.817325243
456,5658999.053778741
458,5841564.634865773
460,5957220.22980726
462,6017314.808486995
464,6039344.9980017515
466,6041827.438462511
468,6041411.324153838
470,6041415.763750502
472,6041167.87946282
474,6041943.435181815
476,6041289.817861921
478,6041120.479223054
480,6041245.25301571
482,6041304.834711391
484,6041621.858402817
486,6041546.987239196
488,6041488.992224654
490,6040960.7557706935
492,6041007.441726346
494,6041399.783062109
496,6041880.7477755705
498,6041333.659429882
500,6041346.588736947
502,6041512.91582164
504,6041082.296225275
506,6041432.953140821
508,6041232.347259945
510,6041204.927439218
512,6041223.7649230575
514,6041501.205132513
516,6041474.241059243
518,6041653.130921136
520,6041385.428212473
522,6041522.544412977
524,6041358.878859348
526,6041533.524840289
528,6041459.398073534
530,6041567.074397414
532,6041132.739809692
534,6041487.326454142
536,6041585.818807845
538,6041478.679118076
540,6041652.21026312
542,6041000.967533048
544,6041678.548547394
546,6041770.8748004325
548,6041541.99946995
550,6041395.7509272145
552,6041283.219613411
554,6041280.561219817
556,6041052.455200833
558,6041129.113369127
560,6041702.495790665
562,6041123.474268723
564,6041226.798303208
566,6041606.910210221
568,6041188.149690385
570,6041210.108801294
572,6041575.070206573
574,6041074.606295316
576,6041434.2302718945
578,6041489.589401177
580,6041373.730227316
582,6041390.144027963
584,6041293.907730396
586,6041766.143339672
588,6041551.6205324605
590,6040992.554058473
592,6041407.130807089
594,6041915.576172674
596,6041711.591766026
598,6041627.790635199
600,6041496.449815151
602,6041463.7391156545
604,6041505.987271978
606,6041643.518428156
608,6041860.79294843
610,6041585.446836879
612,6041301.635431133
614,6041447.41455869
616,6041698.573916237
618,6041285.638485416
620,6040735.376734228
622,6040392.539751858
624,6040202.412154924
626,6040520.11421243
628,6040681.875928085
630,6040659.355649507
632,6041588.140075721
634,6042466.899800186
636,6042704.7028913675
638,6042597.347046866
640,6042062.066440648
642,6042133.785933562
644,6043270.374967663
646,6041972.047763981
648,6040937.805662589
650,6041384.237520071
652,6041707.672415851
654,6041397.690470317
656,6041151.212703985
658,6041511.430951126
660,6041551.262280833
662,6041377.486709373
664,6041484.487439409
666,6041443.750089351
668,6041107.991048771
670,6041563.760999665
672,6041267.2062764475
674,6041163.483843256
676,6041536.128915831
678,6041346.24345349
680,6041150.289956291
682,6041410.314774397
684,6041560.064687422
686,6041447.9187860545
688,6040955.81893969
690,6041315.875338955
692,6041350.307975556
694,6041850.281893436
696,6041497.367671758
698,6041199.302168769
700,6041453.64627868
702,6041828.693192877
704,6040860.42770877
706,6041675.622792104
708,6041571.681644926
710,6041346.454989626
712,6041546.234560798
714,6041858.824615336
