wave,flux
336,3621.5334282109416
338,6026.477830051995
340,9486.921670265994
342,15063.526761583107
344,22763.328435387662
346,32074.63395961045
348,43149.325097141584
350,56296.02238410555
352,71812.99821021865
354,90030.40756376329
356,110877.75616331722
358,134158.6403674731
360,160280.22288225853
362,189924.26370014454
364,223207.13205177544
366,260315.54930593676
368,302906.8979656261
370,353321.86028261966
372,414787.28125326656
374,494553.4693966181
376,608469.9181042151
378,775262.975266462
380,1005510.9211217299
382,1299548.1483686743
384,1651110.5494581875
386,2053275.0051122797
388,2502790.4777638856
390,3010655.831012499
392,3616135.9294738835
394,4331676.019450892
396,5051023.013751625
398,5615778.5838903105
400,5920094.284514527
402,6029353.619325035
404,6041463.839925624
406,6041223.017184543
408,6041826.495868649
410,6041573.10521415
412,6041395.842522878
414,6041240.053889849
416,6041145.920155983
418,6041832.875344154
420,6041504.011323879
422,6041717.0027598785
424,6041550.6843679575
426,6041151.405720578
428,6041134.023718384
430,6041425.992402138
432,6041171.928810874
434,6041631.044340016
436,6041164.678840452
438,6041224.107665298
440,6041456.088341198
442,6041536.73469479
444,6041265.279258433
446,6041508.161816449
448,6041811.732527932
450,6041675.386639497
452,6041554.4281841675
454,6041725.8353096
456,6040976.465388038
458,6041798.897650153
460,6040935.568757091
462,6041457.0611889
464,6041720.164772849
466,6041532.085131504
468,6040846.963927312
470,6041120.376540978
472,6041185.540885818
474,6041308.315493684
476,6041276.749884132
478,6041314.182162451
480,6041330.131066967
482,6041804.557086287
484,6041274.772657529
486,6041592.953927862
488,6041088.036432882
490,6041085.092513133
492,6041762.189605572
494,6040988.6707109
496,6041523.037484645
498,6041163.386133443
500,6041433.54016561
502,6042004.401754785
504,6041616.124461666
506,6041428.981088935
508,6041385.122248484
510,6042122.596356237
512,6041400.520940528
514,6041651.141672447
516,6041576.118143223
518,6041212.411243625
520,6041234.467930843
522,6041202.051534509
524,6041096.673808196
526,6041426.0304134395
528,6041638.960182635
530,6041480.229357392
532,6041735.691623792
534,6041310.542521681
536,6041565.6470079115
538,6041366.987525485
540,6041643.191083745
542,6041496.323113046
544,6040969.46221185
546,6041530.976686076
548,6041602.323200701
550,6041172.0107345255
552,6041221.707391533
554,6041304.130535906
556,6041040.544867282
558,6041319.347533257
560,6041724.457685367
